Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	ʌ		wikipron	-	-
aado	aːdo	ADO	wikipron	-	-
aadoodi	aːdoːdi	ADODI	wikipron	-	-
aakam	aːkam	AKAM	wikipron	-	-
aaker	aːker	AKER	wikipron	-	-
aakir	aːkir	AKIR	wikipron	-	-
aako	aːko	AKO	wikipron	-	-
aakooka	aːkoːka	AKOKA	wikipron	-	-
aakumale	aːkumale	AKUMALE	wikipron	-	-
aalam	aːlam	ALAM	wikipron	-	-
aalat	aːlat	ALAT	wikipron	-	-
aaloota	aːloːta	ALOTA	wikipron	-	-
aaman	aːman	AMAN	wikipron	-	-
aamiin	aːmiːn	AMIN	wikipron	-	-
aana	aːna	ANA	wikipron	-	-
abaaca	abaːħa	ABAHA	wikipron	-	-
abaare	abaːre	ABARE	wikipron	-	-
abaareyna	abaːrejna	ABAREYNA	wikipron	-	-
abaarik	abaːrik	ABARIK	wikipron	-	-
abaaro	abaːro	ABARO	wikipron	-	-
abaaroleela	abaːroleːla	ABAROLELA	wikipron	-	-
abaaroli	abaːroli	ABAROLI	wikipron	-	-
abace	abaħe	ABAHE	wikipron	-	-
abaci	abaħi	ABAHI	wikipron	-	-
abadan	abadan	ABADAN	wikipron	-	-
abal	abal	ABAL	wikipron	-	-
abale	abale	ABALE	wikipron	-	-
abalise	abalise	ABALISE	wikipron	-	-
abalite	abalite	ABALITE	wikipron	-	-
abalsiise	abalsiːse	ABALSISE	wikipron	-	-
abamabbiime	abamabːiːme	ABAMABIME	wikipron	-	-
abamabe	abamabe	ABAMABE	wikipron	-	-
abamabsiise	abamabsiːse	ABAMABSISE	wikipron	-	-
abba	abba	ABBA	wikipron	-	-
abbaahiye	abːaːhije	ABAHIYE	wikipron	-	-
abbaasite	abːaːsite	ABASITE	wikipron	-	-
abbadabqis	abːadabʕis	ABADABHIS	wikipron	-	-
abbaw	abbaw	ABBAW	wikipron	-	-
abbiime	abːiːme	ABIME	wikipron	-	-
abbobti	abːobti	ABOBTI	wikipron	-	-
abboobi	abːoːbi	ABOBI	wikipron	-	-
abbowtan	abbowtan	ABBOWTAN	wikipron	-	-
abcitte	abħitte	ABHITTE	wikipron	-	-
abe	abe	ABE	wikipron	-	-
abeesa	abeːsa	ABESA	wikipron	-	-
abeesas	abeːsas	ABESAS	wikipron	-	-
abeesos	abeːsos	ABESOS	wikipron	-	-
abeyna	abejna	ABEYNA	wikipron	-	-
abic	abiħ	ABIH	wikipron	-	-
abice	abiħe	ABIHE	wikipron	-	-
abicle	abiħle	ABIHLE	wikipron	-	-
abicleela	abiħleːla	ABIHLELA	wikipron	-	-
abicli	abiħli	ABIHLI	wikipron	-	-
abiica	abiːħa	ABIHA	wikipron	-	-
abiino	abiːno	ABINO	wikipron	-	-
abina	abina	ABINA	wikipron	-	-
abite	abite	ABITE	wikipron	-	-
ablaage	ablaːɡe	ABLAGE	wikipron	-	-
ablaake	ablaːke	ABLAKE	wikipron	-	-
abni	abni	ABNI	wikipron	-	-
abooca	aboːħa	ABOHA	wikipron	-	-
abooqa	aboːʕa	ABOHA	wikipron	-	-
abooqi	aboːʕi	ABOHI	wikipron	-	-
aboyya	abojja	ABOYYA	wikipron	-	-
aboyyay	abojjaj	ABOYYAY	wikipron	-	-
abqa	abʕa	ABHA	wikipron	-	-
abraake	abraːke	ABRAKE	wikipron	-	-
abre	abre	ABRE	wikipron	-	-
abreera	abreːra	ABRERA	wikipron	-	-
abriika	abriːka	ABRIKA	wikipron	-	-
abrik	abrik	ABRIK	wikipron	-	-
abrooma	abroːma	ABROMA	wikipron	-	-
absiise	absiːse	ABSISE	wikipron	-	-
absuma	absuma	ABSUMA	wikipron	-	-
abu	abu	ABU	wikipron	-	-
abud	abud	ABUD	wikipron	-	-
abur	abur	ABUR	wikipron	-	-
aburwa	aburwa	ABURWA	wikipron	-	-
abuudute	abuːdute	ABUDUTE	wikipron	-	-
abuudutte	abuːdutte	ABUDUTTE	wikipron	-	-
abuuri	abuːri	ABURI	wikipron	-	-
abuurite	abuːrite	ABURITE	wikipron	-	-
abuuritte	abuːritte	ABURITTE	wikipron	-	-
abuuru	abuːru	ABURU	wikipron	-	-
abuuruse	abuːruse	ABURUSE	wikipron	-	-
abuusa	abuːsa	ABUSA	wikipron	-	-
abxa	abɖa	ABDA	wikipron	-	-
acad	aħad	AHAD	wikipron	-	-
ada	ada	ADA	wikipron	-	-
adaan	adaːn	ADAN	wikipron	-	-
adab	adab	ADAB	wikipron	-	-
adabi	adabi	ADABI	wikipron	-	-
adam	adam	ADAM	wikipron	-	-
adame	adame	ADAME	wikipron	-	-
adbaanitte	adbaːnitte	ADBANITTE	wikipron	-	-
adbaanooni	adbaːnoːni	ADBANONI	wikipron	-	-
adban	adban	ADBAN	wikipron	-	-
adda	adda	ADDA	wikipron	-	-
adday	adːaj	ADAY	wikipron	-	-
addaytitte	adːajtitte	ADAYTITTE	wikipron	-	-
addaytu	addajtu	ADDAYTU	wikipron	-	-
addo	addo	ADDO	wikipron	-	-
addooda	adːoːda	ADODA	wikipron	-	-
addoy	adːoj	ADOY	wikipron	-	-
addunya	adːunja	ADUNYA	wikipron	-	-
adlaake	adlaːke	ADLAKE	wikipron	-	-
ado	ado	ADO	wikipron	-	-
adoobite	adoːbite	ADOBITE	wikipron	-	-
adoyla	adojla	ADOYLA	wikipron	-	-
adoylitte	adojlitte	ADOYLITTE	wikipron	-	-
af	af	AP	wikipron	-	-
afa	afa	APA	wikipron	-	-
afaato	afaːto	APATO	wikipron	-	-
affara	afːara	APARA	wikipron	-	-
afitte	afitte	APITTE	wikipron	-	-
afoofa	afoːfa	APOPA	wikipron	-	-
afoofi	afoːfi	APOPI	wikipron	-	-
afqaro	afʕaro	APHARO	wikipron	-	-
aftiitise	aftiːtise	APTITISE	wikipron	-	-
aftiyta	aftijta	APTIYTA	wikipron	-	-
afur	afur	APUR	wikipron	-	-
afxage	afɖaɡe	APDAGE	wikipron	-	-
agaaba	aɡaːba	AGABA	wikipron	-	-
agabu	aɡabu	AGABU	wikipron	-	-
agat	aɡat	AGAT	wikipron	-	-
agattina	aɡatːina	AGATINA	wikipron	-	-
agattinaytu	aɡatːinajtu	AGATINAYTU	wikipron	-	-
agattino	aɡatːino	AGATINO	wikipron	-	-
agboyta	aɡbojta	AGBOYTA	wikipron	-	-
agiira	aɡiːra	AGIRA	wikipron	-	-
agiirannu	aɡiːranːu	AGIRANU	wikipron	-	-
agiru	aɡiru	AGIRU	wikipron	-	-
agle	aɡle	AGLE	wikipron	-	-
agur	aɡur	AGUR	wikipron	-	-
ah	ah	AH	wikipron	-	-
ahak	ahak	AHAK	wikipron	-	-
ahali	ahali	AHALI	wikipron	-	-
ahli	ahli	AHLI	wikipron	-	-
akat	ʌkʌt	KT	wikipron	-	-
akeera	akeːra	AKERA	wikipron	-	-
aki	aki	AKI	wikipron	-	-
akke	akke	AKKE	wikipron	-	-
akkite	akːite	AKITE	wikipron	-	-
akle	akle	AKLE	wikipron	-	-
ala	ala	ALA	wikipron	-	-
alaysamalayse	alajsamalajse	ALAYSAMALAYSE	wikipron	-	-
alayse	alajse	ALAYSE	wikipron	-	-
alaysite	alajsite	ALAYSITE	wikipron	-	-
albo	albo	ALBO	wikipron	-	-
alca	alħa	ALHA	wikipron	-	-
ale	ale	ALE	wikipron	-	-
aleey	aleːj	ALEY	wikipron	-	-
alemu	alemu	ALEMU	wikipron	-	-
alfi	alfi	ALPI	wikipron	-	-
ali	ali	ALI	wikipron	-	-
alimu	alimu	ALIMU	wikipron	-	-
alkool	alkoːl	ALKOL	wikipron	-	-
alkume	alkume	ALKUME	wikipron	-	-
alkumeena	alkumeːna	ALKUMENA	wikipron	-	-
alluwwa	alːuwwa	ALUWWA	wikipron	-	-
almo	almo	ALMO	wikipron	-	-
alo	alo	ALO	wikipron	-	-
alooli	aloːli	ALOLI	wikipron	-	-
aloosa	aloːsa	ALOSA	wikipron	-	-
alsa	alsa	ALSA	wikipron	-	-
alsali	alsali	ALSALI	wikipron	-	-
alsitte	alsitte	ALSITTE	wikipron	-	-
alsoosi	alsoːsi	ALSOSI	wikipron	-	-
alwa	alwa	ALWA	wikipron	-	-
alwaggaso	alwaɡːaso	ALWAGASO	wikipron	-	-
ama	ama	AMA	wikipron	-	-
