Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bɑrɑ	bɑrɑ	BARA	northeuralex	THOU	-
bɑʂɑ	bɑʂɑ	BASA	northeuralex	IN VAIN	-
bʒbɑ	bʒbɑ	BSBA	northeuralex	SEVEN	-
dɑrbɑn	dɑrbɑn	DARBAN	northeuralex	WHO	-
dɑrɑ	dɑrɑ	DARA	northeuralex	THEY	-
dɑɑrɑ	dɑɑrɑ	DAARA	northeuralex	VERY	-
dɑʈ͡ʂʰɑ	dɑʈʂʰɑ	DATSA	northeuralex	OTHER	-
dɑʈ͡ʂʰɑkʼɨ	dɑʈʂʰɑkʼɨ	DATSAKI	northeuralex	OTHER	-
dɛkʼɑbr	dɛkʼɑbr	DEKABR	northeuralex	DECEMBER	-
dɨrɥɛɡʲ	dɨrɥɛgʲ	DIRWEG	northeuralex	AGAIN	-
dɨrɥɛɡʲiχ	dɨrɥɛgʲiχ	DIRWEGIK	northeuralex	AGAIN	-
fbɑ	fbɑ	PBA	northeuralex	SIX	-
fɛvrɑlʲ	fɛvrɑlʲ	PEBRAL	northeuralex	FEBRUARY	-
i	i	I	northeuralex	AND	-
ilɑsnɨ	ilɑsnɨ	ILASNI	northeuralex	SOON	-
iqʼubt͡ʃʼɔu	iqʼubtʃʼɔu	IKUBTSOU	northeuralex	DILIGENT	-
iqʼɑlɑχʲɔu	iqʼɑlɑχʲɔu	IKALAKOU	northeuralex	RIPE	-
itʰrɨsnɨ	itʰrɨsnɨ	ITRISNI	northeuralex	DASH (OF VEHICLE)	-
it͡ɕʷʰuχʲʃʲʷøʃʲʷɔu	itɕʷʰuχʲʃʲʷøʃʲʷɔu	ITSUKSESOU	northeuralex	COLD (OF WEATHER)	-
iuulʲ	iuulʲ	IUUL	northeuralex	JULY	-
iuun	iuun	IUUN	northeuralex	JUNE	-
izbɑn	izbɑn	ISBAN	northeuralex	WHY	-
izzɨ	izzɨ	ISSI	northeuralex	BECAUSE OF	-
izɑqʼɑrɔu	izɑqʼɑrɔu	ISAKAROU	northeuralex	SIZE (OF OBJECT)	-
iɑbɨkʼuu	iɑbɨkʼuu	IABIKUU	northeuralex	WHERE	-
iɑnvɑr	iɑnvɑr	IANBAR	northeuralex	JANUARY	-
iɑnɑkʼəɨzɑːlɑkʼ	iɑnɑkʼəɨzɑːlɑkʼ	IANAKEISALAK	northeuralex	NEVER	-
iɑrkʼɨu	iɑrkʼɨu	IARKIU	northeuralex	CLOSED	-
iɑrɑ	iɑrɑ	IARA	northeuralex	HE	-
iɑrɑznɑkʼt͡sʼʷqʼʲe	iɑrɑznɑkʼts’ʷq’ʲe	IARASNAKTSKE	northeuralex	INSTANTLY (IMMEDIATELY)	-
iɑt͡sʰɨ	iɑtsʰɨ	IATSI	northeuralex	YESTERDAY	-
iɑʂɔu	iɑʂɔu	IASOU	northeuralex	CORRECT (RIGHT)	-
iɑːlɨrqʼʲenɨ	iɑːlɨrq’ʲenɨ	IALIRKENI	northeuralex	SUDDENLY	-
iɑχʲe	iɑχʲe	IAKE	northeuralex	TODAY	-
iɡurʁʲet͡ʃʰt͡ʃʰɔ	igurʁʲetʃʰtʃʰɔ	IGURRETSTSO	northeuralex	MERRY	-
iʂiɑʂɔu	iʂiɑʂɔu	ISIASOU	northeuralex	611_ahead	-
iʃtʰqʼʲenɨ_ɑt͡sʰɑrɑ	iʃtʰq’ʲenɨɑtsʰɑrɑ	ISTKENIATSARA	northeuralex	DASH (OF VEHICLE)	-
iχɥɔu	iχɥɔu	IKWOU	northeuralex	CLOSED	-
kʼɨr_iɑʁsɔu	kʼɨriɑʁsɔu	KIRIARSOU	northeuralex	PRECIOUS	-
lbɑː	lbɑː	LBA	northeuralex	LOW	-
lɑssɨlɑssɨ	lɑssɨlɑssɨ	LASSILASSI	northeuralex	OFTEN	-
m	m	M	northeuralex	NOT	-
mɑ	mɑ	MA	northeuralex	OR	-
mɑi	mɑi	MAI	northeuralex	MAY (MONTH)	-
mɑkʼʲenɑ	mɑk’ʲenɑ	MAKENA	northeuralex	STILL (CONTINUING)	-
