Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abee	abee	ABEE	abvd	DUST	abvd_11_dust_1
abei	abei	ABEI	abvd	ASH	-
abi	abi	ABI	abvd	FATHER	-
abɛə	abɛə	ABEE	abvd	DUST	abvd_11_dust_1
adaʔ	adaʔ	ADAH	abvd	IF	-
adei	adei	ADEI	abvd	DRY	-
agam	agam	AGAM	abvd	MALE PERSON	-
ake	ake	AKE	abvd	FOOT OR LEG	abvd_4_legfoot_1
aneuk	aneuk	ANEUK	abvd	CHILD	abvd_56_child_1
angen	angen	ANGEN	abvd	WIND	abvd_136_wind_1
anoe	anoe	ANOE	abvd	SAND	-
anɯʔ	anɯʔ	ANUH	abvd	CHILD	-
apui	apui	APUI	abvd	FIRE	abvd_143_fire_1
apuy	apuy	APUU	abvd	FIRE	abvd_143_fire_1
asap	asap	ASAP	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49
aSap	asap	ASAP	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49
asee	asee	ASEE	abvd	DOG	abvd_96_dog_1
asei	asei	ASEI	abvd	DOG	-
asɛy	asɛy	ASEU	abvd	FLESH OR MEAT	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ateueh	ateueh	ATEUEH	abvd	ABOVE	-
awan	awan	AWAN	abvd	CLOUD	abvd_131_cloud_1
awaʔ dRei	awaʔdrei	AWAHDREI	abvd	THOU	-
awaʔ ãã	awaʔ	AWAH	abvd	THEY	-
aŋɛn	aɛn	AEN	abvd	WIND	abvd_136_wind_1
babah	babah	BABAH	abvd	MOUTH	abvd_30_mouth_1
baho	baho	BAHO	abvd	SHOULDER	abvd_19_shoulder_17
bak	bak	BAK	abvd	AT	-
ban	ban	BAN	abvd	NEW	-
bandum	bandum	BANDUM	abvd	THEY	-
baRo	baro	BARO	abvd	NEW	abvd_163_new_1
basah	basah	BASAH	abvd	WET	abvd_141_wet_1
baSah	basah	BASAH	abvd	WET	abvd_141_wet_1
batee	batee	BATEE	abvd	STONE	-
batei	batei	BATEI	abvd	STONE	-
baʔ	baʔ	BAH	abvd	AT	-
beuna	beuna	BEUNA	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
beungka	beungka	BEUNGKA	abvd	SWELL	abvd_87_toswell_19
beʔ	beʔ	BEH	abvd	NO OR NOT	-
bilɯəŋ	bilɯə	BILUE	abvd	COUNT	-
binoe	binoe	BINOE	abvd	WIFE	abvd_58_wife_5
bintang	bintang	BINTANG	abvd	STAR	abvd_130_star_1
bintaŋ	binta	BINTA	abvd	STAR	abvd_130_star_43
blay	blay	BLAU	abvd	BUY	-
bloe	bloe	BLOE	abvd	BUY	-
boh	boh	BOH	abvd	EGG	-
boih	boih	BOIH	abvd	THROW	abvd_94_tothrow_119?
brat	brat	BRAT	abvd	HEAVY	abvd_142_heavy_1
bRat	brat	BRAT	abvd	HEAVY	abvd_142_heavy_1
bro	bro	BRO	abvd	ROTTEN	-
brok	brok	BROK	abvd	ROTTEN	-
bRoʔ	broʔ	BROH	abvd	ROTTEN	-
bubong	bubong	BUBONG	abvd	THATCH OR ROOF	abvd_62_thatchroof_6?
buboŋ	bubo	BUBO	abvd	THATCH OR ROOF	abvd_62_thatchroof_6
buet	buet	BUET	abvd	WORK (ACTIVITY)	-
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
bulee	bulee	BULEE	abvd	FEATHER	-
bulei	bulei	BULEI	abvd	FEATHER	-
buleuen	buleuen	BULEUEN	abvd	MOON	-
bulɯən	bulɯən	BULUEN	abvd	MOON	-
bungong	bungong	BUNGONG	abvd	FLOWER	-
bunoh	bunoh	BUNOH	abvd	KILL	abvd_74_tokill_1
butoi	butoi	BUTOI	abvd	CORRECT (RIGHT)	-
buŋɔŋ	buɔ	BUO	abvd	FLOWER	-
bɔh	bɔh	BOH	abvd	EGG	-
cabeueng	cabeueng	KABEUENG	abvd	BRANCH	abvd_113_branch_9
ceukot	ceukot	KEUKOT	abvd	TURN	-
ceuma	ceuma	KEUMA	abvd	DIRTY	-
cicem	cicem	KIKEM	abvd	BIRD	-
cob	cob	KOB	abvd	SEW	-
com	com	KOM	abvd	SMELL (PERCEIVE)	-
cu	cu	KU	abvd	STEAL	-
cue	cue	KUE	abvd	STEAL	-
cut	cut	KUT	abvd	SMALL	-
cɔp ʃɔp	cɔpʃɔp	KOPSOP	abvd	SEW	-
cɯpat	cɯpat	KUPAT	abvd	SQUEEZE	-
dano	dano	DANO	abvd	LAKE	abvd_126_lake_1
darah	darah	DARAH	abvd	BLOOD	abvd_23_blood_1
daɹah	daɹah	DARAH	abvd	BLOOD	abvd_23_blood_1
deungo	deungo	DEUNGO	abvd	HEAR	abvd_44_tohear_1?
dhɯən	dhɯən	DHUEN	abvd	BRANCH	-
dong	dong	DONG	abvd	STAND	-
dRei	drei	DREI	abvd	YOU	-
dua	dua	DUA	abvd	TWO	abvd_198_two_1
dua ploh	duaploh	DUAPLOH	abvd	TWENTY	-
duek	duek	DUEK	abvd	SIT	abvd_51_tosit_35
duə	duə	DUE	abvd	TWO	abvd_198_two_1
duəʔ	duəʔ	DUEH	abvd	SIT	-
dɯŋə	dɯə	DUE	abvd	HEAR	-
dʌŋ	dʌ	D	abvd	STAND	-
eh	eh	EH	abvd	LIE DOWN	-
ek	ek	EK	abvd	CLIMB	-
eungkot	eungkot	EUNGKOT	abvd	FISH	-
eʔ	eʔ	EH	abvd	CLIMB	-
gaki	gaki	GAKI	abvd	FOOT OR LEG	abvd_4_legfoot_1
gapah	gapah	GAPAH	abvd	FAT (ORGANIC SUBSTANCE)	-
garam	garam	GARAM	abvd	SALT	abvd_125_salt_18
garok	garok	GAROK	abvd	SCRATCH	abvd_77_toscratch_55
gata	gata	GATA	abvd	YOU	-
gaɹo	gaɹo	GARO	abvd	SCRATCH	abvd_77_toscratch_1
get	get	GET	abvd	GOOD	-
gigoe	gigoe	GIGOE	abvd	TOOTH	abvd_31_tooth_17
glanteue	glanteue	GLANTEUE	abvd	THUNDER	-
glaŋ	gla	GLA	abvd	WORM	-
gliɲuəŋ	gliɲuə	GLINUE	abvd	EAR	-
glunyueng	glunyueng	GLUNUUENG	abvd	EAR	-
golom	golom	GOLOM	abvd	IF	-
gop	gop	GOP	abvd	OTHER	-
gutee	gutee	GUTEE	abvd	LOUSE	-
gutei	gutei	GUTEI	abvd	LOUSE	-
gət	gət	GET	abvd	GOOD	-
gɯlantɯə	gɯlantɯə	GULANTUE	abvd	THUNDER	-
han	han	HAN	abvd	NO OR NOT	-
hana	hana	HANA	abvd	NO OR NOT	-
hãn	hn	HN	abvd	NO OR NOT	-
idong	idong	IDONG	abvd	NOSE	abvd_27_nose_1
idoŋ	ido	IDO	abvd	NOSE	abvd_27_nose_1
ie	ie	IE	abvd	WATER	-
igay	igay	IGAU	abvd	TOOTH	-
ijo	ijo	IYO	abvd	GREEN	abvd_151_green_41
ikat	ikat	IKAT	abvd	FASTEN	abvd_66_totieupfasten_1
iku	iku	IKU	abvd	TAIL	abvd_105_tail_1
ileh	ileh	ILEH	abvd	FLOW	-
ilei	ilei	ILEI	abvd	FLOW	-
inong	inong	INONG	abvd	FEMALE PERSON	abvd_55_womanfemale_30
inʌŋ	inʌ	IN	abvd	FEMALE PERSON	-
isap	isap	ISAP	abvd	SUCK	abvd_42_tosuck_1
itam	itam	ITAM	abvd	BLACK	abvd_147_black_1
itek	itek	ITEK	abvd	SMALL	-
itong	itong	ITONG	abvd	COUNT	abvd_196_tocount_31
jak	jak	YAK	abvd	WALK	-
jamok	jamok	YAMOK	abvd	MOSQUITO	-
jamɔʔ	jamɔʔ	YAMOH	abvd	MOSQUITO	-
jan	jan	YAN	abvd	WHEN	-
jarom	jarom	YAROM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
jaɹom	jaɹom	YAROM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
jep	jep	YEP	abvd	DRINK	-
jeut	jeut	YEUT	abvd	BAD OR EVIL	-
jih	jih	YIH	abvd	HE OR SHE	-
jioh	jioh	YIOH	abvd	FAR	abvd_180_far_1
jup	jup	YUP	abvd	BELOW OR UNDER	-
jɔ̃ə̃	jɔ̃ə̃	YOE	abvd	THIS	-
kab	kab	KAB	abvd	BITE	-
kah	kah	KAH	abvd	THOU	-
kalon	kalon	KALON	abvd	SEE	-
kalɛn	kalɛn	KALEN	abvd	SEE	-
kamay	kamay	KAMAU	abvd	WE	-
kamoe	kamoe	KAMOE	abvd	WE	abvd_185_we_2
kap	kap	KAP	abvd	BITE	-
kayee	kayee	KAUEE	abvd	STICK	abvd_79_stickwood_1?
kayɛə	kayɛə	KAUEE	abvd	STICK	-
kei	kei	KEI	abvd	I	-
khem	khem	KHEM	abvd	LAUGH	-
kheuet	kheuet	KHEUET	abvd	SCRATCH	-
kiban	kiban	KIBAN	abvd	HOW	-
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
koh	koh	KOH	abvd	CUT OR HACK	-
kueh	kueh	KUEH	abvd	DIG	-
kulet	kulet	KULET	abvd	SKIN	abvd_12_skin_1
kuneng	kuneng	KUNENG	abvd	YELLOW	-
kunɛŋ	kunɛ	KUNE	abvd	YELLOW	-
kuto	kuto	KUTO	abvd	DIRTY	-
kɔh	kɔh	KOH	abvd	CUT OR HACK	-
