Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
آذى	ʔaːza	HASA	wikipron	-	-
آسيا	ʔaːsja	HASYA	wikipron	-	-
آيسكريم	ʔaːjskiriːm	HAYSKIRIM	wikipron	-	-
أبجورات	ʔabad͡ʒoːraːt	HABASORAT	wikipron	-	-
أبجورة	ʔabad͡ʒoːra	HABASORA	wikipron	-	-
أبغى	ʔabɣa	HABGA	wikipron	-	-
أبلة	ʔabla	HABLA	wikipron	-	-
أبلة	ʔabɫa	HABLA	wikipron	-	-
أبله	ʔablah	HABLAH	wikipron	-	-
أثاري	ʔataːri	HATARI	wikipron	-	-
أثاري	ʔaθaːri	HATARI	wikipron	-	-
أثبت	ʔasabbit	HASABBIT	wikipron	-	-
أثبت	ʔasbat	HASBAT	wikipron	-	-
أثبت	ʔaθabbit	HATABBIT	wikipron	-	-
أثبت	ʔaθbat	HATBAT	wikipron	-	-
أثني	ʔatni	HATNI	wikipron	-	-
أثيوبيا	ʔaθjoːbja	HATYOBYA	wikipron	-	-
أثيوبيا	ʔaθjuːbja	HATYUBYA	wikipron	-	-
أجبان	ʔad͡ʒbaːn	HASBAN	wikipron	-	-
أح	ʔaħħ	HAHH	wikipron	-	-
أحبك	ʔaħubbak	HAHUBBAK	wikipron	-	-
أحبك	ʔaħubbik	HAHUBBIK	wikipron	-	-
أخت	ʔuxt	HUKT	wikipron	-	-
أخذ	ʔaxad	HAKAD	wikipron	-	-
أخذ	ʔaxað	HAKAD	wikipron	-	-
أخطبوط	ʔaxtˤabuːtˤ	HAKTABUT	wikipron	-	-
أخلاق	ʔaxlaːɡ	HAKLAG	wikipron	-	-
أدري	ʔadri	HADRI	wikipron	-	-
أدى	ʔadda	HADDA	wikipron	-	-
أدي	ʔadːi	HADI	wikipron	-	-
أذربيجان	ʔaðarbeːd͡ʒaːn	HADARBESAN	wikipron	-	-
أرخبيل	ʔarxabiːl	HARKABIL	wikipron	-	-
أرقان	ʔarɡaːn	HARGAN	wikipron	-	-
أرقوز	ʔaraɡoːz	HARAGOS	wikipron	-	-
أرقيلة	ʔarɡiːla	HARGILA	wikipron	-	-
أزرق	ʔazarriɡ	HASARRIG	wikipron	-	-
أزرق	ʔazraɡ	HASRAG	wikipron	-	-
أزقة	ʔaziɡɡa	HASIGGA	wikipron	-	-
أسبوع	ʔusbuːʕ	HUSBUH	wikipron	-	-
أستحمى	ʔastaħamːa	HASTAHAMA	wikipron	-	-
أسطوانة	ʔustˤuwaːna	HUSTUWANA	wikipron	-	-
أشقر	ʔaʃɡar	HASGAR	wikipron	-	-
أصباع	ʔusˤbaːʕ	HUSBAH	wikipron	-	-
أصنصير	ʔasˤansˤeːr	HASANSER	wikipron	-	-
أطالع	ʔatˤaːliʕ	HATALIH	wikipron	-	-
أعقد	ʔaʕɡad	HAHGAD	wikipron	-	-
أغمض	ʔaɣamːidˤ	HAGAMID	wikipron	-	-
أغنية	ʔuɣnija	HUGNIYA	wikipron	-	-
أغنية	ʔuɣnijja	HUGNIYYA	wikipron	-	-
أفكادو	ʔafukaːdu	HAPUKADU	wikipron	-	-
أفكادو	ʔavukaːdu	HABUKADU	wikipron	-	-
أفلاطون	ʔaflaːtˤoːn	HAPLATON	wikipron	-	-
أقادير	ʔaɡaːdiːr	HAGADIR	wikipron	-	-
أقدر	ʔaɡaddir	HAGADDIR	wikipron	-	-
أقدر	ʔaɡdar	HAGDAR	wikipron	-	-
