Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
آش	ɑːʃ	AS	wikipron	-	-
أوتي	uːti	UTI	wikipron	-	-
أوردي	orːɪdi	ORIDI	wikipron	-	-
إثم	ɪθm	ITM	wikipron	-	-
إثم	ɪθɪm	ITIM	wikipron	-	-
إنترنت	ɪntərnət	INTERNET	wikipron	-	-
إنجليزي	ɪŋɡɪleːzi	INGILESI	wikipron	-	-
ابلة	əblˤə	EBLE	wikipron	-	-
اثول	əθwəl	ETWEL	wikipron	-	-
اجار	əd͡ʒɑːr	ESAR	wikipron	-	-
اجار	ət͡ʃɑːr	ESAR	wikipron	-	-
احنا	əħnə	EHNE	wikipron	-	-
اخترع	ɪχtɪrəʕ	IKTIREH	wikipron	-	-
اذون	əðuːn	EDUN	wikipron	-	-
استاذ	ɪstaːð	ISTAD	wikipron	-	-
استانس	ɪstanəs	ISTANES	wikipron	-	-
استكان	ɪstɪkɑːn	ISTIKAN	wikipron	-	-
اشارة	ɪʃɑːrə	ISARE	wikipron	-	-
اشكار	eʃkɑːr	ESKAR	wikipron	-	-
اشكرة	əʃkərə	ESKERE	wikipron	-	-
اصنصير	əsˤansˤeːr	ESANSER	wikipron	-	-
اغراض	əʁrɑːðˤ	ERRAD	wikipron	-	-
اقزوز	ɡzoːz	GSOS	wikipron	-	-
اقزوز	ɪɡzoːz	IGSOS	wikipron	-	-
ال	ɪ	I	wikipron	-	-
ال	ʔɪl	HIL	wikipron	-	-
الاحد	ɪləħəd	ILEHED	wikipron	-	-
الاربعا	ɪlərbɪʕə	ILERBIHE	wikipron	-	-
الحين	əlħin	ELHIN	wikipron	-	-
الحين	ɪlħin	ILHIN	wikipron	-	-
الدنمارك	dɪnɪmɑrk	DINIMARK	wikipron	-	-
العراق	lɪʕraːɡ	LIHRAG	wikipron	-	-
العراق	ɪlɪʕraːɡ	ILIHRAG	wikipron	-	-
القطيف	ɪlqətˀif	ILKETIP	wikipron	-	-
اليمعة	ɪljɪmʕə	ILYIMHE	wikipron	-	-
اليوم	ɪljoːm	ILYOM	wikipron	-	-
انت	ɪnt	INT	wikipron	-	-
انت	ɪnti	INTI	wikipron	-	-
انت	ɪntə	INTE	wikipron	-	-
انتو	ɪntəw	INTEW	wikipron	-	-
انتو	ɪntʊ	INTU	wikipron	-	-
