Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
agipo	agipo	AGIPO	abvd	ASH	abvd_146_ashes_1
alawid	alawid	ALAWID	abvd	FAR	-
alenget	alenget	ALENGET	abvd	NEAR	-
ali	ali	ALI	abvd	DIG	-
alikarem	alikarem	ALIKAREM	abvd	DUST	-
altek	altek	ALTEK	abvd	SLEEP	-
ambe	ambe	AMBE	abvd	RAT	abvd_102_rat_23
ambon	ambon	AMBON	abvd	FOG	abvd_132_fog_94
ami	ami	AMI	abvd	WE	-
amó	am	AM	abvd	YOU	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anda	anda	ANDA	abvd	NO OR NOT	abvd_195_nonot_1
anga	anga	ANGA	abvd	MOUTH	-
aning	aning	ANING	abvd	SAY	-
apoy	apoy	APOU	abvd	FIRE	abvd_143_fire_1
aran	aran	ARAN	abvd	NAME	abvd_63_name_1
aripa	aripa	ARIPA	abvd	WHERE	-
arok	arok	AROK	abvd	SWELL	-
asi	asi	ASI	abvd	THAT	-
ayam	ayam	AUAM	abvd	HUNT	-
aypa	aypa	AUPA	abvd	WHERE	-
ba-lo	balo	BALO	abvd	NEW	abvd_163_new_1
babay	babay	BABAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bael	bael	BAEL	abvd	GROW	abvd_86_togrow_34
bagsak	bagsak	BAGSAK	abvd	FALL	-
bakal	bakal	BAKAL	abvd	BUY	abvd_91_tobuy_32
balay	balay	BALAU	abvd	HOUSE	abvd_61_house_14
banggil	banggil	BANGGIL	abvd	THROW	-
basi	basi	BASI	abvd	HEAR	abvd_44_tohear_20
bato	bato	BATO	abvd	STONE	abvd_120_stone_1
bedbed	bedbed	BEDBED	abvd	SEW	-
belag	belag	BELAG	abvd	NO OR NOT	abvd_195_nonot_41
belak	belak	BELAK	abvd	SPLIT	-
belat	belat	BELAT	abvd	HEAVY	abvd_142_heavy_1
bi-wa	biwa	BIWA	abvd	INTESTINES	-
