Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bagu	bagu	BAGU	abvd	NEW	abvd_163_new_1
bebʌy	bebʌy	BEBU	abvd	SEA	abvd_124_sea_28
bitwʌn	bitwʌn	BITWN	abvd	STAR	abvd_130_star_1
bʌbbʌy	bʌbbʌy	BBBU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bʌkkʌn	bʌkkʌn	BKKN	abvd	NO OR NOT	abvd_195_nonot_26
bʌli	bʌli	BLI	abvd	HOUSE	abvd_61_house_14
bʌlʌkʌd	bʌlʌkʌd	BLKD	abvd	RAT	abvd_102_rat_41
bʌngbʌng	bʌngbʌng	BNGBNG	abvd	EAR	abvd_43_ear_55
bʌtu	bʌtu	BTU	abvd	STONE	abvd_120_stone_1
don	don	DON	abvd	LEAF	abvd_114_leaf_1
dulʌy	dulʌy	DULU	abvd	BAD OR EVIL	-
duwʌ	duwʌ	DUW	abvd	TWO	abvd_198_two_1
duʌpulu	duʌpulu	DUPULU	abvd	TWENTY	abvd_207_twenty_3
dʌgum	dʌgum	DGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dʌgʌ	dʌgʌ	DG	abvd	BLOOD	abvd_23_blood_1
dʌhag	dʌhag	DHAG	abvd	RED	abvd_149_red_1
dʌhun	dʌhun	DHUN	abvd	YEAR	abvd_169_year_43
dʌkʌl	dʌkʌl	DKL	abvd	BIG	abvd_153_big_22
dʌlʌk	dʌlʌk	DLK	abvd	THUNDER	-
dʌnum	dʌnum	DNUM	abvd	WATER	abvd_122_water_1
ginʌt	ginʌt	GINT	abvd	SAND	abvd_121_sand_37
gʌmman	gʌmman	GMMAN	abvd	CHEW	abvd_38_tochew_1
had	had	HAD	abvd	WHERE	-
hiklʌm	hiklʌm	HIKLM	abvd	NIGHT	abvd_167_night_20
hilʌ	hilʌ	HIL	abvd	TONGUE	-
huk	huk	HUK	abvd	HAIR	abvd_26_hair_1
hulan	hulan	HULAN	abvd	MOON	abvd_129_moon_1
hutʌli	hutʌli	HUTLI	abvd	COOK (SOMETHING)	abvd_39_tocook_91
hʌdang	hʌdang	HDANG	abvd	BREAST	-
hʌmut	hʌmut	HMUT	abvd	ROOT	abvd_115_root_3
kanu	kanu	KANU	abvd	WHEN	abvd_170_when_10
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kulʌm	kulʌm	KULM	abvd	CLOUD	abvd_131_cloud_49
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kʌmʌt	kʌmʌt	KMT	abvd	HAND	abvd_1_hand_21
kʌyu	kʌyu	KUU	abvd	STICK	abvd_79_stickwood_1
labʌn	labʌn	LABN	abvd	SMELL (PERCEIVE)	-
lig	lig	LIG	abvd	NECK	abvd_25_neck_1
limʌ	limʌ	LIM	abvd	FIVE	abvd_201_five_1
lubid	lubid	LUBID	abvd	ROPE	abvd_65_rope_21
lutʌk	lutʌk	LUTK	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
lʌlʌki	lʌlʌki	LLKI	abvd	MALE PERSON	abvd_54_manmale_2
lʌngit	lʌngit	LNGIT	abvd	SKY	abvd_128_sky_1
lʌppaw	lʌppaw	LPPAW	abvd	FLOWER	abvd_116_flower_27
lʌppu	lʌppu	LPPU	abvd	DUST	-
mamanuk	mamanuk	MAMANUK	abvd	BIRD	abvd_97_bird_1
mamʌt	mamʌt	MAMT	abvd	SHY OR ASHAMED	-
matʌ	matʌ	MAT	abvd	GREEN	abvd_151_green_1
mʌbʌsʌ	mʌbʌsʌ	MBS	abvd	WET	abvd_141_wet_1
mʌdammʌt	mʌdammʌt	MDAMMT	abvd	HEAVY	abvd_142_heavy_22
mʌduping	mʌduping	MDUPING	abvd	DIRTY	abvd_10_dirty_54
mʌdʌngʌg	mʌdʌngʌg	MDNGG	abvd	HEAR	abvd_44_tohear_1
mʌgbilang	mʌgbilang	MGBILANG	abvd	COUNT	abvd_196_tocount_1
mʌgbʌlittʌg	mʌgbʌlittʌg	MGBLITTG	abvd	TURN	abvd_8_toturn_21?
mʌgbʌyu	mʌgbʌyu	MGBUU	abvd	POUND	abvd_93_topoundbeat_1
mʌgdʌget	mʌgdʌget	MGDGET	abvd	SEW	abvd_67_tosew_2
mʌggʌlgʌl	mʌggʌlgʌl	MGGLGL	abvd	CUT OR HACK	-
mʌgkaddug	mʌgkaddug	MGKADDUG	abvd	STAB	abvd_71_tostabpierce_41
mʌgkuhas	mʌgkuhas	MGKUHAS	abvd	SCRATCH	-
mʌgkʌgat	mʌgkʌgat	MGKGAT	abvd	BITE	abvd_41_tobite_1
mʌgkʌli	mʌgkʌli	MGKLI	abvd	DIG	abvd_90_todig_1
mʌgkʌtʌwʌ	mʌgkʌtʌwʌ	MGKTW	abvd	LAUGH	abvd_33_tolaugh_1
mʌglutab	mʌglutab	MGLUTAB	abvd	SPIT	abvd_36_tospit_29
mʌglʌngoy	mʌglʌngoy	MGLNGOU	abvd	SWIM	abvd_9_toswim_1
mʌgmulʌ	mʌgmulʌ	MGMUL	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
mʌgpili	mʌgpili	MGPILI	abvd	CHOOSE	abvd_85_tochoose_1
mʌgpʌpasi	mʌgpʌpasi	MGPPASI	abvd	KILL	abvd_74_tokill_2
mʌgsigʌy	mʌgsigʌy	MGSIGU	abvd	DRY	-
mʌgsusu	mʌgsusu	MGSUSU	abvd	SUCK	abvd_42_tosuck_25
mʌgtayuk	mʌgtayuk	MGTAUUK	abvd	STAND	-
