Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abubu	abubu	ABUBU	abvd	SHORT	abvd_154_short_56
abwobwo	abwobwo	ABWOBWO	abvd	SHORT	abvd_154_short_56
afa-na	afana	APANA	abvd	LEAF	abvd_114_leaf_34
aforo	aforo	APORO	abvd	TURN	abvd_8_toturn_37
aha-na	ahana	AHANA	abvd	LEAF	abvd_114_leaf_34
ahiɣiana	ahiɣiana	AHIGIANA	abvd	FAT (ORGANIC SUBSTANCE)	-
ahoro	ahoro	AHORO	abvd	TURN	abvd_8_toturn_37
ahura	ahura	AHURA	abvd	STAB	abvd_71_tostabpierce_64
akerafa	akerafa	AKERAPA	abvd	SWELL	-
akurɒ	akurɒ	AKUR	abvd	THUNDER	abvd_134_thunder_2
akœ	ak	AK	abvd	WALK	-
amwā	amw	AMW	abvd	SNAKE	abvd_106_snake_12
anike	anike	ANIKE	abvd	THIS	-
ao	ao	AO	abvd	DOG	abvd_96_dog_58
ara	ara	ARA	abvd	WALK	-
ara-na	arana	ARANA	abvd	BRANCH	abvd_113_branch_1
arasi	arasi	ARASI	abvd	SWIM	abvd_9_toswim_63
arɔto	arɔto	AROTO	abvd	CLOUD	abvd_131_cloud_65
asi	asi	ASI	abvd	SEA	abvd_124_sea_1
ata	ata	ATA	abvd	NAME	abvd_63_name_1
ata-na	atana	ATANA	abvd	NAME	abvd_63_name_1
atara	atara	ATARA	abvd	PATH OR ROAD	abvd_6_roadpath_1
aŋe-na	aena	AENA	abvd	INTESTINES	abvd_16_intestines_59
aŋeana	aeana	AEANA	abvd	INTESTINES	abvd_16_intestines_59
aŋeka	aeka	AEKA	abvd	INTESTINES	abvd_16_intestines_59
aŋi	ai	AI	abvd	CRY	abvd_34_tocry_1
aɣī	aɣ	AG	abvd	FIRE	abvd_143_fire_33
banienuni	banienuni	BANIENUNI	abvd	OLD	-
bareo	bareo	BAREO	abvd	THATCH OR ROOF	-
binoa	binoa	BINOA	abvd	SQUEEZE	-
biu	biu	BIU	abvd	SEVEN	abvd_203_seven_1
borahu	borahu	BORAHU	abvd	LONG	abvd_155_long_16
bosia	bosia	BOSIA	abvd	SEE	abvd_46_tosee_63
buŋiana	buiana	BUIANA	abvd	NIGHT	abvd_167_night_1
bwafuri-na	bwafurina	BWAPURINA	abvd	BELLY	abvd_14_belly_79
bwarusu-na	bwarusuna	BWARUSUNA	abvd	NOSE	abvd_27_nose_1
bwera netaɣe	bweranetaɣe	BWERANETAGE	abvd	THOUSAND	abvd_210_onethousand_23
bworafu	bworafu	BWORAPU	abvd	LONG	abvd_155_long_16
bwore	bwore	BWORE	abvd	SEE	-
bwote	bwote	BWOTE	abvd	SWELL	abvd_87_toswell_17
bwoŋi	bwoi	BWOI	abvd	NIGHT	abvd_167_night_1
bwēra	bwra	BWRA	abvd	DIRTY	abvd_10_dirty_79
bwœ-ku	bwku	BWKU	abvd	HEAD	abvd_24_head_9
bwɔrahu	bwɔrahu	BWORAHU	abvd	LONG	abvd_155_long_16
bwɔŋi	bwɔi	BWOI	abvd	NIGHT	abvd_167_night_1
bwɔɛra	bwɔɛra	BWOERA	abvd	DIRTY	abvd_10_dirty_79
bwə-na	bwəna	BWENA	abvd	HEAD	abvd_24_head_9
bɔsia	bɔsia	BOSIA	abvd	SEE	abvd_46_tosee_63
eapwupwu	eapwupwu	EAPWUPWU	abvd	SHORT	abvd_154_short_56
easita	easita	EASITA	abvd	SPLIT	abvd_80_tosplit_55
easu	easu	EASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ehē	eh	EH	abvd	FOUR	abvd_200_four_1
eka	eka	EKA	abvd	THIS	abvd_177_this_6
ekani	ekani	EKANI	abvd	THIS	abvd_177_this_44
ema-na	emana	EMANA	abvd	FATHER	abvd_60_father_1
emāsi	emsi	EMSI	abvd	SHARP	abvd_81_sharp_72
ena-na	enana	ENANA	abvd	MOTHER	abvd_59_mother_1
enuni	enuni	ENUNI	abvd	PERSON	abvd_53_personhumanbeing_10
eoto	eoto	EOTO	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_13
era	era	ERA	abvd	BAD OR EVIL	abvd_165_badevil_52
erua	erua	ERUA	abvd	TWO	abvd_198_two_1
eruhu	eruhu	ERUHU	abvd	WET	abvd_141_wet_66
esiki	esiki	ESIKI	abvd	WHITE	abvd_148_white_58
eta	eta	ETA	abvd	ONE	abvd_197_one_32
etaɣe	etaɣe	ETAGE	abvd	ONE	abvd_197_one_32
etā	et	ET	abvd	ONE	abvd_197_one_32
eupupuɣa	eupupuɣa	EUPUPUGA	abvd	THICK	abvd_157_thick_12
ewaru	ewaru	EWARU	abvd	EIGHT	abvd_204_eight_3
eŋi	ei	EI	abvd	CRY	abvd_34_tocry_1
eɔru	eɔru	EORU	abvd	THREE	abvd_199_three_1
eɔto	eɔto	EOTO	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_13
fai	fai	PAI	abvd	FOUR	abvd_200_four_1
fanaɣo	fanaɣo	PANAGO	abvd	STEAL	abvd_73_tosteal_1
fara-na	farana	PARANA	abvd	MOUTH	abvd_30_mouth_42
farisi	farisi	PARISI	abvd	YEAR	abvd_169_year_8
faɣaraŋi	faɣarai	PAGARAI	abvd	NEAR	abvd_179_near_1
faɣate	faɣate	PAGATE	abvd	FAR	abvd_180_far_1
faɣawasi	faɣawasi	PAGAWASI	abvd	HUNT	abvd_69_tohunt_15
faɣefa	faɣefa	PAGEPA	abvd	MOON	abvd_129_moon_39
fefene	fefene	PEPENE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
feresia	feresia	PERESIA	abvd	HOLD	abvd_89_tohold_63
fisiɣo-na	fisiɣona	PISIGONA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fiɣa	fiɣa	PIGA	abvd	HEAVY	abvd_142_heavy_41
fiɣu	fiɣu	PIGU	abvd	STAR	abvd_130_star_1
foru	foru	PORU	abvd	NEW	abvd_163_new_1
fœ	f	P	abvd	STONE	abvd_120_stone_1
hai	hai	HAI	abvd	FOUR	abvd_200_four_1
hanaɣo	hanaɣo	HANAGO	abvd	STEAL	abvd_73_tosteal_1
hane	hane	HANE	abvd	WALK	-
hara-ku	haraku	HARAKU	abvd	MOUTH	abvd_30_mouth_42
hara-na	harana	HARANA	abvd	MOUTH	abvd_30_mouth_42
