Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	northeuralex	SIT	-
abe	abe	ABE	northeuralex	FIRE	-
abeetoho	abeetoho	ABEETOHO	northeuralex	TUESDAY	-
abemeɾi	abemeɾi	ABEMERI	northeuralex	SPARK	-
abesokot	abesokot	ABESOKOT	northeuralex	STOVE	-
aekotenispa	aekotenispa	AEKOTENISPA	northeuralex	KING	-
aep	aep	AEP	northeuralex	FOOD	-
aeɾamasu	aeɾamasu	AERAMASU	northeuralex	LIKE	-
ahun	ahun	AHUN	northeuralex	SET (HEAVENLY BODIES)	-
ahupkaɾa	ahupkaɾa	AHUPKARA	northeuralex	GET	-
ak	ak	AK	northeuralex	BROTHER	-
akbe	akbe	AKBE	northeuralex	TRAP (PITFALL)	-
amaka	amaka	AMAKA	northeuralex	OPEN (STATE)	-
amam	amam	AMAM	northeuralex	351_corn	-
amba	amba	AMBA	northeuralex	CARRY	-
ambe	ambe	AMBE	northeuralex	THING	-
ami	ami	AMI	northeuralex	FINGERNAIL	-
amip	amip	AMIP	northeuralex	CLOTHES	-
an	an	AN	northeuralex	NIGHT	-
ani	ani	ANI	northeuralex	HOLD	-
anoka͡ɪ	anokaɪ	ANOKAI	northeuralex	WE	-
ant͡sikaɾa	antsikaɾa	ANTSIKARA	northeuralex	NIGHT	-
anu	anu	ANU	northeuralex	822_put	-
anukan	anukan	ANUKAN	northeuralex	EMERGE (APPEAR)	-
anːaambe	anːaambe	ANAAMBE	northeuralex	HEALTHY	-
apa	apa	APA	northeuralex	GATE	-
apausta	apausta	APAUSTA	northeuralex	DOOR	-
apkas	apkas	APKAS	northeuralex	WALK	-
apto	apto	APTO	northeuralex	RAIN (PRECIPITATION)	-
aptoas	aptoas	APTOAS	northeuralex	RAIN (RAINING)	-
as	as	AS	northeuralex	STAND	-
asikipet	asikipet	ASIKIPET	northeuralex	FINGER	-
asikipetoɾuŋkani	asikipetoɾuŋkani	ASIKIPETORUNKANI	northeuralex	RING	-
asikne	asikne	ASIKNE	northeuralex	FIVE	-
asiknehotne	asiknehotne	ASIKNEHOTNE	northeuralex	HUNDRED	-
asiknesinewanhot	asiknesinewanhot	ASIKNESINEWANHOT	northeuralex	THOUSAND	-
asiŋkop	asiŋkop	ASINKOP	northeuralex	KNOT	-
asiɾi	asiɾi	ASIRI	northeuralex	NEW	-
askanːe	askanːe	ASKANE	northeuralex	CLEAN	-
askanːenekaɾa	askanːenekaɾa	ASKANENEKARA	northeuralex	CLEAN (SOMETHING)	-
aska͡ɪ	askaɪ	ASKAI	northeuralex	DEXTEROUS	-
askekotoɾo	askekotoɾo	ASKEKOTORO	northeuralex	PALM OF HAND	-
aspa	aspa	ASPA	northeuralex	DEAF	-
assap	assap	ASSAP	northeuralex	OAR	-
assuɾuan	assuɾuan	ASSURUAN	northeuralex	571_famous	-
asui	asui	ASUI	northeuralex	ONE TIME	-
ataje	ataje	ATAYE	northeuralex	PRICE	-
atajehauɡe	atajehauge	ATAYEHAUGE	northeuralex	CHEAP	-
atajejupke	atajejupke	ATAYEYUPKE	northeuralex	EXPENSIVE	-
atajekoɾe	atajekoɾe	ATAYEKORE	northeuralex	1013_payfor	-
atui	atui	ATUI	northeuralex	SEA	-
atusa	atusa	ATUSA	northeuralex	NAKED	-
atːe	atːe	ATE	northeuralex	HANG UP	-
at͡sa	atsa	ATSA	northeuralex	UNCLE	-
at͡si	atsi	ATSI	northeuralex	FOREIGN	-
aɾaka	aɾaka	ARAKA	northeuralex	ACHE	-
aɾamepakaɾe	aɾamepakaɾe	ARAMEPAKARE	northeuralex	CALCULATE	-
aɾapa	aɾapa	ARAPA	northeuralex	GO	-
aɾapawaisam	aɾapawaisam	ARAPAWAISAM	northeuralex	LEAVE	-
aɾawan	aɾawan	ARAWAN	northeuralex	SEVEN	-
aɾe	aɾe	ARE	northeuralex	823_place	-
aːsi	aːsi	ASI	northeuralex	CLOSED	-
a͡ɪ	aɪ	AI	northeuralex	ARROW	-
a͡ɪbep	aɪbep	AIBEP	northeuralex	DISH	-
a͡ɪkoɾep	aɪkoɾep	AIKOREP	northeuralex	GIFT	-
a͡ɪnu	aɪnu	AINU	northeuralex	PERSON	-
eak	eak	EAK	northeuralex	SHOOT	-
eani	eani	EANI	northeuralex	THOU	-
easka͡ɪ	easkaɪ	EASKAI	northeuralex	BE ABLE	-
ehoɾoka	ehoɾoka	EHOROKA	northeuralex	BACKWARD	-
ejapkiɾe	ejapkiɾe	EYAPKIRE	northeuralex	THROW	-
ek	ek	EK	northeuralex	COME	-
ekasi	ekasi	EKASI	northeuralex	GRANDFATHER	-
ekohopi	ekohopi	EKOHOPI	northeuralex	925_leave	-
ekoimokokoɾo	ekoimokokoɾo	EKOIMOKOKORO	northeuralex	DONATE	-
emko	emko	EMKO	northeuralex	HALF	-
ene	ene	ENE	northeuralex	OF THIS KIND (SUCH)	-
eninuibe	eninuibe	ENINUIBE	northeuralex	PILLOW	-
enukaɾa	enukaɾa	ENUKARA	northeuralex	BLUNT	-
eotui	eotui	EOTUI	northeuralex	FINISH	-
epakasnu	epakasnu	EPAKASNU	northeuralex	TEACH	-
epokbaɡuɾu	epokbaguɾu	EPOKBAGURU	northeuralex	ENEMY	-
epuinepi	epuinepi	EPUINEPI	northeuralex	HEAP	-
epuiɡe	epuige	EPUIGE	northeuralex	FLOWER	-
epuŋɡine	epuŋgine	EPUNGINE	northeuralex	PROTECT	-
esanaɡuɾu	esanaguɾu	ESANAGURU	northeuralex	FORWARD	-
esikaɾun	esikaɾun	ESIKARUN	northeuralex	REMEMBER	-
esikop	esikop	ESIKOP	northeuralex	PARENTS	-
esikte	esikte	ESIKTE	northeuralex	FILL	-
esina	esina	ESINA	northeuralex	HIDE (CONCEAL)	-
esoɾo	esoɾo	ESORO	northeuralex	LENGTH	-
etaje	etaje	ETAYE	northeuralex	PULL	-
etaɾa	etaɾa	ETARA	northeuralex	STING	-
etokota	etokota	ETOKOTA	northeuralex	AT FIRST	-
etokotuje	etokotuje	ETOKOTUYE	northeuralex	HINDER	-
etokoːiki	etokoːiki	ETOKOIKI	northeuralex	PREPARE	-
etu	etu	ETU	northeuralex	NOSE	-
etutanːekikiɾi	etutanːekikiɾi	ETUTANEKIKIRI	northeuralex	MOSQUITO	-
et͡sioka͡ɪ	etsiokaɪ	ETSIOKAI	northeuralex	YOU	-
eumasnu	eumasnu	EUMASNU	northeuralex	KEEP	-
eupsiɾe	eupsiɾe	EUPSIRE	northeuralex	TURN (SOMETHING)	-
eusi	eusi	EUSI	northeuralex	858_stick	-
eɾaman	eɾaman	ERAMAN	northeuralex	997_grasp	-
eɾem	eɾem	EREM	northeuralex	MOUSE	-
eːn	eːn	EN	northeuralex	POINTED	-
eːŋka	eːŋka	ENKA	northeuralex	SHARPEN (SOMETHING)	-
e͡ɪhok	eɪhok	EIHOK	northeuralex	SELL	-
e͡ɪkaunu	eɪkaunu	EIKAUNU	northeuralex	WIN	-
e͡ɪpake	eɪpake	EIPAKE	northeuralex	FRINGE	-
e͡ɪsokoɾo	eɪsokoɾo	EISOKORO	northeuralex	BELIEVE	-
habo	habo	HABO	northeuralex	MOTHER	-
ham	ham	HAM	northeuralex	LEAF	-
hapuɾu	hapuɾu	HAPURU	northeuralex	SOFT	-
hapɾapt͡sup	hapɾaptsup	HAPRAPTSUP	northeuralex	MARCH	-
hat͡simaki	hatsimaki	HATSIMAKI	northeuralex	TOWEL	-
hat͡siɾe	hatsiɾe	HATSIRE	northeuralex	DROP (SOMETHING)	-
hat͡siɾi	hatsiɾi	HATSIRI	northeuralex	FALL	-
hau	hau	HAU	northeuralex	TALK	-
hawe	hawe	HAWE	northeuralex	VOICE	-
haŋku	haŋku	HANKU	northeuralex	NAVEL	-
haŋɡe	haŋge	HANGE	northeuralex	NEAR	-
haɾaki	haɾaki	HARAKI	northeuralex	LOAD	-
haɾiki	haɾiki	HARIKI	northeuralex	LEFT	-
he	he	HE	northeuralex	BREATH	-
heasiɾe	heasiɾe	HEASIRE	northeuralex	BEGIN	-
heaspa	heaspa	HEASPA	northeuralex	683_begin	-
hebasi	hebasi	HEBASI	northeuralex	SOUTH	-
hebeɾa	hebeɾa	HEBERA	northeuralex	NORTH	-
hekat͡si	hekatsi	HEKATSI	northeuralex	BOY	-
hembaɾanejakːa	hembaɾanejakːa	HEMBARANEYAKA	northeuralex	ALWAYS	-
hempak	hempak	HEMPAK	northeuralex	HOW MANY	-
hene	hene	HENE	northeuralex	OR	-
hepeŋki	hepeŋki	HEPENKI	northeuralex	SPRING (OF WATER)	-
hepoɾap	hepoɾap	HEPORAP	northeuralex	BUTTERFLY	-
hese	hese	HESE	northeuralex	BREATHE	-
hetuku	hetuku	HETUKU	northeuralex	RISE (MOVE UPWARDS)	-
het͡siɾi	hetsiɾi	HETSIRI	northeuralex	GAME	-
hitsuji	hitsuji	HITSUYI	northeuralex	SHEEP	-
