Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
آخر	ʔaːxir	HAKIR	wikipron	-	-
آخرة	ʔaːxra	HAKRA	wikipron	-	-
آخرة	ʔaːxre	HAKRE	wikipron	-	-
آذار	ʔaːðaːr	HADAR	wikipron	-	-
آسف	ʔaːsef	HASEP	wikipron	-	-
آسيا	ʔaːsja	HASYA	wikipron	-	-
آلاف	ʔaːlaːf	HALAP	wikipron	-	-
آلة	ʔaːla	HALA	wikipron	-	-
آلة	ʔaːle	HALE	wikipron	-	-
آمن	ʔaːman	HAMAN	wikipron	-	-
آنس	ʔaːnas	HANAS	wikipron	-	-
آه	ʔaː	HA	wikipron	-	-
أباجور	ʔabaːʒoːr	HABASOR	wikipron	-	-
أبدا	ʔabadan	HABADAN	wikipron	-	-
أبدع	ʔabdaʕ	HABDAH	wikipron	-	-
أبرز	ʔabraz	HABRAS	wikipron	-	-
أبسط	ʔabsatˤ	HABSAT	wikipron	-	-
أبصر	ʔabsˤar	HABSAR	wikipron	-	-
أبطل	ʔabtˤal	HABTAL	wikipron	-	-
أبعد	ʔabʕad	HABHAD	wikipron	-	-
أبن	ʔabban	HABBAN	wikipron	-	-
أبهر	ʔabhar	HABHAR	wikipron	-	-
أبو	ʔabu	HABU	wikipron	-	-
أبيض	ʔabjadˤ	HABYAD	wikipron	-	-
أتر	ʔattar	HATTAR	wikipron	-	-
أتراك	ʔatraːk	HATRAK	wikipron	-	-
أتلج	ʔatlaʒ	HATLAS	wikipron	-	-
أثاث	ʔaθaːθ	HATAT	wikipron	-	-
أثبت	ʔasbat	HASBAT	wikipron	-	-
أثر	ʔassar	HASSAR	wikipron	-	-
أثر	ʔaθθar	HATTAR	wikipron	-	-
أجار	ʔaʒaːr	HASAR	wikipron	-	-
أجر	ʔaʒʒar	HASSAR	wikipron	-	-
أجل	ʔaʒʒal	HASSAL	wikipron	-	-
أجنبي	ʔaʒnabi	HASNABI	wikipron	-	-
أحرج	ʔaħraʒ	HAHRAS	wikipron	-	-
أحرز	ʔaħraz	HAHRAS	wikipron	-	-
أحسن	ʔaħsan	HAHSAN	wikipron	-	-
أحلى	ʔaħla	HAHLA	wikipron	-	-
أحمر	ʔaħmar	HAHMAR	wikipron	-	-
أخت	ʔuxt	HUKT	wikipron	-	-
أخد	ʔaxad	HAKAD	wikipron	-	-
أخذ	ʔaxad	HAKAD	wikipron	-	-
أخضر	ʔaxdˤar	HAKDAR	wikipron	-	-
أخطى	ʔaxtˤa	HAKTA	wikipron	-	-
أخفى	ʔaxfa	HAKPA	wikipron	-	-
أخلى	ʔaxla	HAKLA	wikipron	-	-
أخو	ʔaxu	HAKU	wikipron	-	-
أخير	ʔaxiːr	HAKIR	wikipron	-	-
أخيرا	ʔaxiːran	HAKIRAN	wikipron	-	-
أدار	ʔadaːr	HADAR	wikipron	-	-
أدمن	ʔadman	HADMAN	wikipron	-	-
أدن	ʔaddan	HADDAN	wikipron	-	-
أدنى	ʔadna	HADNA	wikipron	-	-
أدهش	ʔadhaʃ	HADHAS	wikipron	-	-
أذى	ʔaza	HASA	wikipron	-	-
أربع	ʔarbaʔ	HARBAH	wikipron	-	-
أربعة	ʔarbaʕa	HARBAHA	wikipron	-	-
أربعتعش	ʔarbaʕtaʃ	HARBAHTAS	wikipron	-	-
أربعين	ʔarbʕiːn	HARBHIN	wikipron	-	-
أرجل	ʔarɡal	HARGAL	wikipron	-	-
أرجيلة	ʔarɡiːla	HARGILA	wikipron	-	-
أرجيلة	ʔarɡiːle	HARGILE	wikipron	-	-
أرشد	ʔarʃad	HARSAD	wikipron	-	-
أرض	ʔardˤ	HARD	wikipron	-	-
أرضى	ʔardˤa	HARDA	wikipron	-	-
أرمن	ʔarman	HARMAN	wikipron	-	-
أرمني	ʔarmani	HARMANI	wikipron	-	-
أرمينيا	ʔarmiːnja	HARMINYA	wikipron	-	-
أرنب	ʔarnab	HARNAB	wikipron	-	-
أزرق	ʔazraɡ	HASRAG	wikipron	-	-
أزرق	ʔazraʔ	HASRAH	wikipron	-	-
أزعج	ʔazʕaʒ	HASHAS	wikipron	-	-
أزعر	ʔazʕar	HASHAR	wikipron	-	-
أزمة	ʔazma	HASMA	wikipron	-	-
أزمة	ʔazme	HASME	wikipron	-	-
أسبوع	ʔusbuːʕ	HUSBUH	wikipron	-	-
أستاذ	ʔustaːz	HUSTAS	wikipron	-	-
أستراليا	ʔustraːlja	HUSTRALYA	wikipron	-	-
أسد	ʔasad	HASAD	wikipron	-	-
أسرع	ʔasraʕ	HASRAH	wikipron	-	-
أسس	ʔassas	HASSAS	wikipron	-	-
أسف	ʔasaf	HASAP	wikipron	-	-
أسفل	ʔasfal	HASPAL	wikipron	-	-
أسكر	ʔaskar	HASKAR	wikipron	-	-
أسلم	ʔaslam	HASLAM	wikipron	-	-
أسود	ʔaswad	HASWAD	wikipron	-	-
أشبع	ʔaʃbaʕ	HASBAH	wikipron	-	-
أشتى	ʔaʃta	HASTA	wikipron	-	-
أشخاص	ʔaʃxaːsˤ	HASKAS	wikipron	-	-
أشر	ʔaʃʃar	HASSAR	wikipron	-	-
أشرك	ʔaʃrak	HASRAK	wikipron	-	-
أشهر	ʔaʃhur	HASHUR	wikipron	-	-
أصاب	ʔasˤaːb	HASAB	wikipron	-	-
أصبح	ʔasˤbaħ	HASBAH	wikipron	-	-
أصبع	ʔusˤbaʕ	HUSBAH	wikipron	-	-
أصحاب	ʔasˤħaːb	HASHAB	wikipron	-	-
أصدقاء	ʔasˤdiqaːʔ	HASDIKAH	wikipron	-	-
أصر	ʔasˤarr	HASARR	wikipron	-	-
أصفر	ʔasˤfar	HASPAR	wikipron	-	-
أصلح	ʔasˤlaħ	HASLAH	wikipron	-	-
أصنصير	ʔasˤansˤeːr	HASANSER	wikipron	-	-
أضاف	ʔadˤaːf	HADAP	wikipron	-	-
أضرب	ʔadˤrab	HADRAB	wikipron	-	-
أضفر	ʔudˤfar	HUDPAR	wikipron	-	-
أعار	ʔaʕaːr	HAHAR	wikipron	-	-
أعجب	ʔaʕʒab	HAHSAB	wikipron	-	-
