Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a'īlu	aʔiːlu	AHILU	wikipron	-	-
abdu	abdu	ABDU	wikipron	-	-
abnum	abnum	ABNUM	wikipron	-	-
abullum	abullum	ABULLUM	wikipron	-	-
Abum	abum	ABUM	wikipron	-	-
abīlum	abiːlum	ABILUM	wikipron	-	-
abūbum	abuːbum	ABUBUM	wikipron	-	-
Adad	adad	ADAD	wikipron	-	-
Addarum	addarum	ADDARUM	wikipron	-	-
addum	addum	ADDUM	wikipron	-	-
adi	adi	ADI	wikipron	-	-
adānum	adaːnum	ADANUM	wikipron	-	-
agammum	aɡammum	AGAMMUM	wikipron	-	-
akalum	akalum	AKALUM	wikipron	-	-
Akkade	akkade	AKKADE	wikipron	-	-
akkadûm	akkaduːm	AKKADUM	wikipron	-	-
akkû	akkuː	AKKU	wikipron	-	-
aklum	aklum	AKLUM	wikipron	-	-
akālum	akaːlum	AKALUM	wikipron	-	-
alaktum	alaktum	ALAKTUM	wikipron	-	-
alpum	alpum	ALPUM	wikipron	-	-
alākum	alaːkum	ALAKUM	wikipron	-	-
amtum	amtum	AMTUM	wikipron	-	-
amurdinnum	amurdinnum	AMURDINNUM	wikipron	-	-
Amurrum	amurrum	AMURRUM	wikipron	-	-
amārum	amaːrum	AMARUM	wikipron	-	-
amēlu	ameːlu	AMELU	wikipron	-	-
amīlu	amiːlu	AMILU	wikipron	-	-
amšālim	amʃaːlim	AMSALIM	wikipron	-	-
amūtum	amuːtum	AMUTUM	wikipron	-	-
ana	ana	ANA	wikipron	-	-
andurārum	anduraːrum	ANDURARUM	wikipron	-	-
anna	anna	ANNA	wikipron	-	-
annakum	annakum	ANNAKUM	wikipron	-	-
annûm	annuːm	ANNUM	wikipron	-	-
anāku	anaːku	ANAKU	wikipron	-	-
apkallum	apkallum	APKALLUM	wikipron	-	-
aplum	aplum	APLUM	wikipron	-	-
appum	appum	APPUM	wikipron	-	-
aptum	aptum	APTUM	wikipron	-	-
aradum	aradum	ARADUM	wikipron	-	-
arantum	arantum	ARANTUM	wikipron	-	-
ardu	ardu	ARDU	wikipron	-	-
ardum	ardum	ARDUM	wikipron	-	-
argamannu	arɡamannu	ARGAMANNU	wikipron	-	-
ariktum	ariktum	ARIKTUM	wikipron	-	-
arkum	arkum	ARKUM	wikipron	-	-
arnum	arnum	ARNUM	wikipron	-	-
arākum	araːkum	ARAKUM	wikipron	-	-
arārum	araːrum	ARARUM	wikipron	-	-
asum	asum	ASUM	wikipron	-	-
atta	atta	ATTA	wikipron	-	-
atti	atti	ATTI	wikipron	-	-
attina	attina	ATTINA	wikipron	-	-
attunu	attunu	ATTUNU	wikipron	-	-
Ausi'i	ausiʔi	AUSIHI	wikipron	-	-
awātum	awaːtum	AWATUM	wikipron	-	-
awīltum	awiːltum	AWILTUM	wikipron	-	-
awīlum	awiːlum	AWILUM	wikipron	-	-
awīlû	awiːluː	AWILU	wikipron	-	-
ayyalum	ajjalum	AYYALUM	wikipron	-	-
ayyum	ajjum	AYYUM	wikipron	-	-
Ayyārum	ajjaːrum	AYYARUM	wikipron	-	-
ayyīkiam	ajjiːkiam	AYYIKIAM	wikipron	-	-
ašrum	aʃrum	ASRUM	wikipron	-	-
ašāgum	aʃaːɡum	ASAGUM	wikipron	-	-
aššatum	aʃʃatum	ASSATUM	wikipron	-	-
aššum	aʃʃum	ASSUM	wikipron	-	-
Aššūr	aʃʃuːr	ASSUR	wikipron	-	-
aḫum	aχum	AKUM	wikipron	-	-
aḫûm	aχuːm	AKUM	wikipron	-	-
aḫātum	aχaːtum	AKATUM	wikipron	-	-
bakûm	bakuːm	BAKUM	wikipron	-	-
balāṭum	balaːtˤum	BALATUM	wikipron	-	-
banûm	banuːm	BANUM	wikipron	-	-
barbarum	barbarum	BARBARUM	wikipron	-	-
bardu	bardu	BARDU	wikipron	-	-
