Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ba:yih	bayih	BAUIH	abvd	FEMALE PERSON	abvd_55_womanfemale_1
babá:yih	babyih	BABUIH	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bagáʔ	bagʔ	BAGH	abvd	SWELL	abvd_87_toswell_1
bahúɣ	bahɣ	BAHG	abvd	BIG	abvd_153_big_93
bakáɣ	bakɣ	BAKG	abvd	BUY	abvd_91_tobuy_32
basáʔ	basʔ	BASH	abvd	WET	abvd_141_wet_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bayúh	bayh	BAUH	abvd	POUND	abvd_93_topoundbeat_1
baɣahí:buh	baɣahbuh	BAGAHBUH	abvd	FEATHER	abvd_99_feather_21
baɣás	baɣs	BAGS	abvd	SAND	abvd_121_sand_19
baɣáy	baɣy	BAGU	abvd	HOUSE	abvd_61_house_14
bitú:ʔun	bitʔun	BITHUN	abvd	STAR	abvd_130_star_1
bubul	bubul	BUBUL	abvd	FEATHER	abvd_99_feather_1
buhúk	buhk	BUHK	abvd	HAIR	abvd_26_hair_1
bukáʔ	bukʔ	BUKH	abvd	OPEN	abvd_92_toopenuncover_1
bulúk	bulk	BULK	abvd	ROTTEN	abvd_112_rotten_1
bunúʔ	bunʔ	BUNH	abvd	STAB	abvd_71_tostabpierce_26
bágʔuh	bgʔuh	BGHUH	abvd	NEW	abvd_163_new_1
báʔbaʔ	bʔbaʔ	BHBAH	abvd	MOUTH	abvd_30_mouth_1
bú:ŋah	bah	BAH	abvd	FRUIT	abvd_117_fruit_9
bú:ɣak	bɣak	BGAK	abvd	FLOWER	abvd_116_flower_22
bú:ɣan	bɣan	BGAN	abvd	MOON	abvd_129_moon_1
búgʔat	bgʔat	BGHAT	abvd	HEAVY	abvd_142_heavy_1
búsʔak	bsʔak	BSHAK	abvd	SPLIT	abvd_80_tosplit_27
búɣbuɣ	bɣbuɣ	BGBUG	abvd	FEATHER	abvd_99_feather_1
da:gum	dagum	DAGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
danáw	danw	DANW	abvd	LAKE	abvd_126_lake_1
datúh	dath	DATH	abvd	THAT	abvd_178_that_16
daywáh	daywh	DAUWH	abvd	TWO	abvd_198_two_1
daŋáɣ	daɣ	DAG	abvd	BLUNT	-
daɣúgdug	daɣgdug	DAGGDUG	abvd	THUNDER	abvd_134_thunder_2
dugúʔ	dugʔ	DUGH	abvd	BLOOD	abvd_23_blood_16
duɣáw	duɣw	DUGW	abvd	YELLOW	abvd_150_yellow_24
duɣúŋgan	duɣgan	DUGGAN	abvd	EAR	abvd_43_ear_11
dá:gat	dgat	DGAT	abvd	SEA	abvd_124_sea_25
dá:hun	dhun	DHUN	abvd	LEAF	abvd_114_leaf_1
dá:muɣ	dmuɣ	DMUG	abvd	THICK	abvd_157_thick_21
dá:yah	dyah	DUAH	abvd	THIS	abvd_177_this_35
dá:ɣan	dɣan	DGAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dágʔun	dgʔun	DGHUN	abvd	YEAR	abvd_169_year_43
dámguh	dmguh	DMGUH	abvd	DREAM (SOMETHING)	abvd_50_todream_21
dí:laʔ	dlaʔ	DLAH	abvd	TONGUE	abvd_32_tongue_4
dú:naʔ	dnaʔ	DNAH	abvd	THIS	abvd_177_this_8
dú:yun	dyun	DUUN	abvd	THAT	abvd_178_that_49
gabí:ʔih	gabʔih	GABHIH	abvd	NIGHT	abvd_167_night_21
gamút	gamt	GAMT	abvd	ROOT	abvd_115_root_3
ginhá:wa.	ginhwa	GINHWA	abvd	BREATHE	abvd_28_tobreathe_1
gú:ɣaŋ	gɣa	GGA	abvd	OLD	abvd_162_old_21
habúy	haby	HABU	abvd	THROW	-
halimunún	halimunn	HALIMUNN	abvd	GRASS	abvd_118_grass_91
hibayág	hibayg	HIBAUG	abvd	LAUGH	-
higút	higt	HIGT	abvd	FASTEN	abvd_66_totieupfasten_1
hinʔunúh	hinʔunh	HINHUNH	abvd	WHEN	abvd_170_when_10
humút	humt	HUMT	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_31
hunáʔhunáʔ	hunʔhunʔ	HUNHHUNH	abvd	THINK	abvd_21_tothink_24
huyáp	huyp	HUUP	abvd	COUNT	abvd_196_tocount_2
huyáʔ	huyʔ	HUUH	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
huyúp	huyp	HUUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
há:baʔ	hbaʔ	HBAH	abvd	LONG	abvd_155_long_27
há:ŋin	hin	HIN	abvd	WIND	abvd_136_wind_1
há:ɣuk	hɣuk	HGUK	abvd	SWELL	-
hádluk	hdluk	HDLUK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_16
hámbaɣ	hmbaɣ	HMBAG	abvd	SAY	abvd_64_tosay_171
hígkuʔ	hgkuʔ	HGKUH	abvd	DIRTY	abvd_10_dirty_11
hú:ɣog	hɣog	HGOG	abvd	FALL	abvd_95_tofall_29
húyʔab	hyʔab	HUHAB	abvd	YAWN	abvd_47_toyawn_19
ka:huy	kahuy	KAHUU	abvd	STICK	abvd_79_stickwood_1
ka:sá:yud	kasyud	KASUUD	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_11
kaguɣá:ŋan	kaguɣan	KAGUGAN	abvd	FOREST	abvd_127_woodsforest_58
kamíh	kamh	KAMH	abvd	WE	abvd_185_we_2
kamú	kam	KAM	abvd	YOU	abvd_186_you_1
kaɣá:yu.	kaɣyu	KAGUU	abvd	FIRE	abvd_143_fire_10
kilát	kilt	KILT	abvd	LIGHTNING	abvd_135_lightning_1
kitkit	kitkit	KITKIT	abvd	BITE	abvd_41_tobite_21
kitáh	kith	KITH	abvd	WE	abvd_185_we_1
kitíd	kitd	KITD	abvd	NARROW	abvd_158_narrow_19
kun	kun	KUN	abvd	IF	abvd_193_if_1
ká:ɣut	kɣut	KGUT	abvd	SCRATCH	abvd_77_toscratch_44
ká:ʔun	kʔun	KHUN	abvd	EAT	abvd_37_toeat_1
kánʔuh	knʔuh	KNHUH	abvd	WHEN	abvd_170_when_10
kí:taʔ	ktaʔ	KTAH	abvd	SEE	abvd_46_tosee_1
kú:mus	kmus	KMUS	abvd	SQUEEZE	abvd_88_tosqueeze_94
kú:tuh	ktuh	KTUH	abvd	LOUSE	abvd_108_louse_1
kúmkum	kmkum	KMKUM	abvd	HOLD	abvd_89_tohold_1
kútkut	ktkut	KTKUT	abvd	DIG	abvd_90_todig_13
likúd	likd	LIKD	abvd	BACK	abvd_13_back_1
likúʔ	likʔ	LIKH	abvd	TURN	abvd_8_toturn_21
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
lí:ʔug	lʔug	LHUG	abvd	NECK	abvd_25_neck_1
mamáʔ	mamʔ	MAMH	abvd	CHEW	abvd_38_tochew_1
manuk	manuk	MANUK	abvd	BIRD	abvd_97_bird_1
matá.	mat	MAT	abvd	EYE	abvd_45_eye_1
matáy	maty	MATU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mayád	mayd	MAUD	abvd	GOOD	abvd_164_good_46
maɣa.	maɣa	MAGA	abvd	DRY	abvd_140_dry_26
maʔú:nuh	maʔnuh	MAHNUH	abvd	HOW	abvd_194_how_29
naka:batíʔ	nakabatʔ	NAKABATH	abvd	HEAR	abvd_44_tohear_20
namúk	namk	NAMK	abvd	MOSQUITO	abvd_109_mosquito_1
nipís	nips	NIPS	abvd	THIN	abvd_156_thin_1
onok	onok	ONOK	abvd	EGG	abvd_98_egg_23
pa:nit	panit	PANIT	abvd	SKIN	abvd_12_skin_2
panáʔ	panʔ	PANH	abvd	SHOOT	abvd_70_toshoot_1
patáy	paty	PATU	abvd	KILL	abvd_74_tokill_2
paŋa:bú:hiʔ	paabhiʔ	PAABHIH	abvd	BE ALIVE	abvd_76_tolivebealive_14
paŋayám	paaym	PAAUM	abvd	HUNT	abvd_69_tohunt_25
paŋá:nud	panud	PANUD	abvd	CLOUD	abvd_131_cloud_27
pitu	pitu	PITU	abvd	SEVEN	abvd_203_seven_1
pueo	pueo	PUEO	abvd	TEN	abvd_206_ten_5
putíʔ	putʔ	PUTH	abvd	WHITE	abvd_148_white_1
putút	putt	PUTT	abvd	SHORT	-
puɣáh	puɣh	PUGH	abvd	RED	abvd_149_red_28
pá:ńaw	paw	PAW	abvd	WALK	abvd_5_towalk_2
pákpak	pkpak	PKPAK	abvd	WING	abvd_100_wing_33
pí:siʔ	psiʔ	PSIH	abvd	ROPE	abvd_65_rope_22
píliʔ	pliʔ	PLIH	abvd	CHOOSE	abvd_85_tochoose_1
píspis	pspis	PSPIS	abvd	BIRD	abvd_97_bird_27
pú:gaʔ	pgaʔ	PGAH	abvd	SQUEEZE	abvd_88_tosqueeze_1
púŋkuʔ	pkuʔ	PKUH	abvd	SIT	abvd_51_tosit_139
sa	sa	SA	abvd	AT	abvd_173_at_14
saksak	saksak	SAKSAK	abvd	CUT OR HACK	-
sakít	sakt	SAKT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
sang gatos	sanggatos	SANGGATOS	abvd	HUNDRED	abvd_209_onehundred_4
sang libo	sanglibo	SANGLIBO	abvd	THOUSAND	abvd_210_onethousand_5
sawáh	sawh	SAWH	abvd	SNAKE	abvd_106_snake_25
saŋ:kiríʔ	sakirʔ	SAKIRH	abvd	SMALL	-
saŋáh	sah	SAH	abvd	BRANCH	abvd_113_branch_2
sikí	sik	SIK	abvd	FOOT OR LEG	abvd_4_legfoot_24
siʔɪ́n	siʔɪ́n	SIHIN	abvd	WHERE	abvd_181_where_1
su:su.	susu	SUSU	abvd	BREAST	abvd_18_breast_1
supsup	supsup	SUPSUP	abvd	SUCK	abvd_42_tosuck_1
suɣúd	suɣd	SUGD	abvd	IN	abvd_174_ininside_14
syam	syam	SUAM	abvd	NINE	abvd_205_nine_9
sá:kaʔ	skaʔ	SKAH	abvd	CLIMB	abvd_172_toclimb_55
sámpuk	smpuk	SMPUK	abvd	HIT	abvd_72_tohit_36
sándah	sndah	SNDAH	abvd	THEY	abvd_187_they_1
sí:buh	sbuh	SBUH	abvd	FAT (ORGANIC SUBSTANCE)	-
sínʔuh	snʔuh	SNHUH	abvd	WHO	abvd_189_who_14
sú:kah	skah	SKAH	abvd	VOMIT	abvd_35_tovomit_9
sú:nug	snug	SNUG	abvd	BURN	abvd_144_toburn_21
tagáʔ	tagʔ	TAGH	abvd	CUT OR HACK	abvd_78_tocuthack_1
tahíʔ	tahʔ	TAHH	abvd	SEW	abvd_67_tosew_1
tanán	tann	TANN	abvd	ALL	abvd_191_all_24
tanúm	tanm	TANM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
taputapúh	taputaph	TAPUTAPH	abvd	DUST	abvd_11_dust_47
tatlúh	tatlh	TATLH	abvd	THREE	abvd_199_three_1
taɣúm	taɣm	TAGM	abvd	SHARP	abvd_81_sharp_1
tikáŋ	tik	TIK	abvd	WALK	-
tiná:ʔih	tinʔih	TINHIH	abvd	INTESTINES	abvd_16_intestines_1
tiyán	tiyn	TIUN	abvd	BELLY	abvd_14_belly_1
tu:ɣug	tuɣug	TUGUG	abvd	SLEEP	abvd_48_tosleep_1
tuktuk	tuktuk	TUKTUK	abvd	CUT OR HACK	abvd_78_tocuthack_3
tuʔúh	tuʔh	TUHH	abvd	RIGHT	abvd_3_right_5
tá:guʔ	tguʔ	TGUH	abvd	HIDE	abvd_171_tohide_13
tá:kaw	tkaw	TKAW	abvd	STEAL	abvd_73_tosteal_1
tá:wuh	twuh	TWUH	abvd	PERSON	abvd_53_personhumanbeing_1
tá:ŋis	tis	TIS	abvd	CRY	abvd_34_tocry_1
támbuk	tmbuk	TMBUK	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_82
tíndug	tndug	TNDUG	abvd	STAND	abvd_52_tostand_20
tú:biʔ	tbiʔ	TBIH	abvd	WATER	abvd_122_water_14
tú:buʔ	tbuʔ	TBUH	abvd	GROW	abvd_86_togrow_1
tú:ʔud	tʔud	THUD	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_38
túpɣah	tpɣah	TPGAH	abvd	SPIT	abvd_36_tospit_44
túɣʔan	tɣʔan	TGHAN	abvd	BONE	abvd_15_bone_1
waeo	waeo	WAEO	abvd	EIGHT	abvd_204_eight_3
waéah	waah	WAAH	abvd	LEFT	abvd_2_left_25
waɣáh	waɣh	WAGH	abvd	LEFT	abvd_2_left_25
ŋá:ɣan	ɣan	GAN	abvd	NAME	abvd_63_name_1
ŋí:pun	pun	PUN	abvd	TOOTH	abvd_31_tooth_1
ɣa:haʔ	ɣahaʔ	GAHAH	abvd	COOK (SOMETHING)	-
ɣa:ki	ɣaki	GAKI	abvd	MALE PERSON	abvd_54_manmale_2
ɣamáŋ	ɣam	GAM	abvd	SPIDER	-
ɣamíg	ɣamg	GAMG	abvd	COLD	abvd_139_cold_22
ɣapít	ɣapt	GAPT	abvd	NEAR	abvd_179_near_36
ɣawúd	ɣawd	GAWD	abvd	SEA	abvd_124_sea_6
ɣayúʔ	ɣayʔ	GAUH	abvd	FAR	abvd_180_far_1
ɣaŋúy	ɣay	GAU	abvd	SWIM	abvd_9_toswim_1
ɣaɣá:ki	ɣaɣki	GAGKI	abvd	MALE PERSON	abvd_54_manmale_2
ɣaɣá:kih	ɣaɣkih	GAGKIH	abvd	HUSBAND	abvd_57_husband_2
ɣaʔɪ́n	ɣaʔɪ́n	GAHIN	abvd	OTHER	abvd_190_other_2
ɣubúg	ɣubg	GUBG	abvd	LIE DOWN	-
ɣupád	ɣupd	GUPD	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_21
ɣá:pad	ɣpad	GPAD	abvd	WIDE	-
ɣá:wig	ɣwig	GWIG	abvd	WIDE	abvd_159_wide_1
ɣá:ŋit	ɣit	GIT	abvd	SKY	abvd_128_sky_1
ɣá:ʔin	ɣʔin	GHIN	abvd	BAD OR EVIL	abvd_165_badevil_86
ɣáŋgam	ɣgam	GGAM	abvd	RAT	-
ɣúbid	ɣbid	GBID	abvd	ROPE	abvd_65_rope_21
ɣúbʔuk	ɣbʔuk	GBHUK	abvd	ROTTEN	abvd_112_rotten_1
