Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-amɛ	amɛ	AME	abvd	KILL	-
-ɲũ:	ɲũ	N	abvd	STAB	-
a	a	A	abvd	NEAR	-
a nuᵐbo	anubo	ANUBO	abvd	NEAR	abvd_179_near_109
abʷara	abara	ABARA	abvd	RAT	abvd_102_rat_1
afʌ̃ⁿdʌ	afʌ̃dʌ	APD	abvd	NEW	-
amuiɲere re	amuiɲerere	AMUINERERE	abvd	MOTHER	abvd_59_mother_23
ani	ani	ANI	abvd	WHEN	abvd_170_when_1
aniina	aniina	ANIINA	abvd	WHEN	abvd_170_when_1
anĩ:	anĩ	AN	abvd	WHEN	abvd_170_when_1
anĩĩ	an	AN	abvd	WHEN	abvd_170_when_1
anɛ̃	anɛ̃	ANE	abvd	WHAT	abvd_188_what_1
axʌ̃	axʌ̃	AK	abvd	CLOUD	-
baa|ru	baaru	BAARU	abvd	TWO	abvd_198_two_1
barə	barə	BARE	abvd	OTHER	-
bata	bata	BATA	abvd	FEAR (BE AFRAID)	-
ba|šee	baee	BAEE	abvd	THREE	abvd_199_three_1
bo	bo	BO	abvd	HIT	-
boɛmɛ	boɛmɛ	BOEME	abvd	KILL	-
bu	bu	BU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_42
bɛ̃ɛ̃rĩ	bɛ̃ɛ̃r	BEER	abvd	OLD	abvd_162_old_16
bʷa	ba	BA	abvd	HEAD	abvd_24_head_9
ca:	ca	KA	abvd	HUNT	-
caa	caa	KAA	abvd	HUNT	-
cara	cara	KARA	abvd	SHY OR ASHAMED	-
cee	cee	KEE	abvd	SWELL	-
ci	ci	KI	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_93
cĩ:	cĩ	K	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_93
cuɛ	cuɛ	KUE	abvd	SIT	-
cũ:	cũ	K	abvd	OPEN	abvd_92_toopenuncover_78
cù	c	K	abvd	OPEN	abvd_92_toopenuncover_78
cĩ	c	K	abvd	BLOW (OF WIND)	-
cĩĩ	c	K	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_93
cũũ	c	K	abvd	OPEN	abvd_92_toopenuncover_78
ça	ça	A	abvd	CUT OR HACK	abvd_78_tocuthack_136
çaa	çaa	AA	abvd	BAD OR EVIL	abvd_165_badevil_1
çe	çe	E	abvd	BIG	abvd_153_big_125
çikɛ	çikɛ	IKE	abvd	STAB	abvd_71_tostabpierce_1
çimiagatɛ	çimiagatɛ	IMIAGATE	abvd	LIGHTNING	abvd_135_lightning_15?
çiɛ	çiɛ	IE	abvd	NO OR NOT	abvd_195_nonot_10
çɔtia	çɔtia	OTIA	abvd	SPLIT	-
