Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
&e&e-	ee	EE	abvd	TONGUE	abvd_32_tongue_7
a lim̈a	alim̈a	ALIMA	abvd	FIVE	abvd_201_five_1
a rua	arua	ARUA	abvd	TWO	abvd_198_two_1
a sua	asua	ASUA	abvd	NINE	abvd_205_nine_5
a tea	atea	ATEA	abvd	ONE	abvd_197_one_9
a tolu	atolu	ATOLU	abvd	THREE	abvd_199_three_1
a v̈ati	av̈ati	ABATI	abvd	FOUR	abvd_200_four_1
a v̈itu	av̈itu	ABITU	abvd	SEVEN	abvd_203_seven_1
a walu	awalu	AWALU	abvd	EIGHT	abvd_204_eight_3
ae	ae	AE	abvd	WATER	abvd_122_water_2
aima	aima	AIMA	abvd	HOUSE	abvd_61_house_1
aiono	aiono	AIONO	abvd	SIX	abvd_202_six_1
ali-	ali	ALI	abvd	NECK	abvd_25_neck_62
ariv̈	ariv̈	ARIB	abvd	RAT	abvd_102_rat_18
asaloa	asaloa	ASALOA	abvd	CUT OR HACK	abvd_78_tocuthack_129
asi	asi	ASI	abvd	ROPE	abvd_65_rope_58
asu nina	asunina	ASUNINA	abvd	DUST	abvd_11_dust_41
asu-	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ate	ate	ATE	abvd	SIT	abvd_51_tosit_109
atia	atia	ATIA	abvd	BITE	abvd_41_tobite_1
aᵐbu	abu	ABU	abvd	FIRE	abvd_143_fire_19
aᵐ̈ba-	äba	BA	abvd	WING	abvd_100_wing_1
aⁿdʳiu-	adiu	ADIU	abvd	BACK	abvd_13_back_82
elia	elia	ELIA	abvd	DIG	abvd_90_todig_1
inaβaro	inaaro	INAARO	abvd	NEW	abvd_163_new_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
isa-	isa	ISA	abvd	NAME	abvd_63_name_1
ise	ise	ISE	abvd	WHO	abvd_189_who_1
iⁿdʳa	ida	IDA	abvd	WE	abvd_185_we_45
kalsu-	kalsu	KALSU	abvd	NOSE	abvd_27_nose_1
kam̈am	kam̈am	KAMAM	abvd	WE	abvd_185_we_42
kam̈im	kam̈im	KAMIM	abvd	YOU	abvd_186_you_1
karu	karu	KARU	abvd	SWIM	abvd_9_toswim_5
koru	koru	KORU	abvd	DRY	abvd_140_dry_29
lanale	lanale	LANALE	abvd	MALE PERSON	abvd_54_manmale_1
lasia	lasia	LASIA	abvd	FASTEN	abvd_66_totieupfasten_87
laŋ	la	LA	abvd	WIND	abvd_136_wind_1
lito	lito	LITO	abvd	SPIT	abvd_36_tospit_37
lotu-	lotu	LOTU	abvd	FOOT OR LEG	abvd_4_legfoot_47
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
maira	maira	MAIRA	abvd	WET	abvd_141_wet_35
malamala	malamala	MALAMALA	abvd	STICK	-
malasilasiɣa	malasilasiɣa	MALASILASIGA	abvd	YELLOW	-
marau-	marau	MARAU	abvd	LEFT	abvd_2_left_2
mata	mata	MATA	abvd	SNAKE	abvd_106_snake_12
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
matua-	matua	MATUA	abvd	RIGHT	abvd_3_right_5
meu	meu	MEU	abvd	FOG	abvd_132_fog_3
moɣi	moɣi	MOGI	abvd	MOSQUITO	abvd_109_mosquito_1
m̈a	m̈a	MA	abvd	COME	abvd_7_tocome_1
m̈ana	m̈ana	MANA	abvd	LAUGH	abvd_33_tolaugh_51
m̈asi	m̈asi	MASI	abvd	BIRD	abvd_97_bird_24
