Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aat	aːt	AT	wikipron	-	-
agos	aɡos	AGOS	wikipron	-	-
aguk	aɡuk	AGUK	wikipron	-	-
agynja	aɡənd͡ʑa	AGENSA	wikipron	-	-
agys	aɡəs	AGES	wikipron	-	-
aina	ajna	AYNA	wikipron	-	-
asalja	asʰald͡ʑa	ASALSA	wikipron	-	-
asingja	asʰiŋd͡ʑa	ASINSA	wikipron	-	-
askhui	askʰuj	ASKUY	wikipron	-	-
aski	aski	ASKI	wikipron	-	-
askui	askuj	ASKUY	wikipron	-	-
asyngja	asʰəŋd͡ʑa	ASENSA	wikipron	-	-
awa	awa	AWA	wikipron	-	-
baba	baba	BABA	wikipron	-	-
badolja	badold͡ʑa	BADOLSA	wikipron	-	-
banga	baŋa	BANA	wikipron	-	-
boisaja	bojsʰad͡ʑa	BOYSASA	wikipron	-	-
byryi	bərəj	BEREY	wikipron	-	-
cha	t͡ɕa	SA	wikipron	-	-
chak	t͡ɕak	SAK	wikipron	-	-
char	t͡ɕar	SAR	wikipron	-	-
chatgyk	t͡ɕatɡək	SATGEK	wikipron	-	-
che	t͡ɕe	SE	wikipron	-	-
cheke	t͡ɕeke	SEKE	wikipron	-	-
chinara	t͡ɕinara	SINARA	wikipron	-	-
chini	t͡ɕini	SINI	wikipron	-	-
chola	t͡ɕola	SOLA	wikipron	-	-
chyigyk	t͡ɕəjɡək	SEYGEK	wikipron	-	-
chykhyw	t͡ɕəkʰəw	SEKEW	wikipron	-	-
das	das	DAS	wikipron	-	-
desembol	desʰembol	DESEMBOL	wikipron	-	-
desembyl	desʰembəl	DESEMBEL	wikipron	-	-
do	do	DO	wikipron	-	-
drakha	drakʰa	DRAKA	wikipron	-	-
dys	dəs	DES	wikipron	-	-
echaluk	et͡ɕaluk	ESALUK	wikipron	-	-
eek	eːk	EK	wikipron	-	-
eet	eːt	ET	wikipron	-	-
epril	epril	EPRIL	wikipron	-	-
gada	ɡada	GADA	wikipron	-	-
galjak	ɡald͡ʑak	GALSAK	wikipron	-	-
ganggawa	ɡaŋɡawa	GANGAWA	wikipron	-	-
