Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-daun	daun	DAUN	abvd	BURN	-
-kuru-pala	kurupala	KURUPALA	abvd	CUT OR HACK	abvd_78_tocuthack_140
-lu	lu	LU	abvd	FLOW	abvd_123_toflow_82
-pe	pe	PE	abvd	PLANT (SOMETHING)	abvd_84_toplant_64
-sup	sup	SUP	abvd	GROW	-
a-kani	akani	AKANI	abvd	EAT	abvd_37_toeat_1
a-kel tana	akeltana	AKELTANA	abvd	DIG	abvd_90_todig_1
a-kupu	akupu	AKUPU	abvd	FASTEN	-
a-kuru pala	akurupala	AKURUPALA	abvd	SPLIT	abvd_80_tosplit_88
a-loŋo	aloo	ALOO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
a-maliai	amaliai	AMALIAI	abvd	LAUGH	abvd_33_tolaugh_3
a-nin be	aninbe	ANINBE	abvd	SWIM	abvd_9_toswim_96
a-pa-basik beɡa	apabasikbeɡa	APABASIKBEGA	abvd	HUNT	-
a-pina be ɡa	apinabeɡa	APINABEGA	abvd	THROW	-
a-ru-be ɡa	arubeɡa	ARUBEGA	abvd	HIT	-
a-sip	asip	ASIP	abvd	SEW	abvd_67_tosew_75
a-tara-be	atarabe	ATARABE	abvd	CUT OR HACK	abvd_78_tocuthack_1
a-taŋ	ata	ATA	abvd	CRY	abvd_34_tocry_1
a-toko	atoko	ATOKO	abvd	HOLD	abvd_89_tohold_103
a-yaŋo	ayao	AUAO	abvd	SMELL (PERCEIVE)	-
a-ŋilbe	ailbe	AILBE	abvd	SPIT	-
a-ŋora	aora	AORA	abvd	BREATHE	abvd_28_tobreathe_13
a-βiwai	aiwai	AIWAI	abvd	FEAR (BE AFRAID)	-
aiŋiŋal tatu	aiialtatu	AIIALTATU	abvd	THIN	-
apan	apan	APAN	abvd	SHOOT	abvd_70_toshoot_1
ari	ari	ARI	abvd	THEY	abvd_187_they_74
au	au	AU	abvd	I	abvd_182_i_1
aŋ	a	A	abvd	YOU	abvd_186_you_1
baba-k	babak	BABAK	abvd	BACK	abvd_13_back_99
bage-k	bagek	BAGEK	abvd	HAND	abvd_1_hand_76
baile	baile	BAILE	abvd	BRANCH	-
bani-na	banina	BANINA	abvd	WING	abvd_100_wing_2
biana	biana	BIANA	abvd	WET	-
boi	boi	BOI	abvd	STAR	abvd_130_star_81
borabora	borabora	BORABORA	abvd	DRY	-
boŋ	bo	BO	abvd	NIGHT	abvd_167_night_1
butana	butana	BUTANA	abvd	FOREST	abvd_127_woodsforest_116
dai	dai	DAI	abvd	YEAR	abvd_169_year_79
dala	dala	DALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
dara	dara	DARA	abvd	BLOOD	abvd_23_blood_1
diŋdiŋ	didi	DIDI	abvd	GRASS	abvd_118_grass_96
diɡuna	diɡuna	DIGUNA	abvd	FLOWER	-
duɡuana	duɡuana	DUGUANA	abvd	HEAVY	-
i-kena	ikena	IKENA	abvd	SLEEP	abvd_48_tosleep_8
i-kəra	ikəra	IKERA	abvd	BITE	abvd_41_tobite_1
i-lulu	ilulu	ILULU	abvd	VOMIT	abvd_35_tovomit_8
i-mata	imata	IMATA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
i-no	ino	INO	abvd	FLY (MOVE THROUGH AIR)	-
i-pa i-la	ipaila	IPAILA	abvd	WALK	abvd_5_towalk_121
i-pakorai i-la	ipakoraiila	IPAKORAIILA	abvd	TURN	-
i-pinau wau	ipinauwau	IPINAUWAU	abvd	STEAL	abvd_73_tosteal_1
i-sat	isat	ISAT	abvd	SWELL	-
kai	kai	KAI	abvd	STICK	abvd_79_stickwood_1
kaniniŋ	kanini	KANINI	abvd	MOSQUITO	abvd_109_mosquito_95
kapo-k	kapok	KAPOK	abvd	BELLY	abvd_14_belly_2
karapoka	karapoka	KARAPOKA	abvd	GREEN	-
karu-k	karuk	KARUK	abvd	NOSE	abvd_27_nose_62
kasana	kasana	KASANA	abvd	CHILD	abvd_56_child_89
kaskas	kaskas	KASKAS	abvd	BLACK	-
kate-k	katek	KATEK	abvd	LIVER	abvd_17_liver_1
ke-	ke	KE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kila	kila	KILA	abvd	LIGHTNING	abvd_135_lightning_1
kokoana	kokoana	KOKOANA	abvd	WHITE	abvd_148_white_38
kondaloŋa	kondaloa	KONDALOA	abvd	WORM	-
kondap nina ima roɡa	kondapninaimaroɡa	KONDAPNINAIMAROGA	abvd	FALL	-
ku-inu	kuinu	KUINU	abvd	DRINK	abvd_40_todrink_1
ku-karau	kukarau	KUKARAU	abvd	SCRATCH	-
