Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'ahak	ahak	AHAK	abvd	WALK	abvd_5_towalk_45
'ahu	ahu	AHU	abvd	DOG	abvd_96_dog_1
'ai	ai	AI	abvd	FIRE	abvd_143_fire_1
'ak	ak	AK	abvd	FOUR	abvd_200_four_1
'alas	alas	ALAS	abvd	FOREST	abvd_127_woodsforest_1
'ama	ama	AMA	abvd	WIFE	abvd_58_wife_2
'amaŋ	ama	AMA	abvd	MALE PERSON	abvd_54_manmale_1
'ami	ami	AMI	abvd	WE	abvd_185_we_2
'anin	anin	ANIN	abvd	WIND	abvd_136_wind_1
'asa	asa	ASA	abvd	STAR	abvd_130_star_10
'au	au	AU	abvd	I	abvd_182_i_1
'eaŋ	ea	EA	abvd	GOOD	-
'ega	ega	EGA	abvd	KILL	abvd_74_tokill_7
'eha	eha	EHA	abvd	ONE	abvd_197_one_1
'fatu	fatu	PATU	abvd	STONE	abvd_120_stone_1
'fon	fon	PON	abvd	ROTTEN	abvd_112_rotten_10
'fonuk	fonuk	PONUK	abvd	FALL	-
'fulan	fulan	PULAN	abvd	MOON	abvd_129_moon_1
'gale	gale	GALE	abvd	STAND	-
'gatan	gatan	GATAN	abvd	SCRATCH	abvd_77_toscratch_8
'ge	ge	GE	abvd	THIS	abvd_177_this_6
'geran	geran	GERAN	abvd	DRY	abvd_140_dry_8
'go	go	GO	abvd	THAT	abvd_178_that_8
'hafa	hafa	HAPA	abvd	MOUTH	abvd_30_mouth_1
'hasa	hasa	HASA	abvd	ONE	abvd_197_one_1
'heu	heu	HEU	abvd	BITE	-
'ikur	ikur	IKUR	abvd	TAIL	abvd_105_tail_1
'ilik	ilik	ILIK	abvd	SKIN	abvd_12_skin_1
'ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
'inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
'ita	ita	ITA	abvd	WE	abvd_185_we_1
'kaluaŋ	kalua	KALUA	abvd	NECK	abvd_25_neck_17
'karaur	karaur	KARAUR	abvd	ASH	-
'kini	kini	KINI	abvd	EAR	abvd_43_ear_1
'kuru	kuru	KURU	abvd	HAIR	abvd_26_hair_3
'lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
'lole	lole	LOLE	abvd	SLEEP	-
'luku	luku	LUKU	abvd	FOOT OR LEG	abvd_4_legfoot_9
'ma	ma	MA	abvd	COME	abvd_7_tocome_1
'mair	mair	MAIR	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_9
'mali	mali	MALI	abvd	LAUGH	abvd_33_tolaugh_3
'manu	manu	MANU	abvd	BIRD	abvd_97_bird_1
'masiŋ	masi	MASI	abvd	SALT	abvd_125_salt_3
'mata	mata	MATA	abvd	EYE	abvd_45_eye_1
