Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	SAY	-
ae	ae	AE	abvd	NO OR NOT	abvd_195_nonot_10
ake	ake	AKE	abvd	ONE	abvd_197_one_14
ani	ani	ANI	abvd	WHEN	abvd_170_when_1
ara	ara	ARA	abvd	EAT	abvd_37_toeat_39
aranaᵐbi	aranabi	ARANABI	abvd	THIN	abvd_156_thin_60
ãva	ãva	BA	abvd	THICK	abvd_157_thick_70
ci	ci	KI	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_93
e	e	E	abvd	HE OR SHE	abvd_184_heshe_1
e gamë	egam	EGAM	abvd	RIGHT	abvd_3_right_60
e ⁿdara	edara	EDARA	abvd	LEFT	abvd_2_left_29
emar̃i	emar̃i	EMARI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1?
era	era	ERA	abvd	SMALL	-
eru ã	eruã	ERU	abvd	TEN	abvd_206_ten_16
gawi ø	gawi	GAWI	abvd	HAND	abvd_1_hand_28
gawi ø xerua	gawixerua	GAWIKERUA	abvd	HAND	abvd_1_hand_28
go:wi	gowi	GOWI	abvd	VOMIT	abvd_35_tovomit_39?
i	i	I	abvd	THOU	abvd_183_thou_1
je ne e	jenee	YENEE	abvd	WHAT	abvd_188_what_1
ji	ji	YI	abvd	SUCK	abvd_42_tosuck_25
jiri ø	jiri	YIRI	abvd	BRANCH	abvd_113_branch_15
jumɛ	jumɛ	YUME	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_40
kaera xiø	kaeraxi	KAERAKI	abvd	CHILD	abvd_56_child_98?
kakopørøⁿdø na	kakoprdna	KAKOPRDNA	abvd	YELLOW	abvd_150_yellow_96
kaoro	kaoro	KAORO	abvd	MALE PERSON	abvd_54_manmale_122
kaoro xiø	kaoroxi	KAOROKI	abvd	MALE PERSON	abvd_54_manmale_122
karewea	karewea	KAREWEA	abvd	STAR	abvd_130_star_28
kar̃a ã e	kar̃aãe	KARAE	abvd	FOOT OR LEG	abvd_4_legfoot_54
kar̃a ã xeia	kar̃aãxeia	KARAKEIA	abvd	FOOT OR LEG	abvd_4_legfoot_54
kasø	kas	KAS	abvd	LIGHTNING	abvd_135_lightning_1
kau	kau	KAU	abvd	BIG	abvd_153_big_101
kavo xiø	kavoxi	KABOKI	abvd	PERSON	abvd_53_personhumanbeing_93
kavë e	kave	KABE	abvd	LIVER	-
kãĩ	kãĩ	K	abvd	BIRD	abvd_97_bird_52
keere	keere	KEERE	abvd	THREE	abvd_199_three_1
keni	keni	KENI	abvd	FIVE	abvd_201_five_1
keni i ᵐbori ake	keniiboriake	KENIIBORIAKE	abvd	SIX	-
keni i ᵐbori keere	keniiborikeere	KENIIBORIKEERE	abvd	EIGHT	-
keni i ᵐbori keuru	keniiborikeuru	KENIIBORIKEURU	abvd	SEVEN	-
