Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ء	ʔ	H	wikipron	-	-
آ	ʔaː	HA	wikipron	-	-
آبد	ʔaːbid	HABID	wikipron	-	-
آبلة	ʔaːbila	HABILA	wikipron	-	-
آبيس	ʔaːbiːs	HABIS	wikipron	-	-
آتشيوت	aːtʃijoːt	ATSIYOT	wikipron	-	-
آتشيوت	ʔaːtʃijuːt	HATSIYUT	wikipron	-	-
آتون	ʔaːtuːn	HATUN	wikipron	-	-
آثار	ʔaːθaːr	HATAR	wikipron	-	-
آثام	ʔaːθaːm	HATAM	wikipron	-	-
آح	ʔaːħ	HAH	wikipron	-	-
آخر	ʔaːxar	HAKAR	wikipron	-	-
آخر	ʔaːxir	HAKIR	wikipron	-	-
آخرة	ʔaːxira	HAKIRA	wikipron	-	-
آخرة	ʔaːxra	HAKRA	wikipron	-	-
آخن	ʔaːxan	HAKAN	wikipron	-	-
آدب	ʔaːdib	HADIB	wikipron	-	-
آدم	ʔaːdam	HADAM	wikipron	-	-
آدمي	ʔaːdamijj	HADAMIYY	wikipron	-	-
آذان	ʔaːðaːn	HADAN	wikipron	-	-
آذريون	ʔaːðarjuːn	HADARYUN	wikipron	-	-
آذى	ʔaːðaː	HADA	wikipron	-	-
آس	ʔaːs	HAS	wikipron	-	-
آسف	ʔaːsafa	HASAPA	wikipron	-	-
آسف	ʔaːsif	HASIP	wikipron	-	-
آسفي	ʔaːsafiː	HASAPI	wikipron	-	-
آسيوي	ʔaːsijawijj	HASIYAWIYY	wikipron	-	-
آش	ʔaːʃ	HAS	wikipron	-	-
آشوري	ʔaːʃuːrijj	HASURIYY	wikipron	-	-
آصف	ʔaːsˤaf	HASAP	wikipron	-	-
آصف	ʔaːsˤif	HASIP	wikipron	-	-
آفات	ʔaːfaːt	HAPAT	wikipron	-	-
آفة	ʔaːfa	HAPA	wikipron	-	-
آفرین	ʔaːfiriːn	HAPIRIN	wikipron	-	-
آل	ʔaːl	HAL	wikipron	-	-
آل	ʔaːla	HALA	wikipron	-	-
آل	ʔaːlu	HALU	wikipron	-	-
آلات	ʔaːlaːt	HALAT	wikipron	-	-
آلاف	ʔaːlaːf	HALAP	wikipron	-	-
آلة	ʔaːla	HALA	wikipron	-	-
آلف	ʔaːlf	HALP	wikipron	-	-
آلي	ʔaːlijj	HALIYY	wikipron	-	-
آلية	ʔaːlijja	HALIYYA	wikipron	-	-
آمال	ʔaːmaːl	HAMAL	wikipron	-	-
آمن	ʔaːman	HAMAN	wikipron	-	-
آمن	ʔaːmana	HAMANA	wikipron	-	-
آمن	ʔaːmanu	HAMANU	wikipron	-	-
آمن	ʔaːmin	HAMIN	wikipron	-	-
آمن	ʔaːmun	HAMUN	wikipron	-	-
آمن	ʔaːmuna	HAMUNA	wikipron	-	-
آمن	ʔaːmunu	HAMUNU	wikipron	-	-
آمنة	ʔaːmina	HAMINA	wikipron	-	-
آمون	ʔaːmuːn	HAMUN	wikipron	-	-
آمين	ʔaːmiːn	HAMIN	wikipron	-	-
آنسة	ʔaːnisa	HANISA	wikipron	-	-
آنك	ʔaːnuk	HANUK	wikipron	-	-
آنى	ʔaːnaː	HANA	wikipron	-	-
آني	ʔaːnijj	HANIYY	wikipron	-	-
آية	ʔaːja	HAYA	wikipron	-	-
آيسلندا	ʔaːjislandaː	HAYISLANDA	wikipron	-	-
آيوا	ʔaːjuwaː	HAYUWA	wikipron	-	-
أ	ʔ	H	wikipron	-	-
أ	ʔa	HA	wikipron	-	-
أ	ʔu	HU	wikipron	-	-
أب	ʔab	HAB	wikipron	-	-
أباجور	ʔabaːʒuːr	HABASUR	wikipron	-	-
أباح	ʔabaːħa	HABAHA	wikipron	-	-
أباخس	ʔabaːxisu	HABAKISU	wikipron	-	-
أباد	ʔabaːda	HABADA	wikipron	-	-
أباريق	ʔabaːriːq	HABARIK	wikipron	-	-
أباس	ʔubaːs	HUBAS	wikipron	-	-
أباسخيرون	ʔabaːsxiːruːn	HABASKIRUN	wikipron	-	-
أبان	ʔabaːna	HABANA	wikipron	-	-
أبتر	ʔabtar	HABTAR	wikipron	-	-
أبث	ʔabaθa	HABATA	wikipron	-	-
أبخازيا	ʔabxaːzjaː	HABKASYA	wikipron	-	-
أبخق	ʔabxaq	HABKAK	wikipron	-	-
أبد	ʔabad	HABAD	wikipron	-	-
أبد	ʔabada	HABADA	wikipron	-	-
أبد	ʔabbada	HABBADA	wikipron	-	-
أبد	ʔabdu	HABDU	wikipron	-	-
أبدا	ʔabadan	HABADAN	wikipron	-	-
أبدة	ʔubbada	HUBBADA	wikipron	-	-
أبدى	ʔabdaː	HABDA	wikipron	-	-
أبدي	ʔabadijj	HABADIYY	wikipron	-	-
أبدي	ʔabbidiː	HABBIDI	wikipron	-	-
أبدية	ʔabadijja	HABADIYYA	wikipron	-	-
أبذة	ʔubbaða	HUBBADA	wikipron	-	-
أبر	ʔabara	HABARA	wikipron	-	-
أبر	ʔabarra	HABARRA	wikipron	-	-
أبرز	baraza	BARASA	wikipron	-	-
أبرز	ʔabraz	HABRAS	wikipron	-	-
أبرز	ʔabruz	HABRUS	wikipron	-	-
أبرز	ʔabruza	HABRUSA	wikipron	-	-
أبرم	ʔabrama	HABRAMA	wikipron	-	-
أبريل	ʔabriːl	HABRIL	wikipron	-	-
أبسطة	ʔabsitˤa	HABSITA	wikipron	-	-
أبش	ʔabaʃa	HABASA	wikipron	-	-
أبش	ʔabaʃʃu	HABASSU	wikipron	-	-
أبطل	ʔabtˤala	HABTALA	wikipron	-	-
أبكم	ʔabkam	HABKAM	wikipron	-	-
أبلس	ʔablasa	HABLASA	wikipron	-	-
أبلق	ʔablaq	HABLAK	wikipron	-	-
أبله	ʔablah	HABLAH	wikipron	-	-
أبنوس	ʔabanuːs	HABANUS	wikipron	-	-
أبنوس	ʔabnuːs	HABNUS	wikipron	-	-
أبها	ʔabhaː	HABHA	wikipron	-	-
أبهة	ʔubbaha	HUBBAHA	wikipron	-	-
أبهج	ʔabhad͡ʒa	HABHASA	wikipron	-	-
أبوان	ʔabawaːn	HABAWAN	wikipron	-	-
أبوة	ʔubuwwa	HUBUWWA	wikipron	-	-
أبوت	ʔubuːt	HUBUT	wikipron	-	-
أبود	ʔubuːd	HUBUD	wikipron	-	-
أبيدجان	ʔabiːdd͡ʒaːn	HABIDSAN	wikipron	-	-
أبيض	ʔabjadˤ	HABYAD	wikipron	-	-
أتاح	ʔataːħa	HATAHA	wikipron	-	-
أترج	ʔutrud͡ʒd͡ʒ	HUTRUSS	wikipron	-	-
أتقن	ʔatqana	HATKANA	wikipron	-	-
أتلف	ʔatlafa	HATLAPA	wikipron	-	-
أتمت	ʔatmata	HATMATA	wikipron	-	-
أتوبوس	ʔotobuːs	HOTOBUS	wikipron	-	-
أتوبيس	ʔotobiːs	HOTOBIS	wikipron	-	-
أتوم	ʔatuːm	HATUM	wikipron	-	-
أتون	ʔattuːn	HATTUN	wikipron	-	-
أتى	ʔataː	HATA	wikipron	-	-
أثاث	ʔaθaːθ	HATAT	wikipron	-	-
أثث	ʔaθθaθa	HATTATA	wikipron	-	-
أثجل	ʔaθd͡ʒal	HATSAL	wikipron	-	-
أثرة	ʔaθara	HATARA	wikipron	-	-
