Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ampow	ampow	AMPOW	abvd	ABOVE	abvd_175_above_2
bagon	bagon	BAGON	abvd	RED	abvd_149_red_29
baloy	baloy	BALOU	abvd	HOUSE	abvd_61_house_14
baoy	baoy	BAOU	abvd	HOUSE	abvd_61_house_14
basak	basak	BASAK	abvd	EARTH (SOIL)	abvd_119_earthsoil_39
batoʔ	batoʔ	BATOH	abvd	CHILD	abvd_56_child_16
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bayokbok	bayokbok	BAUOKBOK	abvd	SAND	abvd_121_sand_42
binayu	binayu	BINAUU	abvd	POUND	abvd_93_topoundbeat_1
bituka	bituka	BITUKA	abvd	INTESTINES	abvd_16_intestines_21
bituʔon	bituʔon	BITUHON	abvd	STAR	abvd_130_star_1
boad	boad	BOAD	abvd	HAND	abvd_1_hand_31
bogas	bogas	BOGAS	abvd	FRUIT	abvd_117_fruit_15
boi	boi	BOI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bokog	bokog	BOKOG	abvd	BONE	abvd_15_bone_16
bolad	bolad	BOLAD	abvd	HAND	abvd_1_hand_31
boli	boli	BOLI	abvd	BUY	abvd_91_tobuy_1
boʔboʔ	boʔboʔ	BOHBOH	abvd	MOUTH	abvd_30_mouth_1
buan	buan	BUAN	abvd	MOON	abvd_129_moon_1
bulak	bulak	BULAK	abvd	FLOWER	abvd_116_flower_22
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulbul	bulbul	BULBUL	abvd	HAIR	abvd_26_hair_26
buyag	buyag	BUUAG	abvd	OLD	abvd_162_old_40
daan	daan	DAAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dadawa	dadawa	DADAWA	abvd	TWO	abvd_198_two_1
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dagom	dagom	DAGOM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dakol	dakol	DAKOL	abvd	BIG	abvd_153_big_22
dalid	dalid	DALID	abvd	ROOT	abvd_115_root_9
dampil	dampil	DAMPIL	abvd	DRY	abvd_140_dry_47
didalom	didalom	DIDALOM	abvd	BELOW OR UNDER	abvd_176_below_20
diloʔ	diloʔ	DILOH	abvd	TONGUE	abvd_32_tongue_4
dinog	dinog	DINOG	abvd	HEAR	abvd_44_tohear_1
dioʔ	dioʔ	DIOH	abvd	TONGUE	abvd_32_tongue_4
dogos	dogos	DOGOS	abvd	SCRATCH	abvd_77_toscratch_45
dogpak	dogpak	DOGPAK	abvd	THROW	abvd_94_tothrow_37
donon magang	dononmagang	DONONMAGANG	abvd	BLUNT	abvd_82_dullblunt_85
doromdom	doromdom	DOROMDOM	abvd	THINK	abvd_21_tothink_13
doun	doun	DOUN	abvd	LEAF	abvd_114_leaf_1
dugsuʔ	dugsuʔ	DUGSUH	abvd	STAB	abvd_71_tostabpierce_36
gapun	gapun	GAPUN	abvd	CLOUD	abvd_131_cloud_1
gatus	gatus	GATUS	abvd	HUNDRED	abvd_209_onehundred_4
gibang	gibang	GIBANG	abvd	LEFT	abvd_2_left_24
gogoinawa	gogoinawa	GOGOINAWA	abvd	BREATHE	abvd_28_tobreathe_1
gotok	gotok	GOTOK	abvd	BELLY	abvd_14_belly_55
hallok	hallok	HALLOK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_39
hapuy	hapuy	HAPUU	abvd	FIRE	abvd_143_fire_1
hendini	hendini	HENDINI	abvd	COME	abvd_7_tocome_82
hidogoʔ	hidogoʔ	HIDOGOH	abvd	SLEEP	abvd_48_tosleep_35
higotan	higotan	HIGOTAN	abvd	FASTEN	abvd_66_totieupfasten_1
hilam	hilam	HILAM	abvd	MOSQUITO	abvd_109_mosquito_32
hilamonon	hilamonon	HILAMONON	abvd	GRASS	abvd_118_grass_91
himatoy	himatoy	HIMATOU	abvd	KILL	abvd_74_tokill_2
hinang	hinang	HINANG	abvd	WORK (ACTIVITY)	abvd_83_towork_36
hipanow	hipanow	HIPANOW	abvd	WALK	abvd_5_towalk_2
hiup	hiup	HIUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
holos	holos	HOLOS	abvd	HIDE	abvd_171_tohide_23
hondini	hondini	HONDINI	abvd	COME	abvd_7_tocome_82
hondoʔi	hondoʔi	HONDOHI	abvd	WHERE	abvd_181_where_1
hontow	hontow	HONTOW	abvd	WHO	abvd_189_who_15
honʔom	honʔom	HONHOM	abvd	SIX	abvd_202_six_1
hoos	hoos	HOOS	abvd	HIDE	abvd_171_tohide_23
hopʔat	hopʔat	HOPHAT	abvd	FOUR	abvd_200_four_1
kaamag	kaamag	KAAMAG	abvd	WIND	abvd_136_wind_42
kaawaʔan	kaawaʔan	KAAWAHAN	abvd	TWENTY	abvd_207_twenty_11
kabuhiʔ	kabuhiʔ	KABUHIH	abvd	BE ALIVE	abvd_76_tolivebealive_14
kabuiʔ	kabuiʔ	KABUIH	abvd	BE ALIVE	abvd_76_tolivebealive_14
kadoʔot	kadoʔot	KADOHOT	abvd	DREAM (SOMETHING)	abvd_50_todream_26
kagat	kagat	KAGAT	abvd	BITE	abvd_41_tobite_1
kagi	kagi	KAGI	abvd	SAY	abvd_64_tosay_1
kalamag	kalamag	KALAMAG	abvd	WIND	abvd_136_wind_42
kalawaʔan	kalawaʔan	KALAWAHAN	abvd	TWENTY	abvd_207_twenty_11
kalion	kalion	KALION	abvd	DIG	abvd_90_todig_1
kaloʔkaloʔ	kaloʔkaloʔ	KALOHKALOH	abvd	COOK (SOMETHING)	abvd_39_tocook_36
kamouʔ	kamouʔ	KAMOUH	abvd	ROTTEN	abvd_112_rotten_42
kanakʔ	kanakʔ	KANAKH	abvd	I	abvd_182_i_1
kanta	kanta	KANTA	abvd	WE	-
kasipod	kasipod	KASIPOD	abvd	SHY OR ASHAMED	abvd_161_shyashamed_29
kataga	kataga	KATAGA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_123
kawanan	kawanan	KAWANAN	abvd	RIGHT	abvd_3_right_1
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kaʔulug	kaʔulug	KAHULUG	abvd	FALL	abvd_95_tofall_29
kaʔuug	kaʔuug	KAHUUG	abvd	FALL	abvd_95_tofall_29
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
ko	ko	KO	abvd	IF	abvd_193_if_1
koilawan	koilawan	KOILAWAN	abvd	FOREST	abvd_127_woodsforest_52
komkom	komkom	KOMKOM	abvd	HOLD	abvd_89_tohold_1
konoʔ	konoʔ	KONOH	abvd	NO OR NOT	abvd_195_nonot_37
konʔu	konʔu	KONHU	abvd	WHEN	abvd_170_when_10
koʔon	koʔon	KOHON	abvd	EAT	abvd_37_toeat_1
kutkut	kutkut	KUTKUT	abvd	SCRATCH	abvd_77_toscratch_21
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
lalima	lalima	LALIMA	abvd	FIVE	abvd_201_five_1
lampos	lampos	LAMPOS	abvd	HIT	abvd_72_tohit_38
langit	langit	LANGIT	abvd	SKY	abvd_128_sky_1
langosa	langosa	LANGOSA	abvd	BLOOD	abvd_23_blood_24
laplap	laplap	LAPLAP	abvd	SKIN	abvd_12_skin_43
layang	layang	LAUANG	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_81
laʔin	laʔin	LAHIN	abvd	OTHER	abvd_190_other_2
ligot	ligot	LIGOT	abvd	TURN	abvd_8_toturn_78
ligtung	ligtung	LIGTUNG	abvd	LAKE	abvd_126_lake_20
lima na puluʔ	limanapuluʔ	LIMANAPULUH	abvd	FIFTY	abvd_208_fifty_1
liog	liog	LIOG	abvd	NECK	abvd_25_neck_1
liwati	liwati	LIWATI	abvd	WORM	abvd_107_wormearthworm_1
lubid	lubid	LUBID	abvd	ROPE	abvd_65_rope_21
lugung	lugung	LUGUNG	abvd	THUNDER	abvd_134_thunder_33
lukos	lukos	LUKOS	abvd	MALE PERSON	abvd_54_manmale_38
lumbuk	lumbuk	LUMBUK	abvd	SWIM	abvd_9_toswim_83
maayat	maayat	MAAUAT	abvd	LONG	abvd_155_long_45
mabogat	mabogat	MABOGAT	abvd	HEAVY	abvd_142_heavy_1
madani	madani	MADANI	abvd	NEAR	abvd_179_near_1
madiuʔ	madiuʔ	MADIUH	abvd	FAR	abvd_180_far_1
madoyow	madoyow	MADOUOW	abvd	GOOD	abvd_164_good_46
madoʔot	madoʔot	MADOHOT	abvd	BAD OR EVIL	abvd_165_badevil_1
magaang	magaang	MAGAANG	abvd	SHARP	abvd_81_sharp_41
magalang	magalang	MAGALANG	abvd	SHARP	abvd_81_sharp_41
mahagsil	mahagsil	MAHAGSIL	abvd	COLD	abvd_139_cold_36
maintok	maintok	MAINTOK	abvd	SMALL	abvd_152_small_49
makopal	makopal	MAKOPAL	abvd	THICK	abvd_157_thick_1
malalab	malalab	MALALAB	abvd	YELLOW	abvd_150_yellow_38
malayat	malayat	MALAUAT	abvd	LONG	abvd_155_long_45
malibutut	malibutut	MALIBUTUT	abvd	SHORT	abvd_154_short_90
maligsom	maligsom	MALIGSOM	abvd	DIRTY	abvd_10_dirty_61
maligʔot	maligʔot	MALIGHOT	abvd	NARROW	abvd_158_narrow_1
malintok	malintok	MALINTOK	abvd	SMALL	abvd_152_small_49
malogot	malogot	MALOGOT	abvd	CORRECT (RIGHT)	-
malopot	malopot	MALOPOT	abvd	SHORT	abvd_154_short_44
malugolugow	malugolugow	MALUGOLUGOW	abvd	GREEN	abvd_151_green_90
maluʔag	maluʔag	MALUHAG	abvd	WIDE	abvd_159_wide_62
mamada	mamada	MAMADA	abvd	DRY	abvd_140_dry_26
mamoʔ	mamoʔ	MAMOH	abvd	CHEW	abvd_38_tochew_1
manipis	manipis	MANIPIS	abvd	THIN	abvd_156_thin_1
manokmanok	manokmanok	MANOKMANOK	abvd	BIRD	abvd_97_bird_1
mapotit	mapotit	MAPOTIT	abvd	WHITE	abvd_148_white_1
masakit	masakit	MASAKIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mauʔag	mauʔag	MAUHAG	abvd	WIDE	abvd_159_wide_62
maʔusilom	maʔusilom	MAHUSILOM	abvd	NIGHT	abvd_167_night_20
moʔinit	moʔinit	MOHINIT	abvd	WARM	abvd_138_warm_23
moʔitom	moʔitom	MOHITOM	abvd	BLACK	abvd_147_black_1
namatoy	namatoy	NAMATOU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
nasubid	nasubid	NASUBID	abvd	WET	abvd_141_wet_29
ngaap	ngaap	NGAAP	abvd	FISH	abvd_111_fish_43
ngadan	ngadan	NGADAN	abvd	NAME	abvd_63_name_1
ngadog	ngadog	NGADOG	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_37
ngalap	ngalap	NGALAP	abvd	FISH	abvd_111_fish_43
ngipon	ngipon	NGIPON	abvd	TOOTH	abvd_31_tooth_1
ngisi	ngisi	NGISI	abvd	LAUGH	abvd_33_tolaugh_17
nokoy	nokoy	NOKOU	abvd	WHAT	abvd_188_what_26
pakpak	pakpak	PAKPAK	abvd	WING	abvd_100_wing_33
pamanayon	pamanayon	PAMANAUON	abvd	SHOULDER	abvd_19_shoulder_34
pamanoik	pamanoik	PAMANOIK	abvd	CLIMB	abvd_172_toclimb_1
pamua	pamua	PAMUA	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
pamula	pamula	PAMULA	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
panganup	panganup	PANGANUP	abvd	HUNT	abvd_69_tohunt_1
papitu	papitu	PAPITU	abvd	SEVEN	abvd_203_seven_1
paʔa	paʔa	PAHA	abvd	FOOT OR LEG	abvd_4_legfoot_20
pinnuʔu	pinnuʔu	PINNUHU	abvd	SIT	abvd_51_tosit_58
pisang	pisang	PISANG	abvd	CUT OR HACK	abvd_78_tocuthack_47
pitow	pitow	PITOW	abvd	SEE	abvd_46_tosee_38
pogoʔ	pogoʔ	POGOH	abvd	SQUEEZE	abvd_88_tosqueeze_1
poka	poka	POKA	abvd	BACK	abvd_13_back_48
pulas	pulas	PULAS	abvd	OPEN	abvd_92_toopenuncover_64
puwas	puwas	PUWAS	abvd	OPEN	abvd_92_toopenuncover_64
sagbukaʔ	sagbukaʔ	SAGBUKAH	abvd	ONE	abvd_197_one_1
sampuluʔ	sampuluʔ	SAMPULUH	abvd	TEN	abvd_206_ten_5
sampuuʔ	sampuuʔ	SAMPUUH	abvd	TEN	abvd_206_ten_5
sapuʔ	sapuʔ	SAPUH	abvd	FLESH OR MEAT	abvd_103_meatflesh_94
sasiam	sasiam	SASIAM	abvd	NINE	abvd_205_nine_9
sasingdog	sasingdog	SASINGDOG	abvd	STAND	abvd_52_tostand_20
sikan	sikan	SIKAN	abvd	THAT	abvd_178_that_54
sikandan	sikandan	SIKANDAN	abvd	THEY	abvd_187_they_1
sikandin	sikandin	SIKANDIN	abvd	HE OR SHE	abvd_184_heshe_1
sikanta	sikanta	SIKANTA	abvd	WE	-
sikoddiʔ	sikoddiʔ	SIKODDIH	abvd	I	-
silab	silab	SILAB	abvd	BURN	abvd_144_toburn_37
sinogow	sinogow	SINOGOW	abvd	CRY	abvd_34_tocry_25
so-i	soi	SOI	abvd	THIS	abvd_177_this_40
songo maan	songomaan	SONGOMAAN	abvd	THOUSAND	abvd_210_onethousand_8
songo malan	songomalan	SONGOMALAN	abvd	THOUSAND	abvd_210_onethousand_8
songo man	songoman	SONGOMAN	abvd	THOUSAND	abvd_210_onethousand_8
sosolobon	sosolobon	SOSOLOBON	abvd	BREAST	abvd_18_breast_1
soʔol	soʔol	SOHOL	abvd	COUNT	abvd_196_tocount_40
sugba	sugba	SUGBA	abvd	COOK (SOMETHING)	abvd_39_tocook_31
supsup	supsup	SUPSUP	abvd	SUCK	abvd_42_tosuck_1
