Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
agiri	agiri	AGIRI	abvd	FASTEN	-
akima	akima	AKIMA	abvd	STONE	abvd_120_stone_13
akovi	akovi	AKOBI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_82
amra	amra	AMRA	abvd	RAIN (PRECIPITATION)	-
anune	anune	ANUNE	abvd	AT	-
aroba	aroba	AROBA	abvd	THREE	abvd_199_three_18
awaki	awaki	AWAKI	abvd	WHAT	abvd_188_what_1
bagibagi	bagibagi	BAGIBAGI	abvd	WORK (ACTIVITY)	abvd_83_towork_95
bare	bare	BARE	abvd	HOUSE	abvd_61_house_14
basubasu	basubasu	BASUBASU	abvd	EGG	-
bata	bata	BATA	abvd	TWO	-
bau	bau	BAU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_23
bedibedi	bedibedi	BEDIBEDI	abvd	WET	abvd_141_wet_106
beka	beka	BEKA	abvd	SKIN	abvd_12_skin_104
bero	bero	BERO	abvd	BAD OR EVIL	abvd_165_badevil_110
bodu	bodu	BODU	abvd	YEAR	-
boto	boto	BOTO	abvd	SQUEEZE	abvd_88_tosqueeze_81
dadabu	dadabu	DADABU	abvd	DIRTY	-
daradaragina	daradaragina	DARADARAGINA	abvd	RED	abvd_149_red_25
dimogaga	dimogaga	DIMOGAGA	abvd	WORM	abvd_107_wormearthworm_48
dou	dou	DOU	abvd	CRY	abvd_34_tocry_8
duge	duge	DUGE	abvd	LEFT	abvd_2_left_78
dumaduma	dumaduma	DUMADUMA	abvd	BLACK	abvd_147_black_21
ega	ega	EGA	abvd	SAND	-
eiyabo	eiyabo	EIUABO	abvd	WHO	-
gabudara	gabudara	GABUDARA	abvd	DAY (NOT NIGHT)	abvd_168_day_71
gabuni	gabuni	GABUNI	abvd	BURN	abvd_144_toburn_16
ganigani	ganigani	GANIGANI	abvd	BLOOD	-
gayama	gayama	GAUAMA	abvd	HEAD	abvd_24_head_77
geba	geba	GEBA	abvd	FEATHER	-
geɣa	geɣa	GEGA	abvd	NO OR NOT	abvd_195_nonot_23
gidorona	gidorona	GIDORONA	abvd	NARROW	-
gisina	gisina	GISINA	abvd	SMALL	abvd_152_small_121
giya	giya	GIUA	abvd	SCRATCH	abvd_77_toscratch_94
giɣa	giɣa	GIGA	abvd	NOSE	abvd_27_nose_30
gogo	gogo	GOGO	abvd	GROW	abvd_86_togrow_57
gudagima	gudagima	GUDAGIMA	abvd	BITE	-
gumgum	gumgum	GUMGUM	abvd	SHARP	abvd_81_sharp_49
gurina	gurina	GURINA	abvd	LONG	abvd_155_long_21
guruwii	guruwii	GURUWII	abvd	VOMIT	abvd_35_tovomit_39
ima	ima	IMA	abvd	HAND	abvd_1_hand_1
imaikovi	imaikovi	IMAIKOBI	abvd	FIVE	abvd_201_five_1
irike	irike	IRIKE	abvd	BONE	-
itapi	itapi	ITAPI	abvd	BLOW (OF WIND)	-
iyakarukaruveni	iyakarukaruveni	IUAKARUKARUBENI	abvd	FLOW	abvd_123_toflow_55
iyouwatarina	iyouwatarina	IUOUWATARINA	abvd	FLESH OR MEAT	-
iɣana	iɣana	IGANA	abvd	FISH	abvd_111_fish_1
iɣu	iɣu	IGU	abvd	TAIL	abvd_105_tail_1
kabitawani	kabitawani	KABITAWANI	abvd	HOLD	abvd_89_tohold_23
kabiyawa	kabiyawa	KABIUAWA	abvd	COUNT	abvd_196_tocount_67
kae	kae	KAE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kaisive	kaisive	KAISIBE	abvd	STICK	abvd_79_stickwood_1
kam	kam	KAM	abvd	EAT	abvd_37_toeat_1
kamoamo	kamoamo	KAMOAMO	abvd	BELLY	abvd_14_belly_45
kamokamo	kamokamo	KAMOKAMO	abvd	INTESTINES	abvd_16_intestines_30
kamone	kamone	KAMONE	abvd	IN	abvd_174_ininside_11
kanakana	kanakana	KANAKANA	abvd	DRY	abvd_140_dry_105
kaniɣo	kaniɣo	KANIGO	abvd	NECK	-
kanu	kanu	KANU	abvd	SPIT	abvd_36_tospit_14
kasiyaraga	kasiyaraga	KASIUARAGA	abvd	SPLIT	-
kasunuga	kasunuga	KASUNUGA	abvd	KILL	-
kataia	kataia	KATAIA	abvd	RIGHT	abvd_3_right_14
katekate	katekate	KATEKATE	abvd	LIVER	abvd_17_liver_1
kawa	kawa	KAWA	abvd	MOUTH	abvd_30_mouth_36
keda	keda	KEDA	abvd	PATH OR ROAD	abvd_6_roadpath_12
kedewa	kedewa	KEDEWA	abvd	DOG	abvd_96_dog_18
kena	kena	KENA	abvd	SLEEP	abvd_48_tosleep_8
kewokewo	kewokewo	KEWOKEWO	abvd	STAR	-
keyama	keyama	KEUAMA	abvd	FIRE	abvd_143_fire_35
kita	kita	KITA	abvd	SEE	abvd_46_tosee_1
komia	komia	KOMIA	abvd	SIT	-
komigi	komigi	KOMIGI	abvd	STAND	abvd_52_tostand_1
kubukii	kubukii	KUBUKII	abvd	BACK	abvd_13_back_101
kukuna	kukuna	KUKUNA	abvd	BLUNT	abvd_82_dullblunt_79
kupaika	kupaika	KUPAIKA	abvd	COME	-
lawu	lawu	LAWU	abvd	LAKE	abvd_126_lake_46
mabemabe	mabemabe	MABEMABE	abvd	WING	abvd_100_wing_86
make	make	MAKE	abvd	BE ALIVE	abvd_76_tolivebealive_80
mama	mama	MAMA	abvd	DRY	abvd_140_dry_11
maniwa	maniwa	MANIWA	abvd	LAUGH	abvd_33_tolaugh_3
manu	manu	MANU	abvd	BIRD	abvd_97_bird_1
masala	masala	MASALA	abvd	SKY	abvd_128_sky_81
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matamatagina	matamatagina	MATAMATAGINA	abvd	GREEN	abvd_151_green_1
maɣani	maɣani	MAGANI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_104
meboda	meboda	MEBODA	abvd	IF	-
meme	meme	MEME	abvd	WHERE	abvd_181_where_13
meyani	meyani	MEUANI	abvd	WHEN	abvd_170_when_8
miisena	miisena	MIISENA	abvd	GOOD	-
