Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
alaŋ	ala	ALA	abvd	FAR	-
avɔl	avɔl	ABOL	abvd	HUSBAND	-
aya	aya	AUA	abvd	FATHER	abvd_60_father_22
bi	bi	BI	abvd	BACK	-
bunana	bunana	BUNANA	abvd	MALE PERSON	-
e-kinkin	ekinkin	EKINKIN	abvd	MOSQUITO	abvd_109_mosquito_47
e-ɣakamar	eɣakamar	EGAKAMAR	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_101
ebos	ebos	EBOS	abvd	SMOKE (EXHAUST)	-
eiki	eiki	EIKI	abvd	WATER	abvd_122_water_9
ekarik	ekarik	EKARIK	abvd	RAT	abvd_102_rat_90
ekum	ekum	EKUM	abvd	STONE	abvd_120_stone_52
ekuon	ekuon	EKUON	abvd	FIRE	abvd_143_fire_44
eli	eli	ELI	abvd	FISH	abvd_111_fish_92
emien	emien	EMIEN	abvd	NIGHT	-
esiɣi	esiɣi	ESIGI	abvd	EARTH (SOIL)	-
euloŋo	euloo	EULOO	abvd	MOON	-
eumdik	eumdik	EUMDIK	abvd	STAR	abvd_130_star_82
evavi	evavi	EBABI	abvd	SAND	-
eve	eve	EBE	abvd	SEA	abvd_124_sea_47
ewat	ewat	EWAT	abvd	SKY	abvd_128_sky_78
eŋut	eut	EUT	abvd	LOUSE	abvd_108_louse_1
eɣaltut	eɣaltut	EGALTUT	abvd	CLOUD	-
gipunu	gipunu	GIPUNU	abvd	NECK	abvd_25_neck_123
girgir	girgir	GIRGIR	abvd	DIRTY	-
gloŋ	glo	GLO	abvd	FALL	abvd_95_tofall_123
guŋa	gua	GUA	abvd	SMOKE (EXHAUST)	-
ilo	ilo	ILO	abvd	LONG	abvd_155_long_98
imo	imo	IMO	abvd	YOU	abvd_186_you_1
imɛm	imɛm	IMEM	abvd	WE	-
in	in	IN	abvd	DRINK	abvd_40_todrink_1
indi	indi	INDI	abvd	WE	-
ini	ini	INI	abvd	BONE	-
inye	inye	INUE	abvd	NAME	-
inɔ	inɔ	INO	abvd	MOTHER	abvd_59_mother_1
isi	isi	ISI	abvd	THEY	abvd_187_they_63
iyɔ	iyɔ	IUO	abvd	I	abvd_182_i_1
iŋe	ie	IE	abvd	NOSE	abvd_27_nose_1
iŋɔ	iɔ	IO	abvd	THOU	abvd_183_thou_1
kaiketi	kaiketi	KAIKETI	abvd	FLESH OR MEAT	-
kaikiti	kaikiti	KAIKITI	abvd	SMALL	-
kakindruk	kakindruk	KAKINDRUK	abvd	SHORT	-
kakopo	kakopo	KAKOPO	abvd	BELLY	abvd_14_belly_2
kamripipi	kamripipi	KAMRIPIPI	abvd	ROOT	-
kamɛm	kamɛm	KAMEM	abvd	FLOWER	-
kapit	kapit	KAPIT	abvd	RAT	-
kapsu	kapsu	KAPSU	abvd	CHEW	-
kati	kati	KATI	abvd	BITE	abvd_41_tobite_1
kaŋris	karis	KARIS	abvd	SCRATCH	-
ke	ke	KE	abvd	ONE	abvd_197_one_31
ke polo	kepolo	KEPOLO	abvd	SIX	-
ken	ken	KEN	abvd	EAT	abvd_37_toeat_1
kene	kene	KENE	abvd	SLEEP	abvd_48_tosleep_8
kenkani	kenkani	KENKANI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
keve	keve	KEBE	abvd	FOOT OR LEG	abvd_4_legfoot_83
kipa	kipa	KIPA	abvd	BIG	-
kir	kir	KIR	abvd	GREEN	abvd_151_green_8
kivisik	kivisik	KIBISIK	abvd	ROTTEN	abvd_112_rotten_110
kokoki	kokoki	KOKOKI	abvd	HAIR	abvd_26_hair_78
kondatana	kondatana	KONDATANA	abvd	ASH	-
kotot	kotot	KOTOT	abvd	THROW	-
kua	kua	KUA	abvd	MOUTH	abvd_30_mouth_36
kua kinyaŋa	kuakinyaa	KUAKINUAA	abvd	TOOTH	abvd_31_tooth_69
kulip	kulip	KULIP	abvd	LAUGH	-
kumu	kumu	KUMU	abvd	WORK (ACTIVITY)	abvd_83_towork_1
kuni	kuni	KUNI	abvd	SKIN	abvd_12_skin_1
kuya	kuya	KUUA	abvd	HUSBAND	abvd_57_husband_2
kɔki	kɔki	KOKI	abvd	LEAF	abvd_114_leaf_60
kɛlimi	kɛlimi	KELIMI	abvd	FOREST	abvd_127_woodsforest_101
kɛtɛ	kɛtɛ	KETE	abvd	LIVER	abvd_17_liver_1
le	le	LE	abvd	FISH	abvd_111_fish_92
lem	lem	LEM	abvd	LIGHTNING	abvd_135_lightning_19
lil	lil	LIL	abvd	HIDE	abvd_171_tohide_53
limi	limi	LIMI	abvd	FIVE	abvd_201_five_1
lipi	lipi	LIPI	abvd	TAIL	abvd_105_tail_80
loloka	loloka	LOLOKA	abvd	FLESH OR MEAT	-
loŋo	loo	LOO	abvd	HEAR	abvd_44_tohear_1
lɔkɔŋa	lɔkɔa	LOKOA	abvd	TEN	abvd_206_ten_47
mama	mama	MAMA	abvd	TONGUE	abvd_32_tongue_1
mamayaŋa	mamayaa	MAMAUAA	abvd	YAWN	abvd_47_toyawn_19
marukwa	marukwa	MARUKWA	abvd	PATH OR ROAD	-
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matamumu	matamumu	MATAMUMU	abvd	FOG	-
maŋ	ma	MA	abvd	SPIDER	abvd_110_spider_85
me	me	ME	abvd	COME	abvd_7_tocome_1
meŋ-kakiklu	mekakiklu	MEKAKIKLU	abvd	EGG	abvd_98_egg_101
mini	mini	MINI	abvd	HAND	abvd_1_hand_35
minive	minive	MINIBE	abvd	SHOULDER	-
minŋa	mina	MINA	abvd	BREAST	abvd_18_breast_20
misisa	misisa	MISISA	abvd	FLESH OR MEAT	abvd_103_meatflesh_23
mlek	mlek	MLEK	abvd	BLOOD	abvd_23_blood_64
moyok	moyok	MOUOK	abvd	THREE	abvd_199_three_7
moyok polo	moyokpolo	MOUOKPOLO	abvd	EIGHT	-
mto	mto	MTO	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mutu	mutu	MUTU	abvd	VOMIT	abvd_35_tovomit_1
mɔkɔi	mɔkɔi	MOKOI	abvd	DOG	abvd_96_dog_97
mɛn	mɛn	MEN	abvd	BIRD	abvd_97_bird_1
nes	nes	NES	abvd	WALK	abvd_5_towalk_50
nin	nin	NIN	abvd	SWIM	abvd_9_toswim_96
paka	paka	PAKA	abvd	THATCH OR ROOF	-
palok	palok	PALOK	abvd	THOUSAND	-
papaŋoka	papaoka	PAPAOKA	abvd	LEFT	-
pasat	pasat	PASAT	abvd	SPLIT	-
petetnika	petetnika	PETETNIKA	abvd	RIGHT	-
pia	pia	PIA	abvd	NEW	abvd_163_new_1
pisi	pisi	PISI	abvd	SQUEEZE	abvd_88_tosqueeze_29
pisik	pisik	PISIK	abvd	WET	abvd_141_wet_105
pon-limi	ponlimi	PONLIMI	abvd	HEAD	abvd_24_head_73
puksok	puksok	PUKSOK	abvd	SPIT	-
pun	pun	PUN	abvd	BITE	-
pɔpɔŋa	pɔpɔa	POPOA	abvd	FRUIT	-
pɛnɛl	pɛnɛl	PENEL	abvd	FOUR	abvd_200_four_5
pɛnɛl polo	pɛnɛlpolo	PENELPOLO	abvd	NINE	-
rain madɛ by magic	rainmadɛbymagic	RAINMADEBUMAGIK	abvd	RAIN (PRECIPITATION)	-
ramit	ramit	RAMIT	abvd	STAND	abvd_52_tostand_94
ris	ris	RIS	abvd	HOLD	abvd_89_tohold_116
riŋi	rii	RII	abvd	BE DEAD OR DIE	abvd_75_todiebedead_40
ruin	ruin	RUIN	abvd	SIT	-
ruŋruŋ	ruru	RURU	abvd	THUNDER	abvd_134_thunder_2
saŋoŋoŋi	saooi	SAOOI	abvd	COLD	-
ses	ses	SES	abvd	BAD OR EVIL	abvd_165_badevil_1
sisele	sisele	SISELE	abvd	ROOT	abvd_115_root_60
sivin	sivin	SIBIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
siviŋa	sivia	SIBIA	abvd	GOOD	abvd_164_good_134
su	su	SU	abvd	TWO	-
su polo	supolo	SUPOLO	abvd	SEVEN	-
suaᵑgi	suagi	SUAGI	abvd	SNAKE	-
suk	suk	SUK	abvd	HIT	-
suvum	suvum	SUBUM	abvd	DUST	-
talu	talu	TALU	abvd	BITE	-
tamana	tamana	TAMANA	abvd	MALE PERSON	abvd_54_manmale_1
tanah	tanah	TANAH	abvd	INTESTINES	abvd_16_intestines_68
teŋ	te	TE	abvd	CRY	abvd_34_tocry_1
ti	ti	TI	abvd	CHILD	abvd_56_child_96
tigil	tigil	TIGIL	abvd	WORM	abvd_107_wormearthworm_86
tit	tit	TIT	abvd	COUNT	abvd_196_tocount_18
tiŋa	tia	TIA	abvd	EAR	abvd_43_ear_1
tuk ɛti	tukɛti	TUKETI	abvd	CHILD	abvd_56_child_5
ulayum	ulayum	ULAUUM	abvd	HUNT	-
vele	vele	BELE	abvd	HOUSE	abvd_61_house_14
vitik	vitik	BITIK	abvd	SEE	-
vivopvop	vivopvop	BIBOPBOP	abvd	BLACK	-
vulwul	vulwul	BULWUL	abvd	WHITE	abvd_148_white_120
vuvo	vuvo	BUBO	abvd	FLY (MOVE THROUGH AIR)	-
yek	yek	UEK	abvd	BURN	-
yipuna	yipuna	UIPUNA	abvd	SHOULDER	-
yo	yo	UO	abvd	SHOOT	-
yɔp	yɔp	UOP	abvd	ALL	abvd_191_all_90
ŋ-loŋo	loo	LOO	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_29
ŋerekrek	erekrek	EREKREK	abvd	RED	abvd_149_red_113
ŋiŋi	ii	II	abvd	BONE	-
ŋnyem	nyem	NUEM	abvd	SUCK	abvd_42_tosuck_50
ŋomlimi	omlimi	OMLIMI	abvd	NOSE	-
ŋpagat	pagat	PAGAT	abvd	OPEN	-
ŋsigit	sigit	SIGIT	abvd	SEW	abvd_67_tosew_69
ŋur	ur	UR	abvd	BREATHE	abvd_28_tobreathe_13
ŋɔsŋɔs	ɔsɔs	OSOS	abvd	BREATHE	abvd_28_tobreathe_36
ŋɛ	ɛ	E	abvd	SIT	-
ŋɛs	ɛs	ES	abvd	CHEW	abvd_38_tochew_12
ɛi	ɛi	EI	abvd	HE OR SHE	abvd_184_heshe_1
ɛu	ɛu	EU	abvd	PERSON	-
ɛuli	ɛuli	EULI	abvd	FEMALE PERSON	-
ɣeiɣei	ɣeiɣei	GEIGEI	abvd	DRY	-
ɣeme	ɣeme	GEME	abvd	STEAL	abvd_73_tosteal_31
ɣo	ɣo	GO	abvd	PLANT (SOMETHING)	abvd_84_toplant_71
ɣoi	ɣoi	GOI	abvd	YELLOW	-
