Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
adan	adan	ADAN	abvd	NAME	abvd_63_name_1
ajak	ajak	AYAK	abvd	WE	-
akah	akah	AKAH	abvd	ROOT	abvd_115_root_2
alas	alas	ALAS	abvd	FOREST	abvd_127_woodsforest_1
anak	anak	ANAK	abvd	PERSON	-
andus	andus	ANDUS	abvd	SMOKE (EXHAUST)	-
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
aon	aon	AON	abvd	ASH	abvd_146_ashes_1?
apa	apa	APA	abvd	WHAT	abvd_188_what_1
api	api	API	abvd	FIRE	abvd_143_fire_1
apə	apə	APE	abvd	WHAT	abvd_188_what_1
ati	ati	ATI	abvd	LIVER	abvd_17_liver_1
baat	baat	BAAT	abvd	HEAVY	abvd_142_heavy_1
babetukan	babetukan	BABETUKAN	abvd	INTESTINES	abvd_16_intestines_21
badeng	badeng	BADENG	abvd	BLACK	abvd_147_black_22
baduur	baduur	BADUUR	abvd	ABOVE	-
badəŋ	badə	BADE	abvd	BLACK	abvd_147_black_22
baong	baong	BAONG	abvd	NECK	abvd_25_neck_70
bapa	bapa	BAPA	abvd	FATHER	abvd_60_father_5
bapə	bapə	BAPE	abvd	FATHER	abvd_60_father_5
barak	barak	BARAK	abvd	RED	-
basang	basang	BASANG	abvd	BELLY	abvd_14_belly_29?
batis	batis	BATIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bawak	bawak	BAWAK	abvd	SHORT	abvd_154_short_54
be	be	BE	abvd	FISH	-
beler	beler	BELER	abvd	BAD OR EVIL	abvd_165_badevil_25
belok	belok	BELOK	abvd	TURN	abvd_8_toturn_24
beneh	beneh	BENEH	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bengu	bengu	BENGU	abvd	ROTTEN	-
beseg	beseg	BESEG	abvd	WET	abvd_141_wet_1
beten	beten	BETEN	abvd	BELOW OR UNDER	-
bias	bias	BIAS	abvd	SAND	abvd_121_sand_26
bibɨh	bibɨh	BIBIH	abvd	MOUTH	abvd_30_mouth_32
bikul	bikul	BIKUL	abvd	RAT	-
bintang	bintang	BINTANG	abvd	STAR	abvd_130_star_1
bok	bok	BOK	abvd	HAIR	abvd_26_hair_1
buk	buk	BUK	abvd	DUST	abvd_11_dust_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
bunga	bunga	BUNGA	abvd	FLOWER	abvd_116_flower_1
bungut	bungut	BUNGUT	abvd	MOUTH	abvd_30_mouth_37
bələr	bələr	BELER	abvd	BAD OR EVIL	abvd_165_badevil_25
bənəh	bənəh	BENEH	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bəsəg	bəsəg	BESEG	abvd	WET	abvd_141_wet_1
bəten	bəten	BETEN	abvd	BELOW OR UNDER	-
bəŋu	bəu	BEU	abvd	ROTTEN	-
cacing	cacing	KAKING	abvd	WORM	abvd_107_wormearthworm_23
cai	cai	KAI	abvd	THOU	-
cai ajak mekejang	caiajakmekejang	KAIAYAKMEKEYANG	abvd	YOU	-
carang	carang	KARANG	abvd	BRANCH	abvd_113_branch_9
cenik	cenik	KENIK	abvd	SMALL	-
cicing	cicing	KIKING	abvd	DOG	-
ciciŋ	cici	KIKI	abvd	DOG	-
cunguh	cunguh	KUNGUH	abvd	NOSE	-
cupek	cupek	KUPEK	abvd	NARROW	abvd_158_narrow_1?
cupək	cupək	KUPEK	abvd	NARROW	abvd_158_narrow_1?
daar	daar	DAAR	abvd	EAT	abvd_37_toeat_11
dadua	dadua	DADUA	abvd	TWO	abvd_198_two_1
daki	daki	DAKI	abvd	DIRTY	abvd_10_dirty_1
danu	danu	DANU	abvd	LAKE	abvd_126_lake_1
dawa	dawa	DAWA	abvd	LONG	abvd_155_long_33
dawə	dawə	DAWE	abvd	LONG	abvd_155_long_33
di	di	DI	abvd	AT	abvd_173_at_20
di tengah	ditengah	DITENGAH	abvd	IN	abvd_174_ininside_22
di təŋah	ditəah	DITEAH	abvd	IN	abvd_174_ininside_22
dija	dija	DIYA	abvd	WHERE	-
dijə	dijə	DIYE	abvd	WHERE	-
dina	dina	DINA	abvd	DAY (NOT NIGHT)	abvd_168_day_11
dingin	dingin	DINGIN	abvd	COLD	abvd_139_cold_1
dinə	dinə	DINE	abvd	DAY (NOT NIGHT)	abvd_168_day_11
don	don	DON	abvd	LEAF	abvd_114_leaf_1
duaŋdasə	duadasə	DUADASE	abvd	TWENTY	-
dəsə	dəsə	DESE	abvd	TEN	-
ene	ene	ENE	abvd	THIS	abvd_177_this_1
ento	ento	ENTO	abvd	THAT	abvd_178_that_16
gadang	gadang	GADANG	abvd	GREEN	abvd_151_green_28
gede	gede	GEDE	abvd	BIG	abvd_153_big_27
getih	getih	GETIH	abvd	BLOOD	abvd_23_blood_18
gigi	gigi	GIGI	abvd	TOOTH	abvd_31_tooth_17
gulem	gulem	GULEM	abvd	CLOUD	-
guləm	guləm	GULEM	abvd	CLOUD	-
gəde	gəde	GEDE	abvd	BIG	abvd_153_big_27
gətih	gətih	GETIH	abvd	BLOOD	abvd_23_blood_18
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
icang	icang	IKANG	abvd	I	-
idup	idup	IDUP	abvd	BE ALIVE	abvd_76_tolivebealive_1
ikut	ikut	IKUT	abvd	TAIL	abvd_105_tail_1
in ajaka makojang	inajakamakojang	INAYAKAMAKOYANG	abvd	THEY	-
iraga	iraga	IRAGA	abvd	WE	abvd_185_we_5
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
jang	jang	YANG	abvd	WE	-
jaum	jaum	YAUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
joh	joh	YOH	abvd	FAR	abvd_180_far_1
kampid	kampid	KAMPID	abvd	WING	-
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kebot	kebot	KEBOT	abvd	LEFT	-
kedek	kedek	KEDEK	abvd	LAUGH	abvd_33_tolaugh_30
kedis	kedis	KEDIS	abvd	BIRD	-
kekawa	kekawa	KEKAWA	abvd	SPIDER	abvd_110_spider_1
kenken	kenken	KENKEN	abvd	HOW	-
kerug	kerug	KERUG	abvd	THUNDER	abvd_134_thunder_2
kimud	kimud	KIMUD	abvd	SHY OR ASHAMED	-
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kuning	kuning	KUNING	abvd	YELLOW	abvd_150_yellow_1
kuping	kuping	KUPING	abvd	EAR	abvd_43_ear_15
kurenan	kurenan	KURENAN	abvd	HUSBAND	-
kurənan	kurənan	KURENAN	abvd	HUSBAND	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kutus	kutus	KUTUS	abvd	EIGHT	-
kədis	kədis	KEDIS	abvd	BIRD	-
kədɛk	kədɛk	KEDEK	abvd	LAUGH	abvd_33_tolaugh_30
kərug	kərug	KERUG	abvd	THUNDER	abvd_134_thunder_2
langit	langit	LANGIT	abvd	SKY	abvd_128_sky_1
layah	layah	LAUAH	abvd	TONGUE	-
legu	legu	LEGU	abvd	MOSQUITO	abvd_109_mosquito_44
lelipi	lelipi	LELIPI	abvd	SNAKE	abvd_106_snake_1?
len	len	LEN	abvd	OTHER	abvd_190_other_2
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
limut	limut	LIMUT	abvd	FOG	-
limə	limə	LIME	abvd	HAND	abvd_1_hand_1
linggah	linggah	LINGGAH	abvd	WIDE	-
luh	luh	LUH	abvd	FEMALE PERSON	-
ləgu	ləgu	LEGU	abvd	MOSQUITO	abvd_109_mosquito_44
maboros	maboros	MABOROS	abvd	HUNT	-
magae	magae	MAGAE	abvd	WORK (ACTIVITY)	-
majalan	majalan	MAYALAN	abvd	WALK	abvd_5_towalk_21
majujuk	majujuk	MAYUYUK	abvd	STAND	-
mak	mak	MAK	abvd	WE	-
makeber	makeber	MAKEBER	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_34
makejang	makejang	MAKEYANG	abvd	ALL	-
makpak	makpak	MAKPAK	abvd	CHEW	abvd_38_tochew_24
maling	maling	MALING	abvd	STEAL	abvd_73_tosteal_16
maliŋ	mali	MALI	abvd	STEAL	abvd_73_tosteal_16
mangan	mangan	MANGAN	abvd	SHARP	abvd_81_sharp_9
mangkihan	mangkihan	MANGKIHAN	abvd	BREATHE	-
mapees	mapees	MAPEES	abvd	SPIT	-
mara	mara	MARA	abvd	NEW	-
marə	marə	MARE	abvd	NEW	-
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mati	mati	MATI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
maŋan	maan	MAAN	abvd	SHARP	abvd_81_sharp_9
medil	medil	MEDIL	abvd	SHOOT	abvd_70_toshoot_9
mekeneh	mekeneh	MEKENEH	abvd	THINK	abvd_21_tothink_33
melah	melah	MELAH	abvd	GOOD	-
meli	meli	MELI	abvd	BUY	abvd_91_tobuy_1
membah	membah	MEMBAH	abvd	FLOW	-
meme	meme	MEME	abvd	MOTHER	abvd_59_mother_5?
menek	menek	MENEK	abvd	CLIMB	abvd_172_toclimb_1
mengkeb	mengkeb	MENGKEB	abvd	HIDE	abvd_171_tohide_30
menɛk	menɛk	MENEK	abvd	CLIMB	abvd_172_toclimb_1
meseng	meseng	MESENG	abvd	SQUEEZE	-
mesoh	mesoh	MESOH	abvd	SWELL	-
milih	milih	MILIH	abvd	CHOOSE	abvd_85_tochoose_1
mlumbang	mlumbang	MLUMBANG	abvd	DIG	abvd_90_todig_24?
mlumbaŋ	mlumba	MLUMBA	abvd	DIG	abvd_90_todig_24?
morbor	morbor	MORBOR	abvd	BURN	-
muah	muah	MUAH	abvd	AND	abvd_192_and_2
