Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abara	abara	ABARA	abvd	SHOULDER	abvd_19_shoulder_1
abbulu	abbulu	ABBULU	abvd	FEATHER	abvd_99_feather_1
add|igan	addigan	ADDIGAN	abvd	WHEN	abvd_170_when_1
aek	aek	AEK	abvd	WATER	-
aha	aha	AHA	abvd	WHAT	abvd_188_what_1
ahu	ahu	AHU	abvd	I	abvd_182_i_1
alogo	alogo	ALOGO	abvd	WIND	-
amaŋ	ama	AMA	abvd	FATHER	abvd_60_father_1
api	api	API	abvd	FIRE	abvd_143_fire_1
ari	ari	ARI	abvd	DAY (NOT NIGHT)	abvd_168_day_17
asiŋ	asi	ASI	abvd	OTHER	abvd_190_other_18
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ate-ate	ateate	ATEATE	abvd	LIVER	abvd_17_liver_1
bagas	bagas	BAGAS	abvd	HOUSE	-
baguduŋ	bagudu	BAGUDU	abvd	RAT	-
balga	balga	BALGA	abvd	BIG	-
baoa	baoa	BAOA	abvd	MALE PERSON	-
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
biaŋ	bia	BIA	abvd	DOG	-
bidaŋ	bida	BIDA	abvd	WIDE	-
biroŋ	biro	BIRO	abvd	BLACK	abvd_147_black_22?
bittaŋ	bitta	BITTA	abvd	STAR	abvd_130_star_1
boha	boha	BOHA	abvd	HOW	-
borat	borat	BORAT	abvd	HEAVY	abvd_142_heavy_1
bornok	bornok	BORNOK	abvd	WET	abvd_141_wet_32
boru-boru	boruboru	BORUBORU	abvd	FEMALE PERSON	-
boto	boto	BOTO	abvd	KNOW (SOMETHING)	-
bottår	bottr	BOTTR	abvd	WHITE	abvd_148_white_1?
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
buluŋ	bulu	BULU	abvd	LEAF	abvd_114_leaf_18
bunga	bunga	BUNGA	abvd	FLOWER	abvd_116_flower_1
busuk	busuk	BUSUK	abvd	ROTTEN	abvd_112_rotten_56
butuha	butuha	BUTUHA	abvd	BELLY	-
bȯrŋin	brin	BRIN	abvd	NIGHT	abvd_167_night_1
dakdanak	dakdanak	DAKDANAK	abvd	CHILD	abvd_56_child_1
dakka	dakka	DAKKA	abvd	BRANCH	abvd_113_branch_1
dalan	dalan	DALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dao	dao	DAO	abvd	FAR	abvd_180_far_1
daoŋ	dao	DAO	abvd	NO OR NOT	-
daŋ	da	DA	abvd	NO OR NOT	-
dekke	dekke	DEKKE	abvd	FISH	abvd_111_fish_1
deŋgan	degan	DEGAN	abvd	GOOD	-
di	di	DI	abvd	AT	abvd_173_at_20
di bagasan	dibagasan	DIBAGASAN	abvd	IN	-
di dia	didia	DIDIA	abvd	WHERE	abvd_181_where_20?
di gijjaŋ	digijja	DIGIYYA	abvd	ABOVE	-
di toru	ditoru	DITORU	abvd	BELOW OR UNDER	-
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
dohot	dohot	DOHOT	abvd	AND	-
dua	dua	DUA	abvd	TWO	abvd_198_two_1
duapulu	duapulu	DUAPULU	abvd	TWENTY	-
duhut	duhut	DUHUT	abvd	GRASS	abvd_118_grass_2
dukak	dukak	DUKAK	abvd	CHILD	abvd_56_child_1
ganjaŋ	ganja	GANYA	abvd	LONG	abvd_155_long_24
gelok	gelok	GELOK	abvd	TURN	abvd_8_toturn_25?
goar	goar	GOAR	abvd	NAME	abvd_63_name_10
gorsiŋ	gorsi	GORSI	abvd	YELLOW	-
gále-gále	glegle	GLEGLE	abvd	LIE DOWN	abvd_49_toliedown_24
gėlleŋ	glle	GLLE	abvd	SMALL	-
habaŋ	haba	HABA	abvd	FLY (MOVE THROUGH AIR)	-
haboŋ	habo	HABO	abvd	WING	-
halak	halak	HALAK	abvd	PERSON	-
hami	hami	HAMI	abvd	WE	abvd_185_we_2
hamu	hamu	HAMU	abvd	THOU	abvd_183_thou_10
hamu saluhut	hamusaluhut	HAMUSALUHUT	abvd	YOU	abvd_186_you_1
hamu sude	hamusude	HAMUSUDE	abvd	YOU	abvd_186_you_1
hansit	hansit	HANSIT	abvd	PAINFUL OR SICK	-
hapal	hapal	HAPAL	abvd	THICK	abvd_157_thick_1
hau	hau	HAU	abvd	STICK	abvd_79_stickwood_1
hehe	hehe	HEHE	abvd	MOUTH	abvd_30_mouth_1?
hilap	hilap	HILAP	abvd	LIGHTNING	abvd_135_lightning_1
hita	hita	HITA	abvd	WE	abvd_185_we_1
hobot	hobot	HOBOT	abvd	FOG	abvd_132_fog_1?
hohoamon	hohoamon	HOHOAMON	abvd	YAWN	-
holi-holi	holiholi	HOLIHOLI	abvd	BONE	-
huddul	huddul	HUDDUL	abvd	SIT	-
