Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ala	ala	ALA	wikipron	-	-
alei	alei	ALEI	abvd	WHO	abvd_189_who_1
ani	ani	ANI	wikipron	-	-
aniani	aniani	ANIANI	abvd	EAT	abvd_37_toeat_1
aŋoaŋoa	aoaoa	AOAOA	abvd	YELLOW	abvd_150_yellow_9
ba	ba	BA	wikipron	-	-
baka	baka	BAKA	abvd	HEAD	abvd_24_head_9
bali	bali	BALI	wikipron	-	-
balu	balu	BALU	wikipron	-	-
banita	banita	BANITA	abvd	WING	abvd_100_wing_2
banuraŋa	banuraa	BANURAA	abvd	WARM	-
barema	barema	BAREMA	wikipron	-	-
baritaka	baritaka	BARITAKA	wikipron	-	-
beha	beɣa	BEGA	wikipron	-	-
bembe	bembe	BEMBE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_60
bembeia	bembeia	BEMBEIA	abvd	TURN	-
beta	beta	BETA	abvd	NO OR NOT	abvd_195_nonot_107
betala	betala	BETALA	abvd	NO OR NOT	abvd_195_nonot_107
beti	beti	BETI	wikipron	-	-
beu	beu	BEU	abvd	NO OR NOT	abvd_195_nonot_67
beuka	beuka	BEUKA	abvd	NO OR NOT	abvd_195_nonot_67
bikere	bikere	BIKERE	wikipron	-	-
bile	bile	BILE	abvd	HEAVY	-
bola	bola	BOLA	wikipron	-	-
bonu	bonu	BONU	wikipron	-	-
boroko	boroko	BOROKO	wikipron	-	-
boto	boto	BOTO	abvd	SHORT	abvd_154_short_9
botongo	botoŋo	BOTONO	wikipron	-	-
bua	bua	BUA	wikipron	-	-
buana	buana	BUANA	abvd	LIVER	-
buha	buɣa	BUGA	wikipron	-	-
bumbu	bumbu	BUMBU	abvd	SWELL	abvd_87_toswell_3
čiau	čiau	IAU	abvd	MOTHER	abvd_59_mother_1
čina	čina	INA	abvd	MOTHER	abvd_59_mother_1
dala	dala	DALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
dalanga	dalaŋa	DALANA	wikipron	-	-
dali	dali	DALI	abvd	SEA	abvd_124_sea_1
dama	dama	DAMA	wikipron	-	-
daziki	daziki	DASIKI	wikipron	-	-
diaro	diaro	DIARO	wikipron	-	-
dua	dua	DUA	abvd	FALL	abvd_95_tofall_39
dudu	duⁿdu	DUDU	wikipron	-	-
galama	ɡalama	GALAMA	wikipron	-	-
garavi	ɡaraβi	GARABI	wikipron	-	-
gobu	ɡoᵐbu	GOBU	wikipron	-	-
hadora	ɣaⁿdora	GADORA	wikipron	-	-
hahaka	ɣaɣaka	GAGAKA	wikipron	-	-
hai	ɣai	GAI	wikipron	-	-
hami	ɣami	GAMI	wikipron	-	-
hamu	ɣamu	GAMU	wikipron	-	-
hani	ɣani	GANI	wikipron	-	-
haro	ɣaro	GARO	wikipron	-	-
hata	ɣata	GATA	wikipron	-	-
hau	ɣau	GAU	wikipron	-	-
hava	ɣaβa	GABA	wikipron	-	-
havu	ɣaβu	GABU	wikipron	-	-
hazu	ɣazu	GASU	wikipron	-	-
heli	ɣeli	GELI	wikipron	-	-
hinumi	ɣinumi	GINUMI	wikipron	-	-
hinumu	ɣinumu	GINUMU	wikipron	-	-
hita	ɣita	GITA	wikipron	-	-
hubi	ɣubi	GUBI	wikipron	-	-
huloni	ɣuloni	GULONI	wikipron	-	-
huma	ɣuma	GUMA	wikipron	-	-
humata	ɣumata	GUMATA	wikipron	-	-
humi	ɣumi	GUMI	wikipron	-	-
humungu	ɣumuŋu	GUMUNU	wikipron	-	-
huvi	ɣuβi	GUBI	wikipron	-	-
huzanga	ɣuzaŋa	GUSANA	wikipron	-	-
ia	ia	IA	wikipron	-	-
ihanga	iɣaŋa	IGANA	wikipron	-	-
ini	ini	INI	wikipron	-	-
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
iɣa	iɣa	IGA	abvd	FISH	abvd_111_fish_1
kabebeke	kaᵐbeᵐbeke	KABEBEKE	wikipron	-	-
kabiri	kaᵐbiri	KABIRI	wikipron	-	-
kabukanuɣa	kabukanuɣa	KABUKANUGA	abvd	WHITE	abvd_148_white_38
kadoβadoβa	kadoadoa	KADOADOA	abvd	FLESH OR MEAT	-
kaka	kaka	KAKA	wikipron	-	-
kakauku	kakauku	KAKAUKU	wikipron	-	-
kakaβili	kakaili	KAKAILI	abvd	BLOW (OF WIND)	abvd_137_toblow_11
kalabaka	kalaᵐbaka	KALABAKA	wikipron	-	-
kaluha	kaluɣa	KALUGA	wikipron	-	-
kamo	kamo	KAMO	wikipron	-	-
kanilu	kanilu	KANILU	abvd	SPIT	-
kapiru	kapiru	KAPIRU	abvd	CHILD	abvd_56_child_12
kapou	kapou	KAPOU	abvd	BIG	abvd_153_big_120
kaua	kaua	KAUA	abvd	DOG	abvd_96_dog_17
kauaka	kauaka	KAUAKA	wikipron	-	-
kaura	kaura	KAURA	wikipron	-	-
kavu	kaβu	KABU	wikipron	-	-
kawa	kawa	KAWA	abvd	DOG	abvd_96_dog_17
kaβili	kaili	KAILI	abvd	WIND	-
kemi	kemi	KEMI	abvd	GOOD	abvd_164_good_127
kira	kira	KIRA	wikipron	-	-
kobokobo	kobokobo	KOBOKOBO	abvd	GREEN	abvd_151_green_15
koria	koria	KORIA	abvd	SCRATCH	abvd_77_toscratch_12
koru	koru	KORU	abvd	EGG	-
kote	kote	KOTE	abvd	SMALL	abvd_152_small_70
koŋɡa	koɡa	KOGA	abvd	DRY	-
kulu	kulu	KULU	wikipron	-	-
kuluβe	kulue	KULUE	abvd	RAT	abvd_102_rat_3
kure	kure	KURE	wikipron	-	-
kuzuveke	kuzuβeke	KUSUBEKE	wikipron	-	-
lahora	laɣora	LAGORA	wikipron	-	-
lala	lala	LALA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
lalaβi	lalai	LALAI	abvd	FEATHER	abvd_99_feather_76
langiti	laŋiti	LANITI	wikipron	-	-
laɣa	laɣa	LAGA	abvd	BAD OR EVIL	abvd_165_badevil_1
laβe	lae	LAE	abvd	TONGUE	abvd_32_tongue_21
ledanga	leⁿdaŋa	LEDANA	wikipron	-	-
leleia	leleia	LELEIA	abvd	SPLIT	-
lihota	liɣota	LIGOTA	wikipron	-	-
likona	likona	LIKONA	abvd	TAIL	abvd_105_tail_74
lima	lima	LIMA	wikipron	-	-
limoɣa	limoɣa	LIMOGA	abvd	CORRECT (RIGHT)	-
livuku	liβuku	LIBUKU	wikipron	-	-
liŋambo	liambo	LIAMBO	abvd	MOON	-
loka	loka	LOKA	abvd	LAKE	-
londo	londo	LONDO	abvd	STEAL	-
longori	loŋori	LONORI	wikipron	-	-
loto	loto	LOTO	wikipron	-	-
loŋo	loo	LOO	abvd	HEAR	abvd_44_tohear_1
loŋoiɣoia	looiɣoia	LOOIGOIA	abvd	THINK	abvd_21_tothink_63
loɣo	loɣo	LOGO	abvd	NECK	abvd_25_neck_1
luaka	luaka	LUAKA	wikipron	-	-
lualua	lualua	LUALUA	abvd	VOMIT	abvd_35_tovomit_8
lui	lui	LUI	wikipron	-	-
lulu	lulu	LULU	abvd	SUCK	-
lumutu	lumutu	LUMUTU	wikipron	-	-
luŋgu	lugu	LUGU	abvd	BACK	-
