Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abaga	ʔabaɡa	HABAGA	wikipron	-	-
abaga	abaga	ABAGA	abvd	SHOULDER	abvd_19_shoulder_1
abang	ʔabaŋ	HABAN	wikipron	-	-
abaniko	ʔabaniko	HABANIKO	wikipron	-	-
abaw	ʔabaw	HABAW	wikipron	-	-
abay	ʔabaj	HABAY	wikipron	-	-
abayan	ʔabajan	HABAYAN	wikipron	-	-
abo	ʔabo	HABO	wikipron	-	-
abo	abo	ABO	abvd	ASH	abvd_146_ashes_1
abo'	abo	ABO	abvd	ASH	abvd_146_ashes_1
abogado	ʔaboɡado	HABOGADO	wikipron	-	-
abogasiya	ʔaboɡasija	HABOGASIYA	wikipron	-	-
abokado	ʔabokado	HABOKADO	wikipron	-	-
abrak	ʔabɾak	HABRAK	wikipron	-	-
abrasa	ʔabɾasa	HABRASA	wikipron	-	-
abri	ʔabɾi	HABRI	wikipron	-	-
Abril	ʔabɾil	HABRIL	wikipron	-	-
abuso	ʔabuso	HABUSO	wikipron	-	-
aco'	aco	AKO	abvd	I	abvd_182_i_1
adal	ʔadal	HADAL	wikipron	-	-
adalan	ʔadalan	HADALAN	wikipron	-	-
adalon	ʔadalon	HADALON	wikipron	-	-
adhetibo	ʔadhetibo	HADHETIBO	wikipron	-	-
adlaw	adlaw	ADLAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
adres	ʔadɾes	HADRES	wikipron	-	-
adyi	ʔadjiʔ	HADYIH	wikipron	-	-
aga	ʔaɡa	HAGA	wikipron	-	-
agagha	ʔaɡaɡhaʔ	HAGAGHAH	wikipron	-	-
agagha	ʔaɡaɡʔaʔ	HAGAGHAH	wikipron	-	-
agap	ʔaɡap	HAGAP	wikipron	-	-
agda	ʔaɡda	HAGDA	wikipron	-	-
agi	ʔaɡi	HAGI	wikipron	-	-
agid	ʔaɡid	HAGID	wikipron	-	-
agihan	ʔaɡihan	HAGIHAN	wikipron	-	-
agihan	ʔaɡiʔan	HAGIHAN	wikipron	-	-
agihan	agihan	AGIHAN	abvd	PATH OR ROAD	abvd_6_roadpath_56
agil	ʔaɡil	HAGIL	wikipron	-	-
agila	ʔaɡila	HAGILA	wikipron	-	-
agimadmad	ʔaɡimadmad	HAGIMADMAD	wikipron	-	-
agod	ʔaɡod	HAGOD	wikipron	-	-
agom	ʔaɡom	HAGOM	wikipron	-	-
agom na babaye	agomnababaye	AGOMNABABAUE	abvd	WIFE	abvd_58_wife_20
agom na lalake	agomnalalake	AGOMNALALAKE	abvd	HUSBAND	abvd_57_husband_28
agom na lalaki	agomnalalaki	AGOMNALALAKI	abvd	HUSBAND	abvd_57_husband_28
Agosto	ʔaɡosto	HAGOSTO	wikipron	-	-
agrangay	ʔaɡɾaŋaj	HAGRANAY	wikipron	-	-
agrutong	ʔaɡɾutoŋ	HAGRUTON	wikipron	-	-
Aguilar	ʔaɡilaɾ	HAGILAR	wikipron	-	-
agwa	ʔaɡwa	HAGWA	wikipron	-	-
agyat	ʔaɡjat	HAGYAT	wikipron	-	-
ahedres	ʔahedɾes	HAHEDRES	wikipron	-	-
ahensiya	ʔahensia	HAHENSIA	wikipron	-	-
ahente	ʔahente	HAHENTE	wikipron	-	-
ahit	ʔahit	HAHIT	wikipron	-	-
ahit	ʔaʔit	HAHIT	wikipron	-	-
akbay	ʔakbaj	HAKBAY	wikipron	-	-
akbayan	ʔakbajan	HAKBAYAN	wikipron	-	-
akboy	ʔakboj	HAKBOY	wikipron	-	-
akboyan	ʔakbojan	HAKBOYAN	wikipron	-	-
ake	ake	AKE	abvd	CHILD	abvd_56_child_107
aki	ʔakiʔ	HAKIH	wikipron	-	-
akit	ʔakit	HAKIT	wikipron	-	-
ako	ʔako	HAKO	wikipron	-	-
ako	ʔakoʔ	HAKOH	wikipron	-	-
ako	ako	AKO	abvd	I	abvd_182_i_1
akos	ʔakos	HAKOS	wikipron	-	-
aksidente	ʔaksidente	HAKSIDENTE	wikipron	-	-
alagaag	ʔalaɡaʔaɡ	HALAGAHAG	wikipron	-	-
alagad	ʔalaɡad	HALAGAD	wikipron	-	-
alakdan	ʔalakdan	HALAKDAN	wikipron	-	-
alakran	ʔalakɾan	HALAKRAN	wikipron	-	-
alamag	ʔalamaɡ	HALAMAG	wikipron	-	-
alaman	ʔalaman	HALAMAN	wikipron	-	-
alamat	ʔalamat	HALAMAT	wikipron	-	-
alang	ʔalaŋ	HALAN	wikipron	-	-
alang	alang	ALANG	abvd	DRY	-
alangan	ʔalaŋan	HALANAN	wikipron	-	-
alapaap	ʔalapaʔap	HALAPAHAP	wikipron	-	-
alat	ʔalat	HALAT	wikipron	-	-
alay	ʔalaj	HALAY	wikipron	-	-
Albay	ʔalbaj	HALBAY	wikipron	-	-
aldao	aldao	ALDAO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
aldaw	ʔaldaw	HALDAW	wikipron	-	-
aldawan	ʔaldawan	HALDAWAN	wikipron	-	-
algodon	ʔalɡodon	HALGODON	wikipron	-	-
alibangbang	ʔalibaŋbaŋ	HALIBANBAN	wikipron	-	-
alimagyo	ʔalimaɡjo	HALIMAGYO	wikipron	-	-
alimantak	ʔalimantak	HALIMANTAK	wikipron	-	-
alimbubuyog	ʔalimbubujoɡ	HALIMBUBUYOG	wikipron	-	-
alinawnaw	ʔalinawnaw	HALINAWNAW	wikipron	-	-
alingahot	ʔaliŋahot	HALINAHOT	wikipron	-	-
alingahot	ʔaliŋaʔot	HALINAHOT	wikipron	-	-
alintak	ʔalintak	HALINTAK	wikipron	-	-
alintataw	ʔalintataw	HALINTATAW	wikipron	-	-
alipong	ʔalipoŋ	HALIPON	wikipron	-	-
alipuros	ʔalipuɾos	HALIPUROS	wikipron	-	-
alisngaw	ʔalisŋaw	HALISNAW	wikipron	-	-
alisuhos	ʔalisuhos	HALISUHOS	wikipron	-	-
alisuhos	ʔalisuʔos	HALISUHOS	wikipron	-	-
alitoktok	ʔalitoktok	HALITOKTOK	wikipron	-	-
aliwalas	ʔaliwalas	HALIWALAS	wikipron	-	-
alkalde	ʔalkalde	HALKALDE	wikipron	-	-
alkila	ʔalkila	HALKILA	wikipron	-	-
alkohol	ʔalkohol	HALKOHOL	wikipron	-	-
alkohol	ʔalkoʔol	HALKOHOL	wikipron	-	-
