Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
baibaiwana	baibaiwana	BAIBAIWANA	abvd	ALL	-
beno	beno	BENO	abvd	THAT	-
bewa	bewa	BEWA	abvd	THIS	-
beʔu	beʔu	BEHU	abvd	FALL	abvd_95_tofall_25
bolime	bolime	BOLIME	abvd	YEAR	abvd_169_year_15
buda	buda	BUDA	abvd	DIRTY	abvd_10_dirty_140
bwaga	bwaga	BWAGA	abvd	FAR	-
bwaibwaina	bwaibwaina	BWAIBWAINA	abvd	GOOD	-
bwasumo	bwasumo	BWASUMO	abvd	BIRD	abvd_97_bird_79
bweyaɣina	bweyaɣina	BWEUAGINA	abvd	BLOOD	-
bweɣali	bweɣali	BWEGALI	abvd	RED	abvd_149_red_26
dagudagu	dagudagu	DAGUDAGU	abvd	THUNDER	-
daɣwa	daɣwa	DAGWA	abvd	HIDE	-
daʔule	daʔule	DAHULE	abvd	STONE	abvd_120_stone_32
deba	deba	DEBA	abvd	HEAD	abvd_24_head_43
debamwadina	debamwadina	DEBAMWADINA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_43
deina	deina	DEINA	abvd	NEAR	abvd_179_near_66
dou	dou	DOU	abvd	CRY	abvd_34_tocry_8
doɣi	doɣi	DOGI	abvd	RAIN (PRECIPITATION)	-
duduna	duduna	DUDUNA	abvd	BELOW OR UNDER	-
gabu	gabu	GABU	abvd	BURN	abvd_144_toburn_16
gabula	gabula	GABULA	abvd	EARTH (SOIL)	-
galena	galena	GALENA	abvd	BAD OR EVIL	-
galewa	galewa	GALEWA	abvd	SKY	abvd_128_sky_16
gamwa	gamwa	GAMWA	abvd	BELLY	abvd_14_belly_45
gawala	gawala	GAWALA	abvd	ASH	abvd_146_ashes_91
gebu	gebu	GEBU	abvd	NO OR NOT	abvd_195_nonot_23
geya	geya	GEUA	abvd	NO OR NOT	abvd_195_nonot_23
gimwane	gimwane	GIMWANE	abvd	BUY	abvd_91_tobuy_17
giyaɣi	giyaɣi	GIUAGI	abvd	HOLD	abvd_89_tohold_118
gobugobututuna	gobugobututuna	GOBUGOBUTUTUNA	abvd	BLACK	-
gogai	gogai	GOGAI	abvd	COLD	abvd_139_cold_49
guguyou	guguyou	GUGUUOU	abvd	NIGHT	-
gulaɣa	gulaɣa	GULAGA	abvd	ROPE	abvd_65_rope_19
guli	guli	GULI	abvd	LIE DOWN	-
gwaba	gwaba	GWABA	abvd	FLESH OR MEAT	-
gwae	gwae	GWAE	abvd	SAY	abvd_64_tosay_156
gwama	gwama	GWAMA	abvd	CHILD	abvd_56_child_14
gwaɣuna	gwaɣuna	GWAGUNA	abvd	BACK	abvd_13_back_40
hedagi	hedagi	HEDAGI	abvd	LAUGH	abvd_33_tolaugh_104
hunuhunu	hunuhunu	HUNUHUNU	abvd	HAIR	abvd_26_hair_79
lagana	lagana	LAGANA	abvd	BRANCH	abvd_113_branch_1
latu	latu	LATU	abvd	COME	abvd_7_tocome_92
laɣana	laɣana	LAGANA	abvd	BRANCH	abvd_113_branch_1
lomaiwa	lomaiwa	LOMAIWA	abvd	LAUGH	abvd_33_tolaugh_3
losipwa	losipwa	LOSIPWA	abvd	FASTEN	abvd_66_totieupfasten_136
loɣala	loɣala	LOGALA	abvd	PAINFUL OR SICK	-
loɣeya	loɣeya	LOGEUA	abvd	MALE PERSON	abvd_54_manmale_104
loɣogaɣoga	loɣogaɣoga	LOGOGAGOGA	abvd	FOG	-
loɣuloɣu	loɣuloɣu	LOGULOGU	abvd	DRY	-
loʔeamasa	loʔeamasa	LOHEAMASA	abvd	KILL	-
lulu	lulu	LULU	abvd	BONE	abvd_15_bone_32
lusa	lusa	LUSA	abvd	SHOOT	abvd_70_toshoot_48
ma	ma	MA	abvd	AND	abvd_192_and_2
madouna	madouna	MADOUNA	abvd	BIG	-
malaʔuʔuya	malaʔuʔuya	MALAHUHUUA	abvd	SUCK	-
mataguwa	mataguwa	MATAGUWA	abvd	BE ALIVE	-
matana	matana	MATANA	abvd	EYE	abvd_45_eye_1
matauta	matauta	MATAUTA	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
memena	memena	MEMENA	abvd	TONGUE	abvd_32_tongue_7
meɣe	meɣe	MEGE	abvd	EYE	abvd_45_eye_30
miyatoi	miyatoi	MIUATOI	abvd	SIT	abvd_51_tosit_26
modumoduwa	modumoduwa	MODUMODUWA	abvd	GRASS	-
