Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afad	afad	APAD	abvd	FOUR	abvd_200_four_1
afi	afi	API	abvd	FIRE	abvd_143_fire_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
asi	asi	ASI	abvd	WHO	abvd_189_who_1
ati	ati	ATI	abvd	LIVER	abvd_17_liver_1
auu	auu	AUU	abvd	DUST	abvd_11_dust_1?
awan	awan	AWAN	abvd	CLOUD	abvd_131_cloud_68
awu	awu	AWU	abvd	ASH	abvd_146_ashes_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
beig	beig	BEIG	abvd	WATER	abvd_122_water_2
biag	biag	BIAG	abvd	BE ALIVE	abvd_76_tolivebealive_15
bitūdn	bitdn	BITDN	abvd	STAR	abvd_130_star_1
bobok	bobok	BOBOK	abvd	MOUTH	abvd_30_mouth_1
bohed	bohed	BOHED	abvd	BIRD	-
brān	brn	BRN	abvd	ROOT	-
buaitn	buaitn	BUAITN	abvd	MOON	abvd_129_moon_1
buak	buak	BUAK	abvd	FRUIT	abvd_117_fruit_1
bubul	bubul	BUBUL	abvd	FEATHER	abvd_99_feather_1
budak	budak	BUDAK	abvd	FLOWER	abvd_116_flower_22
bāli	bli	BLI	abvd	HOUSE	abvd_61_house_14
bār	br	BR	abvd	CORRECT (RIGHT)	-
bāru	bru	BRU	abvd	NEW	abvd_163_new_1
damak	damak	DAMAK	abvd	DIRTY	abvd_10_dirty_44
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
dodos	dodos	DODOS	abvd	WIND	abvd_136_wind_82
dolok	dolok	DOLOK	abvd	RAIN (PRECIPITATION)	-
doudn	doudn	DOUDN	abvd	LEAF	abvd_114_leaf_1
dua	dua	DUA	abvd	TWO	abvd_198_two_1
dudu	dudu	DUDU	abvd	BREAST	abvd_18_breast_15
eŋkorign	ekorign	EKORIGN	abvd	DRY	-
fahat	fahat	PAHAT	abvd	ROOT	-
fandi	fandi	PANDI	abvd	KNOW (SOMETHING)	-
fuŋgama	fugama	PUGAMA	abvd	HOW	-
fī	f	P	abvd	HAND	-
gobak	gobak	GOBAK	abvd	FOREST	abvd_127_woodsforest_32
goudn	goudn	GOUDN	abvd	SMOKE (EXHAUST)	-
iduŋ	idu	IDU	abvd	NOSE	abvd_27_nose_1
ifus	ifus	IPUS	abvd	TAIL	abvd_105_tail_30
ihi	ihi	IHI	abvd	WE	-
ilab	ilab	ILAB	abvd	SPIT	abvd_36_tospit_39
ino	ino	INO	abvd	THAT	abvd_178_that_1
intaŋ	inta	INTA	abvd	BREATHE	-
isa	isa	ISA	abvd	ONE	abvd_197_one_1
jarum	jarum	YARUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
ki	ki	KI	abvd	AT	abvd_173_at_42
kiau	kiau	KIAU	abvd	STICK	abvd_79_stickwood_1
kidoŋor	kidoor	KIDOOR	abvd	HEAR	abvd_44_tohear_1
kikuan	kikuan	KIKUAN	abvd	RIGHT	abvd_3_right_1
kilibuat	kilibuat	KILIBUAT	abvd	ABOVE	abvd_175_above_54
kisiduŋ	kisidu	KISIDU	abvd	BELOW OR UNDER	abvd_176_below_35
kisoid	kisoid	KISOID	abvd	IN	-
koh	koh	KOH	abvd	WING	-
kubal	kubal	KUBAL	abvd	SKIN	-
kuhud	kuhud	KUHUD	abvd	TOOTH	-
kui	kui	KUI	abvd	HE OR SHE	-
kuid	kuid	KUID	abvd	YELLOW	abvd_150_yellow_1
kuikiwaŋ	kuikiwa	KUIKIWA	abvd	LEFT	-
kĕtofo	ktofo	KTOPO	abvd	CUT OR HACK	abvd_78_tocuthack_103
lahi	lahi	LAHI	abvd	MALE PERSON	abvd_54_manmale_2
lampad	lampad	LAMPAD	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_21
laŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
leidn	leidn	LEIDN	abvd	OTHER	abvd_190_other_2
liwun	liwun	LIWUN	abvd	FEMALE PERSON	abvd_55_womanfemale_17
liŋguaŋ	ligua	LIGUA	abvd	WORM	abvd_107_wormearthworm_19
loud	loud	LOUD	abvd	SEA	abvd_124_sea_6
lāma	lma	LMA	abvd	PERSON	-
lāna	lna	LNA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_81
lěmuŋi	lmui	LMUI	abvd	SWIM	abvd_9_toswim_1
mak	mak	MAK	abvd	AND	abvd_192_and_2
melimbag	melimbag	MELIMBAG	abvd	WIDE	abvd_159_wide_1
midia	midia	MIDIA	abvd	BIG	-
mihir	mihir	MIHIR	abvd	THINK	abvd_21_tothink_22
mili	mili	MILI	abvd	CHOOSE	abvd_85_tochoose_1
miātaŋ	mita	MITA	abvd	COME	-
miŋat	miat	MIAT	abvd	NEAR	-
modom	modom	MODOM	abvd	BLACK	abvd_147_black_82
modop	modop	MODOP	abvd	SLEEP	abvd_48_tosleep_30
moduk	moduk	MODUK	abvd	FAR	-
mogat	mogat	MOGAT	abvd	HEAVY	abvd_142_heavy_1
mohodn	mohodn	MOHODN	abvd	EAT	abvd_37_toeat_1
moli	moli	MOLI	abvd	BUY	abvd_91_tobuy_1
molok	molok	MOLOK	abvd	FEAR (BE AFRAID)	-
moro	moro	MORO	abvd	SAY	-
mufuŋ	mufu	MUPU	abvd	SIT	-
musuk	musuk	MUSUK	abvd	STAB	abvd_71_tostabpierce_1
mutaŋ	muta	MUTA	abvd	ROTTEN	-
māta	mta	MTA	abvd	EYE	abvd_45_eye_1
māti	mti	MTI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mĕlak	mlak	MLAK	abvd	SPLIT	abvd_80_tosplit_1
mĕlaŋgu	mlagu	MLAGU	abvd	LONG	abvd_155_long_94
mĕlou	mlou	MLOU	abvd	SHY OR ASHAMED	abvd_161_shyashamed_71
mĕnihan	mnihan	MNIHAN	abvd	WHERE	-
nahu	nahu	NAHU	abvd	STEAL	abvd_73_tosteal_1
nanam	nanam	NANAM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
niap	niap	NIAP	abvd	COUNT	abvd_196_tocount_2
nigad	nigad	NIGAD	abvd	FASTEN	abvd_66_totieupfasten_1
nimbak	nimbak	NIMBAK	abvd	SHOOT	abvd_70_toshoot_49
nohol	nohol	NOHOL	abvd	BITE	-
nuhud	nuhud	NUHUD	abvd	SCRATCH	-
numbuk	numbuk	NUMBUK	abvd	HIT	abvd_72_tohit_35
nunsup	nunsup	NUNSUP	abvd	SUCK	abvd_42_tosuck_1
nutugn	nutugn	NUTUGN	abvd	BURN	abvd_144_toburn_19
obuk	obuk	OBUK	abvd	HAIR	abvd_26_hair_1
odu	odu	ODU	abvd	DAY (NOT NIGHT)	abvd_168_day_1
onsi	onsi	ONSI	abvd	FLESH OR MEAT	abvd_103_meatflesh_1
onuh	onuh	ONUH	abvd	WHAT	abvd_188_what_2
ou	ou	OU	abvd	I	abvd_182_i_1
owu	owu	OWU	abvd	SHOULDER	-
puhu	puhu	PUHU	abvd	SHORT	-
raobi	raobi	RAOBI	abvd	NIGHT	-
rihut	rihut	RIHUT	abvd	GRASS	abvd_118_grass_45
rāh	rh	RH	abvd	BLOOD	abvd_23_blood_1
rāmig	rmig	RMIG	abvd	COLD	abvd_139_cold_22
sadak	sadak	SADAK	abvd	FISH	abvd_111_fish_18
