Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abak	abak	ABAK	abvd	HEAD	-
abok	abok	ABOK	abvd	HAIR	abvd_26_hair_1
adakngdù	adakngd	ADAKNGD	abvd	THEY	-
adù	ad	AD	abvd	HE OR SHE	-
agutn	agutn	AGUTN	abvd	STAND	-
akupm	akupm	AKUPM	abvd	THOU	-
ama	ama	AMA	abvd	OLD	-
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anapm	anapm	ANAPM	abvd	PAINFUL OR SICK	-
angaʔ	angaʔ	ANGAH	abvd	SPIDER	-
angû	ang	ANG	abvd	LONG	-
anû	an	AN	abvd	DAY (NOT NIGHT)	-
apet	apet	APET	abvd	FOUR	abvd_200_four_1
api	api	API	abvd	FIRE	abvd_143_fire_1
arad	arad	ARAD	abvd	WING	abvd_100_wing_23
are	are	ARE	abvd	MALE PERSON	-
arû	ar	AR	abvd	THATCH OR ROOF	-
asat anû	asatan	ASATAN	abvd	DAY (NOT NIGHT)	-
asaʔ	asaʔ	ASAH	abvd	ONE	abvd_197_one_1
asi	asi	ASI	abvd	WHO	abvd_189_who_1
asûp	asp	ASP	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
atub	atub	ATUB	abvd	CLOUD	-
atûkng	atkng	ATKNG	abvd	SKY	-
ayûʔ	ayʔ	AUH	abvd	BIG	-
baat	baat	BAAT	abvd	HEAVY	abvd_142_heavy_1?
babaʔ	babaʔ	BABAH	abvd	MOUTH	abvd_30_mouth_1
babû	bab	BAB	abvd	RAT	abvd_102_rat_49
badûʔ	badʔ	BADH	abvd	DRY	-
bagurikng	bagurikng	BAGURIKNG	abvd	LIE DOWN	abvd_49_toliedown_54
bait	bait	BAIT	abvd	GOOD	abvd_164_good_33
bajalatn	bajalatn	BAYALATN	abvd	WALK	abvd_5_towalk_21
bajaraʔ	bajaraʔ	BAYARAH	abvd	RED	-
bajiket	bajiket	BAYIKET	abvd	NEAR	-
bakaraje	bakaraje	BAKARAYE	abvd	WORK (ACTIVITY)	abvd_83_towork_21
bakus	bakus	BAKUS	abvd	SWELL	abvd_87_toswell_19
balakng	balakng	BALAKNG	abvd	WHITE	-
balalakng	balalakng	BALALAKNG	abvd	BACK	abvd_13_back_27
bangkak	bangkak	BANGKAK	abvd	SWELL	abvd_87_toswell_19
bangus	bangus	BANGUS	abvd	ROTTEN	-
banun	banun	BANUN	abvd	HUSBAND	abvd_57_husband_1
barekng	barekng	BAREKNG	abvd	HAND	-
baseʔ	baseʔ	BASEH	abvd	WET	abvd_141_wet_1
batuʔ	batuʔ	BATUH	abvd	STONE	abvd_120_stone_1
bau	bau	BAU	abvd	NEW	abvd_163_new_24
bintakng	bintakng	BINTAKNG	abvd	STAR	abvd_130_star_1
binyak	binyak	BINUAK	abvd	FAT (ORGANIC SUBSTANCE)	-
biru	biru	BIRU	abvd	GREEN	abvd_151_green_5
buah	buah	BUAH	abvd	FRUIT	abvd_117_fruit_1
buih	buih	BUIH	abvd	SLEEP	-
bunge	bunge	BUNGE	abvd	FLOWER	abvd_116_flower_1
buratn	buratn	BURATN	abvd	MOON	abvd_129_moon_1
burutn	burutn	BURUTN	abvd	FEATHER	abvd_99_feather_1
buut	buut	BUUT	abvd	FEAR (BE AFRAID)	-
daatn	daatn	DAATN	abvd	BRANCH	abvd_113_branch_1
danau	danau	DANAU	abvd	LAKE	abvd_126_lake_1
dangkupm	dangkupm	DANGKUPM	abvd	YOU	-
dautn	dautn	DAUTN	abvd	LEAF	abvd_114_leaf_1
dayaʔ	dayaʔ	DAUAH	abvd	BLOOD	abvd_23_blood_1
diah	diah	DIAH	abvd	THIS	-
dikoh	dikoh	DIKOH	abvd	THAT	-
dingah	dingah	DINGAH	abvd	HEAR	abvd_44_tohear_1
dipaʔ	dipaʔ	DIPAH	abvd	SNAKE	-
duaʔ	duaʔ	DUAH	abvd	TWO	abvd_198_two_1
duaʔ puluh	duaʔpuluh	DUAHPULUH	abvd	TWENTY	abvd_207_twenty_3
dudukng	dudukng	DUDUKNG	abvd	NOSE	-
gaatn	gaatn	GAATN	abvd	NAME	-
galeʔ	galeʔ	GALEH	abvd	PATH OR ROAD	-
ge	ge	GE	abvd	AND	abvd_192_and_63
guluk	guluk	GULUK	abvd	LAUGH	-
guntur	guntur	GUNTUR	abvd	THUNDER	abvd_134_thunder_30
idip	idip	IDIP	abvd	BE ALIVE	abvd_76_tolivebealive_1
igeʔ	igeʔ	IGEH	abvd	AND	-
ijûʔ	ijʔ	IYH	abvd	SEVEN	abvd_203_seven_4
ikatn	ikatn	IKATN	abvd	FISH	abvd_111_fish_1
ileʔ	ileʔ	ILEH	abvd	SEE	-
imuʔ	imuʔ	IMUH	abvd	THOU	-
ineh	ineh	INEH	abvd	SMALL	-
insitn	insitn	INSITN	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
iteʔ	iteʔ	ITEH	abvd	WE	abvd_185_we_1
iyuʔ	iyuʔ	IUUH	abvd	CORRECT (RIGHT)	-
iyûʔ	iyʔ	IUH	abvd	I	-
jaeʔ	jaeʔ	YAEH	abvd	BAD OR EVIL	abvd_165_badevil_1
jai	jai	YAI	abvd	WHAT	-
jangok	jangok	YANGOK	abvd	NECK	-
japuʔ	japuʔ	YAPUH	abvd	TOOTH	-
jarum	jarum	YARUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
jûûʔ	jʔ	YH	abvd	FAR	-
k'ume	kume	KUME	abvd	WHERE	-
ka	ka	KA	abvd	AT	abvd_173_at_9
ka diak	kadiak	KADIAK	abvd	NEAR	-
ka sadatn	kasadatn	KASADATN	abvd	IN	abvd_174_ininside_73
ka samû	kasam	KASAM	abvd	ABOVE	-
ka saroh	kasaroh	KASAROH	abvd	BELOW OR UNDER	-
kabih	kabih	KABIH	abvd	BE DEAD OR DIE	-
kabur anû	kaburan	KABURAN	abvd	FOG	abvd_132_fog_1
kaiʔ	kaiʔ	KAIH	abvd	WE	-
kajaʔ	kajaʔ	KAYAH	abvd	FOOT OR LEG	-
kapa	kapa	KAPA	abvd	THICK	abvd_157_thick_1
kasuʔ	kasuʔ	KASUH	abvd	DOG	abvd_96_dog_1
katiʔ	katiʔ	KATIH	abvd	NO OR NOT	-
kawe	kawe	KAWE	abvd	SHOULDER	abvd_19_shoulder_1?
kayuʔ	kayuʔ	KAUUH	abvd	STICK	abvd_79_stickwood_1
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kiriʔ	kiriʔ	KIRIH	abvd	LEFT	abvd_2_left_1
kuab	kuab	KUAB	abvd	YAWN	abvd_47_toyawn_19
kuning	kuning	KUNING	abvd	YELLOW	abvd_150_yellow_1
kurit	kurit	KURIT	abvd	SKIN	abvd_12_skin_1
kuʔme	kuʔme	KUHME	abvd	HOW	-
laitn	laitn	LAITN	abvd	OTHER	abvd_190_other_2
lamus	lamus	LAMUS	abvd	GOOD	-
laût	lat	LAT	abvd	SEA	abvd_124_sea_6
maan-maan	maanmaan	MAANMAAN	abvd	ALL	-
maaʔ	maaʔ	MAAH	abvd	WIND	-
madok	madok	MADOK	abvd	HIT	-
makaʔ	makaʔ	MAKAH	abvd	CLIMB	-
maliiʔ	maliiʔ	MALIIH	abvd	CHOOSE	abvd_85_tochoose_1?
maneh	maneh	MANEH	abvd	FALL	-
mangun	mangun	MANGUN	abvd	SHY OR ASHAMED	-
manuk	manuk	MANUK	abvd	BIRD	abvd_97_bird_1
mapaʔ	mapaʔ	MAPAH	abvd	CHEW	abvd_38_tochew_1
marĩ	mar	MAR	abvd	BUY	abvd_91_tobuy_1
masukng	masukng	MASUKNG	abvd	BREATHE	abvd_28_tobreathe_23
matah	matah	MATAH	abvd	CUT OR HACK	-
matukng	matukng	MATUKNG	abvd	FLOW	-
matuʔ	matuʔ	MATUH	abvd	EYE	abvd_45_eye_1
matûd	matd	MATD	abvd	SPLIT	-
mayũh	mayh	MAUH	abvd	THIN	-
maũ	ma	MA	abvd	FEMALE PERSON	-
mujiʔ	mujiʔ	MUYIH	abvd	SAY	-
