Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ial	ial	IAL	abvd	SEE	-
-iere	iere	IERE	abvd	FLY (MOVE THROUGH AIR)	-
-ili	ili	ILI	abvd	SAY	abvd_64_tosay_106
-io	io	IO	abvd	FLOW	abvd_123_toflow_59?
-ior kar	iorkar	IORKAR	abvd	FASTEN	-
-iseᵐbi	isebi	ISEBI	abvd	BURN	abvd_144_toburn_84
-kili	kili	KILI	abvd	DIG	abvd_90_todig_1
-mar	mar	MAR	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mei	mei	MEI	abvd	COME	abvd_7_tocome_1
-meuli	meuli	MEULI	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mro	mro	MRO	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mun	mun	MUN	abvd	DRINK	abvd_40_todrink_1
-mʷono	mono	MONO	abvd	SLEEP	abvd_48_tosleep_19
-mʷono tano	monotano	MONOTANO	abvd	LIE DOWN	abvd_49_toliedown_15
-ser	ser	SER	abvd	BITE	abvd_41_tobite_62
-sinano	sinano	SINANO	abvd	EAT	abvd_37_toeat_34
-siⁿdomi	sidomi	SIDOMI	abvd	THINK	abvd_21_tothink_13
-suᵐbʷar	subar	SUBAR	abvd	SCRATCH	abvd_77_toscratch_73
-teio	teio	TEIO	abvd	CUT OR HACK	abvd_78_tocuthack_1
-teŋi	tei	TEI	abvd	CRY	abvd_34_tocry_1
-teᵐbʷeio	tebeio	TEBEIO	abvd	SPLIT	abvd_80_tosplit_4
-tmul	tmul	TMUL	abvd	STAND	abvd_52_tostand_25
-totano	totano	TOTANO	abvd	SIT	abvd_51_tosit_1
-tulio	tulio	TULIO	abvd	SEW	abvd_67_tosew_60
-tulu	tulu	TULU	abvd	STAB	abvd_71_tostabpierce_14
-we	we	WE	abvd	HIT	abvd_72_tohit_93
-we ᵐbini	webini	WEBINI	abvd	KILL	abvd_74_tokill_66
-yeli	yeli	UELI	abvd	WALK	abvd_5_towalk_10
-yuβio	yuio	UUIO	abvd	BLOW (OF WIND)	abvd_137_toblow_62
-čelio	elio	ELIO	abvd	SWIM	abvd_9_toswim_49
-čikia	ikia	IKIA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_110
-čil	il	IL	abvd	HUNT	-
-čoru	oru	ORU	abvd	FALL	abvd_95_tofall_7
-čoŋ	o	O	abvd	HEAR	abvd_44_tohear_1
-čuluo	uluo	ULUO	abvd	VOMIT	abvd_35_tovomit_8
-čuŋani	uani	UANI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
-βakarə	akarə	AKARE	abvd	HOLD	abvd_89_tohold_3?
-βliŋ-so	liso	LISO	abvd	TURN	abvd_8_toturn_4
-βtali	tali	TALI	abvd	LAUGH	abvd_33_tolaugh_84
-βukio	ukio	UKIO	abvd	THROW	abvd_94_tothrow_84
-βulukio	ulukio	ULUKIO	abvd	COUNT	abvd_196_tocount_1
-βureio	ureio	UREIO	abvd	SQUEEZE	abvd_88_tosqueeze_16
-βuru čeŋi	uruei	URUEI	abvd	BREATHE	abvd_28_tobreathe_78
-βuβulei	uulei	UULEI	abvd	SPIT	abvd_36_tospit_35
a-luo	aluo	ALUO	abvd	SEVEN	abvd_203_seven_2
a-rolu	arolu	AROLU	abvd	EIGHT	abvd_204_eight_7
ari	ari	ARI	abvd	SIX	abvd_202_six_24
burčo-ku	buroku	BUROKU	abvd	NECK	abvd_25_neck_35?
iak	iak	IAK	abvd	THAT	-
ka-rma-ku	karmaku	KARMAKU	abvd	FATHER	abvd_60_father_1
kamiu	kamiu	KAMIU	abvd	YOU	abvd_186_you_1
ke-ner-ku	kenerku	KENERKU	abvd	CHILD	abvd_56_child_5
kiña	kiña	KIA	abvd	WHO	abvd_189_who_64
kiño	kiño	KIO	abvd	I	abvd_182_i_1
kirtaβasu	kirtaasu	KIRTAASU	abvd	NARROW	-
kito	kito	KITO	abvd	WE	abvd_185_we_I
kito čuwo	kitouwo	KITOUWO	abvd	WE	-
koa-ku	koaku	KOAKU	abvd	HUSBAND	abvd_57_husband_62
kuli	kuli	KULI	abvd	DOG	abvd_96_dog_7
kulñaᵐbe-ku	kulñabeku	KULABEKU	abvd	SKIN	abvd_12_skin_1
kumemi	kumemi	KUMEMI	abvd	WE	abvd_185_we_E42
kumim čuwo	kumimuwo	KUMIMUWO	abvd	WE	-
leŋien	leien	LEIEN	abvd	DAY (NOT NIGHT)	abvd_168_day_6
luelmo	luelmo	LUELMO	abvd	TEN	abvd_206_ten_4
mal	mal	MAL	abvd	SHARP	abvd_81_sharp_14
mar-čuβo-ku	maruoku	MARUOKU	abvd	TOOTH	abvd_31_tooth_1
marati	marati	MARATI	abvd	FRUIT	abvd_117_fruit_36
maraᵐbo	marabo	MARABO	abvd	PATH OR ROAD	abvd_6_roadpath_41
mari-yu-ku	mariyuku	MARIUUKU	abvd	BREAST	abvd_18_breast_47
ma·le	male	MALE	abvd	LEFT	abvd_2_left_1
ma·βe	mae	MAE	abvd	SKY	abvd_128_sky_63
ma·βo	mao	MAO	abvd	FOG	abvd_132_fog_3
maᵐbo-ku	maboku	MABOKU	abvd	BELLY	abvd_14_belly_74
meličo	melio	MELIO	abvd	CLOUD	abvd_131_cloud_34
memiaio	memiaio	MEMIAIO	abvd	GREEN	abvd_151_green_8
menini	menini	MENINI	abvd	COLD	abvd_139_cold_1
meniβniβ	menini	MENINI	abvd	THIN	abvd_156_thin_1
menoko	menoko	MENOKO	abvd	COOK (SOMETHING)	abvd_39_tocook_21
menu	menu	MENU	abvd	BIRD	abvd_97_bird_1
menun	menun	MENUN	abvd	ROTTEN	abvd_112_rotten_51
merorol	merorol	MEROROL	abvd	THICK	abvd_157_thick_3
meruwo	meruwo	MERUWO	abvd	RIGHT	abvd_3_right_5
mi-yaŋyaŋ	miyaya	MIUAUA	abvd	DIRTY	abvd_10_dirty_65
mi-čelero	mielero	MIELERO	abvd	YELLOW	abvd_150_yellow_76
miei	miei	MIEI	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
mimi	mimi	MIMI	abvd	WET	abvd_141_wet_36
miuβou	miuou	MIUOU	abvd	WHITE	abvd_148_white_98
məra-ku	məraku	MERAKU	abvd	EYE	abvd_45_eye_1
mʷaro	maro	MARO	abvd	SNAKE	abvd_106_snake_12
mʷarβitano	maritano	MARITANO	abvd	STAR	abvd_130_star_13
mʷayesi	mayesi	MAUESI	abvd	LEAF	abvd_114_leaf_46
mʷoruo	moruo	MORUO	abvd	OLD	abvd_162_old_1
nai	nai	NAI	abvd	HE OR SHE	abvd_184_heshe_1
nalo	nalo	NALO	abvd	THEY	abvd_187_they_1
naŋi	nai	NAI	abvd	WHEN	abvd_170_when_1
næ	n	N	abvd	THIS	abvd_177_this_1
ñati	ñati	ATI	abvd	FLOWER	abvd_116_flower_56
ñaⁿdo	ñado	ADO	abvd	FISH	abvd_111_fish_80
o-βeri	oeri	OERI	abvd	NINE	abvd_205_nine_20
par-ᵐbʷar-ku	parbarku	PARBARKU	abvd	HEAD	abvd_24_head_9
payesi	payesi	PAUESI	abvd	ROOT	abvd_115_root_45
payono	payono	PAUONO	abvd	SAND	abvd_121_sand_1
potŋo-yeβi	potoyei	POTOUEI	abvd	DUST	abvd_11_dust_25
pur-mena-ku	purmenaku	PURMENAKU	abvd	TONGUE	abvd_32_tongue_7
puri-aro	puriaro	PURIARO	abvd	LIVER	abvd_17_liver_34
purusoβna-ku	purusonaku	PURUSONAKU	abvd	SHOULDER	abvd_19_shoulder_55
sawo	sawo	SAWO	abvd	RAT	abvd_102_rat_3
seᵐbi	sebi	SEBI	abvd	FIRE	abvd_143_fire_38
sia-ku	siaku	SIAKU	abvd	NAME	abvd_63_name_1
siᵐberio	siberio	SIBERIO	abvd	MOON	abvd_129_moon_54
siᵐbiano	sibiano	SIBIANO	abvd	WING	abvd_100_wing_2
soro	soro	SORO	abvd	GRASS	abvd_118_grass_104
su-ᵐbue	subue	SUBUE	abvd	FLESH OR MEAT	abvd_103_meatflesh_15
sumʷan	suman	SUMAN	abvd	PERSON	abvd_53_personhumanbeing_4
sunu-ku	sunuku	SUNUKU	abvd	NOSE	abvd_27_nose_1
sur	sur	SUR	abvd	LOUSE	abvd_108_louse_1
tai	tai	TAI	abvd	ONE	abvd_197_one_14
taka-ku	takaku	TAKAKU	abvd	BACK	abvd_13_back_12
takorano	takorano	TAKORANO	abvd	ONE	abvd_197_one_14
taᵐbalu	tabalu	TABALU	abvd	THUNDER	abvd_134_thunder_83
tei	tei	TEI	abvd	SEA	abvd_124_sea_1
teli	teli	TELI	abvd	ROPE	abvd_65_rope_1
telik	telik	TELIK	abvd	SMALL	-
telisu	telisu	TELISU	abvd	SMALL	abvd_152_small_162
teñe-ku	teñeku	TEEKU	abvd	MOTHER	abvd_59_mother_17?
ter-βou	terou	TEROU	abvd	NEW	abvd_163_new_1
ti-ᵐbieβi	tibiei	TIBIEI	abvd	LONG	abvd_155_long_16
tilñe-ku	tileku	TILEKU	abvd	EAR	abvd_43_ear_1
timaᵐbe	timabe	TIMABE	abvd	HOW	abvd_194_how_95
tiñaβito	tiñaito	TIAITO	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_110
tiñe-ᵑgu	tiegu	TIEGU	abvd	INTESTINES	abvd_16_intestines_1
tolu	tolu	TOLU	abvd	THREE	abvd_199_three_1
tomi	tomi	TOMI	abvd	HEAVY	abvd_142_heavy_72
tor	tor	TOR	abvd	MALE PERSON	-
turu	turu	TURU	abvd	BIG	abvd_153_big_104
