Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aba	aba	ABA	abvd	LONG	abvd_155_long_27
abagat	abagat	ABAGAT	abvd	YEAR	abvd_169_year_88
abyanun	abyanun	ABUANUN	abvd	SNAKE	-
afóy	afy	APU	abvd	FIRE	abvd_143_fire_1
agbolos	agbolos	AGBOLOS	abvd	FLOW	-
agbét	agbt	AGBT	abvd	BIG	-
agdungúg	agdungg	AGDUNGG	abvd	HEAR	abvd_44_tohear_1
agdógdi	agdgdi	AGDGDI	abvd	HEAR	-
agfalakák	agfalakk	AGPALAKK	abvd	LAUGH	-
agfana	agfana	AGPANA	abvd	SHOOT	abvd_70_toshoot_1
agfatama	agfatama	AGPATAMA	abvd	COOK (SOMETHING)	abvd_39_tocook_104
agfauway wan	agfauwaywan	AGPAUWAUWAN	abvd	LIE DOWN	-
agkalig	agkalig	AGKALIG	abvd	WORK (ACTIVITY)	-
aglafi	aglafi	AGLAPI	abvd	SPLIT	-
aglangóy	aglangy	AGLANGU	abvd	SWIM	abvd_9_toswim_1
aglayóg	aglayg	AGLAUG	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_43
aglaáw	aglaw	AGLAW	abvd	WALK	abvd_5_towalk_142
aglubók	aglubk	AGLUBK	abvd	POUND	abvd_93_topoundbeat_14
agnaáw	agnaw	AGNAW	abvd	STEAL	-
agtaáng	agtang	AGTANG	abvd	CLIMB	-
agtukawan	agtukawan	AGTUKAWAN	abvd	SIT	-
agwalá	agwal	AGWAL	abvd	LEFT	abvd_2_left_25
akbáng	akbng	AKBNG	abvd	NEAR	abvd_179_near_125
aksuá	aksu	AKSU	abvd	VOMIT	-
alayáy	alayy	ALAUU	abvd	SMALL	-
alaáy	alay	ALAU	abvd	SMALL	-
albón	albn	ALBN	abvd	FISH	-
alfoyò	alfoy	ALPOU	abvd	HEAD	abvd_24_head_1
aliyán	aliyn	ALIUN	abvd	DIG	abvd_90_todig_1
aliyí	aliy	ALIU	abvd	DIG	abvd_90_todig_1
alongan	alongan	ALONGAN	abvd	SAY	abvd_64_tosay_174
aláy	aly	ALU	abvd	SMALL	-
am	am	AM	abvd	YOU	abvd_186_you_1
amáng	amng	AMNG	abvd	FATHER	abvd_60_father_1
amí	am	AM	abvd	WE	abvd_185_we_2
anaán	anan	ANAN	abvd	MALE PERSON	-
angbu	angbu	ANGBU	abvd	RAT	abvd_102_rat_23
angbú	angb	ANGB	abvd	RAT	abvd_102_rat_23
anák	ank	ANK	abvd	CHILD	abvd_56_child_1
anítay	antay	ANTAU	abvd	RAIN (PRECIPITATION)	-
anús	ans	ANS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_80
araba	araba	ARABA	abvd	LONG	abvd_155_long_109
asín	asn	ASN	abvd	SALT	abvd_125_salt_3
atanák	atank	ATANK	abvd	CHILD	abvd_56_child_1
atonga	atonga	ATONGA	abvd	CHILD	-
attä	att	ATT	abvd	THAT	-
ayayo	ayayo	AUAUO	abvd	FAR	abvd_180_far_1
ayoyós	ayoys	AUOUS	abvd	RAIN (PRECIPITATION)	-
ayuyós	ayuys	AUUUS	abvd	FOG	-
ayó	ay	AU	abvd	YOU	abvd_186_you_1
aó	a	A	abvd	I	abvd_182_i_1
baginawa	baginawa	BAGINAWA	abvd	SPIDER	-
bago	bago	BAGO	abvd	NEW	abvd_163_new_1
baguama	baguama	BAGUAMA	abvd	MALE PERSON	-
bagáng	bagng	BAGNG	abvd	TOOTH	abvd_31_tooth_53
bakalán	bakaln	BAKALN	abvd	BUY	abvd_91_tobuy_32
balangkawan	balangkawan	BALANGKAWAN	abvd	BIRD	-
balangkád	balangkd	BALANGKD	abvd	MOSQUITO	abvd_109_mosquito_107
balugnán	balugnn	BALUGNN	abvd	VOMIT	-
balát	balt	BALT	abvd	SKIN	abvd_12_skin_21
baláw	balw	BALW	abvd	NO OR NOT	abvd_195_nonot_110
baláy	baly	BALU	abvd	HOUSE	abvd_61_house_14
balä	bal	BAL	abvd	HOUSE	abvd_61_house_14
bangyús	bangys	BANGUS	abvd	MOSQUITO	abvd_109_mosquito_106
banua	banua	BANUA	abvd	SKY	abvd_128_sky_32
banwa	banwa	BANWA	abvd	SKY	abvd_128_sky_32
barikos	barikos	BARIKOS	abvd	CLIMB	-
barikusán	barikusn	BARIKUSN	abvd	FASTEN	abvd_66_totieupfasten_158
barugwák	barugwk	BARUGWK	abvd	FLOWER	-
barás	bars	BARS	abvd	SAND	abvd_121_sand_19
bató	bat	BAT	abvd	STONE	abvd_120_stone_1
baybáy	bayby	BAUBU	abvd	SEA	abvd_124_sea_28
bibíg	bibg	BIBG	abvd	MOUTH	abvd_30_mouth_32
