Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-iki	iki	IKI	abvd	BITE	abvd_41_tobite_1?
-ilik muwa-	ilikmuwa	ILIKMUWA	abvd	BREATHE	-
-ito	ito	ITO	abvd	SEE	abvd_46_tosee_1
-turu	turu	TURU	abvd	SLEEP	abvd_48_tosleep_1
-turu mbolon	turumbolon	TURUMBOLON	abvd	LIE DOWN	-
abisi	abisi	ABISI	abvd	ALL	abvd_191_all_9
af|tai	aftai	APTAI	abvd	ASH	abvd_146_ashes_1
ain	ain	AIN	abvd	FOOT OR LEG	abvd_4_legfoot_1
ak	ak	AK	abvd	I	abvd_182_i_1
akraut	akraut	AKRAUT	abvd	CRY	abvd_34_tocry_28
ama-	ama	AMA	abvd	FATHER	abvd_60_father_1
anako	anako	ANAKO	abvd	CHILD	abvd_56_child_1
anim rano	animrano	ANIMRANO	abvd	CLOUD	abvd_131_cloud_3?
anin	anin	ANIN	abvd	WIND	abvd_136_wind_1
an|sá	ans	ANS	abvd	WHAT	abvd_188_what_1?
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
at	at	AT	abvd	FOUR	abvd_200_four_1
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
au	au	AU	abvd	FIRE	abvd_143_fire_1
bilin	bilin	BILIN	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_18
doŋwro	dowro	DOWRO	abvd	SMALL	-
enen	enen	ENEN	abvd	PATH OR ROAD	-
enun	enun	ENUN	abvd	NECK	-
fano fitar	fanofitar	PANOPITAR	abvd	LEFT	-
fano ratu	fanoratu	PANORATU	abvd	RIGHT	abvd_3_right_1
fara-	fara	PARA	abvd	SHOULDER	abvd_19_shoulder_1
fasivi	fasivi	PASIBI	abvd	OTHER	-
fatu	fatu	PATU	abvd	STONE	abvd_120_stone_1
feruno	feruno	PERUNO	abvd	NEW	abvd_163_new_1
firato	firato	PIRATO	abvd	HEAVY	-
fisfiso	fisfiso	PISPISO	abvd	BAD OR EVIL	-
fofa|no	fofano	POPANO	abvd	BELOW OR UNDER	abvd_176_below_1
foko	foko	POKO	abvd	SMOKE (EXHAUST)	-
folafa	folafa	POLAPA	abvd	RAT	abvd_102_rat_1
fono	fono	PONO	abvd	WING	abvd_100_wing_2?
fotuon	fotuon	POTUON	abvd	STAR	abvd_130_star_1
fuan	fuan	PUAN	abvd	FRUIT	abvd_117_fruit_1
fuk	fuk	PUK	abvd	HAIR	abvd_26_hair_1
