Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-isa	isa	ISA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_89
-kaka	kaka	KAKA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
-karia	karia	KARIA	abvd	BITE	abvd_41_tobite_1
-kilia	kilia	KILIA	abvd	DIG	abvd_90_todig_1
-kina·na	kinana	KINANA	abvd	EAT	abvd_37_toeat_1
-kuania	kuania	KUANIA	abvd	THROW	abvd_94_tothrow_85
-kuβaria	kuaria	KUARIA	abvd	SCRATCH	abvd_77_toscratch_73
-latəri	latəri	LATERI	abvd	SPIT	abvd_36_tospit_104
-laɣatir	laɣatir	LAGATIR	abvd	SPIT	abvd_36_tospit_104
-lele	lele	LELE	abvd	SWIM	abvd_9_toswim_77
-leru	leru	LERU	abvd	FALL	abvd_95_tofall_7
-lilua	lilua	LILUA	abvd	VOMIT	abvd_35_tovomit_8
-liw	liw	LIW	abvd	HUNT	abvd_69_tohunt_74
-loŋea	loea	LOEA	abvd	HEAR	abvd_44_tohear_1
-loᵑgəlea	logəlea	LOGELEA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
-mali	mali	MALI	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mamaŋa	mamaa	MAMAA	abvd	BREATHE	abvd_28_tobreathe_47
-mere	mere	MERE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mi	mi	MI	abvd	COME	abvd_7_tocome_1
-mie	mie	MIE	abvd	FLOW	abvd_123_toflow_59
-mio	mio	MIO	abvd	FLOW	abvd_123_toflow_59
-mira	mira	MIRA	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-miyiliβi	miyilii	MIUILII	abvd	HUNT	-
-miβeβ	mie	MIE	abvd	BREATHE	abvd_28_tobreathe_62
-moli	moli	MOLI	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mon-mælio	monmlio	MONMLIO	abvd	SLEEP	abvd_48_tosleep_19
-mono	mono	MONO	abvd	LIE DOWN	abvd_49_toliedown_15
-mra	mra	MRA	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-munia	munia	MUNIA	abvd	DRINK	abvd_40_todrink_1
-mæl	ml	ML	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mær	mr	MR	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mære	mre	MRE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-məraku	məraku	MERAKU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mʷeno	meno	MENO	abvd	LIE DOWN	abvd_49_toliedown_15
-mʷenu	menu	MENU	abvd	SLEEP	abvd_48_tosleep_19
-mʷono	mono	MONO	abvd	SLEEP	abvd_48_tosleep_19
-nəmi	nəmi	NEMI	abvd	COME	abvd_7_tocome_1
-ñomia	ñomia	OMIA	abvd	SUCK	abvd_42_tosuck_50
-sa	sa	SA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_89
-saria	saria	SARIA	abvd	BITE	abvd_41_tobite_62
-sa·ɣa	saɣa	SAGA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
-saŋi	sai	SAI	abvd	CRY	abvd_34_tocry_1
-saβia	saia	SAIA	abvd	BURN	abvd_144_toburn_84
-sikapia	sikapia	SIKAPIA	abvd	BURN	abvd_144_toburn_84
-siⁿdomi	sidomi	SIDOMI	abvd	THINK	abvd_21_tothink_13
-snana	snana	SNANA	abvd	EAT	abvd_37_toeat_34
-snaŋana	snaana	SNAANA	abvd	EAT	abvd_37_toeat_34
-sokania	sokania	SOKANIA	abvd	THROW	abvd_94_tothrow_85?
