Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abiʔ	abiʔ	ABIH	abvd	CLIMB	abvd_172_toclimb_36
ada	ada	ADA	abvd	IF	abvd_193_if_72
adeŋ	ade	ADE	abvd	NAME	abvd_63_name_17
ahi	ahi	AHI	abvd	ASH	-
ake	ake	AKE	abvd	WATER	abvd_122_water_17
amaʔ	amaʔ	AMAH	abvd	FATHER	abvd_60_father_1
anaʔ	anaʔ	ANAH	abvd	CHILD	abvd_56_child_1
anuʔ	anuʔ	ANUH	abvd	HUNT	abvd_69_tohunt_1
apa	apa	APA	abvd	WHAT	abvd_188_what_1
asiŋ	asi	ASI	abvd	SALT	abvd_125_salt_3
atey	atey	ATEU	abvd	LIVER	abvd_17_liver_1
atuʔ	atuʔ	ATUH	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
aŋkuŋ	aku	AKU	abvd	HUSBAND	-
babaha	babaha	BABAHA	abvd	SWELL	abvd_87_toswell_1
babinei	babinei	BABINEI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bagay	bagay	BAGAU	abvd	BIG	-
bahiʔ	bahiʔ	BAHIH	abvd	ROTTEN	-
baháʔ	bahʔ	BAHH	abvd	HEAVY	abvd_142_heavy_1
baká	bak	BAK	abvd	SPLIT	abvd_80_tosplit_36
baline	baline	BALINE	abvd	OTHER	abvd_190_other_17
balrei	balrei	BALREI	abvd	HOUSE	abvd_61_house_14
bambáŋ	bamb	BAMB	abvd	SHOULDER	abvd_19_shoulder_19
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baw	baw	BAW	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
beleŋ	bele	BELE	abvd	HOLD	abvd_89_tohold_30
bida	bida	BIDA	abvd	WHITE	abvd_148_white_40
bidu nu Lrangi	bidunulrangi	BIDUNULRANGI	abvd	GREEN	abvd_151_green_5
bika	bika	BIKA	abvd	OPEN	abvd_92_toopenuncover_1
binaba	binaba	BINABA	abvd	CLOUD	abvd_131_cloud_31
bo	bo	BO	abvd	AND	abvd_192_and_27
boboko	boboko	BOBOKO	abvd	PATH OR ROAD	-
bua	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
buhú	buh	BUH	abvd	NEW	abvd_163_new_1
bulaŋ	bula	BULA	abvd	MOON	abvd_129_moon_1
bumbulu	bumbulu	BUMBULU	abvd	FEATHER	abvd_99_feather_1
buni	buni	BUNI	abvd	HIDE	abvd_171_tohide_1
buno	buno	BUNO	abvd	KILL	abvd_74_tokill_1
buŋa|ŋ	bua	BUA	abvd	FLOWER	abvd_116_flower_1
dadahuŋ	dadahu	DADAHU	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dadua	dadua	DADUA	abvd	TWO	abvd_198_two_1
daha	daha	DAHA	abvd	BLOOD	abvd_23_blood_1
dahuŋ	dahu	DAHU	abvd	SEW	-
dalaiʔ	dalaiʔ	DALAIH	abvd	BAD OR EVIL	abvd_165_badevil_1
daleŋ	dale	DALE	abvd	PATH OR ROAD	abvd_6_roadpath_1
dalren	dalren	DALREN	abvd	PATH OR ROAD	-
dauŋ	dau	DAU	abvd	LEAF	abvd_114_leaf_1
daw	daw	DAW	abvd	FAR	abvd_180_far_1
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
Dua mpulro	duampulro	DUAMPULRO	abvd	TWENTY	abvd_207_twenty_3
duhi	duhi	DUHI	abvd	BONE	abvd_15_bone_2
dukuʔ	dukuʔ	DUKUH	abvd	GRASS	abvd_118_grass_2
dulúʔ	dulʔ	DULH	abvd	THUNDER	abvd_134_thunder_35
d|al|indíŋ	dalind	DALIND	abvd	COLD	abvd_139_cold_1
dídihiʔ	ddihiʔ	DDIHIH	abvd	YELLOW	abvd_150_yellow_29
díŋihiʔ	dihiʔ	DIHIH	abvd	HEAR	abvd_44_tohear_1
eheʔ	eheʔ	EHEH	abvd	NECK	-
eʔe	eʔe	EHE	abvd	THAT	-
gudaŋ	guda	GUDA	abvd	OLD	abvd_162_old_21
hamuʔ	hamuʔ	HAMUH	abvd	ROOT	abvd_115_root_3
hekeŋ	heke	HEKE	abvd	COUNT	abvd_196_tocount_39
hendeŋ	hende	HENDE	abvd	RED	abvd_149_red_105
hibuʔ	hibuʔ	HIBUH	abvd	FOG	-
hibí	hib	HIB	abvd	NIGHT	-
hiŋaʔ	hiaʔ	HIAH	abvd	COOK (SOMETHING)	-
hodow	hodow	HODOW	abvd	SHARP	abvd_81_sharp_80
hompoŋ	hompo	HOMPO	abvd	SIT	-
iaʔ	iaʔ	IAH	abvd	I	abvd_182_i_1
iduŋ	idu	IDU	abvd	NOSE	abvd_27_nose_1
ie	ie	IE	abvd	THIS	abvd_177_this_40
