Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
agem	agem	AGEM	abvd	HAND	abvd_1_hand_20
akay	akay	AKAU	abvd	AND	abvd_192_and_1
akew	akew	AKEW	abvd	I	abvd_182_i_1
amut	amut	AMUT	abvd	ROOT	abvd_115_root_3
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anew neh	anewneh	ANEWNEH	abvd	WHAT	abvd_188_what_2
asew	asew	ASEW	abvd	DOG	abvd_96_dog_1
avew	avew	ABEW	abvd	DUST	abvd_11_dust_1
avuk	avuk	ABUK	abvd	DUST	abvd_11_dust_1
avus	avus	ABUS	abvd	CLOUD	-
ay	ay	AU	abvd	FOOT OR LEG	abvd_4_legfoot_1
azeh	azeh	ASEH	abvd	BIG	abvd_153_big_1
azeŋ	aze	ASE	abvd	BIG	-
aŋgap	agap	AGAP	abvd	BRANCH	-
aɓaw	aɓaw	ABAW	abvd	LIVER	abvd_17_liver_1
ba	ba	BA	abvd	TWO	abvd_198_two_1
babay	babay	BABAU	abvd	CLIMB	-
bakeh	bakeh	BAKEH	abvd	ROOT	abvd_115_root_2
bana	bana	BANA	abvd	HUSBAND	abvd_57_husband_1
baruy	baruy	BARUU	abvd	WIND	abvd_136_wind_25
baseʔ	baseʔ	BASEH	abvd	WET	abvd_141_wet_1
bat	bat	BAT	abvd	LONG	abvd_155_long_26
batew	batew	BATEW	abvd	STONE	abvd_120_stone_1
batuk	batuk	BATUK	abvd	NECK	abvd_25_neck_35
baʔi	baʔi	BAHI	abvd	PERSON	-
bejulaʔ	bejulaʔ	BEYULAH	abvd	SPIT	abvd_36_tospit_1
bekeleŋ	bekele	BEKELE	abvd	TURN	-
bekeyan	bekeyan	BEKEUAN	abvd	HOW	-
belemay	belemay	BELEMAU	abvd	IN	-
beleɓuʔ	beleɓuʔ	BELEBUH	abvd	BELOW OR UNDER	-
belitit	belitit	BELITIT	abvd	RAT	abvd_102_rat_25?
bepikér	bepikr	BEPIKR	abvd	THINK	abvd_21_tothink_22
bepusiŋ	bepusi	BEPUSI	abvd	TURN	abvd_8_toturn_20
besidek	besidek	BESIDEK	abvd	BREATHE	-
betaba	betaba	BETABA	abvd	LAUGH	abvd_33_tolaugh_1
