Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ae	ae	AE	abvd	NO OR NOT	abvd_195_nonot_10
amar̃i	amar̃i	AMARI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1?
ane	ane	ANE	abvd	STONE	-
ani	ani	ANI	abvd	WHEN	abvd_170_when_1
ara	ara	ARA	abvd	EAT	abvd_37_toeat_39
aranavi	aranavi	ARANABI	abvd	THIN	abvd_156_thin_60
aru	aru	ARU	abvd	ROPE	abvd_65_rope_2
au	au	AU	abvd	BIG	abvd_153_big_101?
au nu	aunu	AUNU	abvd	BIG	abvd_153_big_101?
awø	aw	AW	abvd	WET	abvd_141_wet_112
axë	ax	AK	abvd	DREAM (SOMETHING)	abvd_50_todream_64
e	e	E	abvd	HE OR SHE	abvd_184_heshe_1
e gamë	egam	EGAM	abvd	RIGHT	abvd_3_right_60
er̃e	er̃e	ERE	abvd	SAY	abvd_64_tosay_165
ewai	ewai	EWAI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_1
ẽ xiɛ	ẽxiɛ	KIE	abvd	MALE PERSON	abvd_54_manmale_4
gawi ɛ	gawiɛ	GAWIE	abvd	HAND	abvd_1_hand_28
go:wi	gowi	GOWI	abvd	VOMIT	abvd_35_tovomit_39?
gø	g	G	abvd	YOU	abvd_186_you_1
i	i	I	abvd	THOU	abvd_183_thou_1
ira	ira	IRA	abvd	SMALL	-
ji	ji	YI	abvd	SUCK	abvd_42_tosuck_25
jia	jia	YIA	abvd	GREEN	-
jiø	ji	YI	abvd	BRANCH	abvd_113_branch_15
jiɛ	jiɛ	YIE	abvd	WHAT	abvd_188_what_1
joe	joe	YOE	abvd	OLD	abvd_162_old_29
ju	ju	YU	abvd	ROPE	-
jui	jui	YUI	abvd	SUCK	abvd_42_tosuck_25
jëri	jri	YRI	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
kasø	kas	KAS	abvd	LIGHTNING	abvd_135_lightning_1
keni a rʃake	keniarʃake	KENIARSAKE	abvd	SIX	-
keni me kerere	kenimekerere	KENIMEKERERE	abvd	EIGHT	-
keni me keuru	kenimekeuru	KENIMEKEURU	abvd	SEVEN	-
keni me keve	kenimekeve	KENIMEKEBE	abvd	NINE	-
keni o:	kenio	KENIO	abvd	HUNDRED	-
keni:	keni	KENI	abvd	FIVE	abvd_201_five_1
kerere	kerere	KERERE	abvd	THREE	abvd_199_three_1
keuru	keuru	KEURU	abvd	TWO	abvd_198_two_1
keurujuã ɛ	keurujuãɛ	KEURUYUE	abvd	FOOT OR LEG	abvd_4_legfoot_56
keve	keve	KEBE	abvd	FOUR	abvd_200_four_1
koa:	koa	KOA	abvd	WIND	abvd_136_wind_93
koe ɛ	koeɛ	KOEE	abvd	HUSBAND	abvd_57_husband_2
koeo ɛ	koeoɛ	KOEOE	abvd	NECK	abvd_25_neck_23
kona ɛ	konaɛ	KONAE	abvd	INTESTINES	abvd_16_intestines_82
koɛ ɛ	koɛɛ	KOEE	abvd	ROOT	abvd_115_root_2
mae	mae	MAE	abvd	COLD	abvd_139_cold_51
mat̪e	mat̪e	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mã e	mãe	ME	abvd	LEAF	abvd_114_leaf_30
me	me	ME	abvd	AND	abvd_192_and_2
meoromea ɛ	meoromeaɛ	MEOROMEAE	abvd	TONGUE	abvd_32_tongue_7
mi	mi	MI	abvd	COME	abvd_7_tocome_1
mi:	mi	MI	abvd	RED	abvd_149_red_1
moa	moa	MOA	abvd	HOUSE	abvd_61_house_1
moaneã e	moaneãe	MOANEE	abvd	FOOT OR LEG	abvd_4_legfoot_56
moara	moara	MOARA	abvd	DAY (NOT NIGHT)	abvd_168_day_1
mu	mu	MU	abvd	BAD OR EVIL	abvd_165_badevil_36
møø	m	M	abvd	DRY	abvd_140_dry_1
mɛsã e	mɛsãe	MESE	abvd	BREAST	abvd_18_breast_8
nao	nao	NAO	abvd	MOSQUITO	abvd_109_mosquito_1
navo	navo	NABO	abvd	SPIDER	abvd_110_spider_91
nã	nã	N	abvd	PLANT (SOMETHING)	abvd_84_toplant_44
negoa ɛ	negoaɛ	NEGOAE	abvd	BACK	abvd_13_back_15
nero	nero	NERO	abvd	SKY	abvd_128_sky_35
newe ɛ	neweɛ	NEWEE	abvd	MOUTH	abvd_30_mouth_36
neⁿdi	nedi	NEDI	abvd	SEA	abvd_124_sea_23
no:	no	NO	abvd	FISH	abvd_111_fish_9
nɛne	nɛne	NENE	abvd	FIRE	abvd_143_fire_46
o	o	O	abvd	I	abvd_182_i_1
o peani	opeani	OPEANI	abvd	OLD	abvd_162_old_16
o sawe xiɛ	osawexiɛ	OSAWEKIE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
o xiɛ	oxiɛ	OKIE	abvd	PERSON	abvd_53_personhumanbeing_94
o ⁿdara	odara	ODARA	abvd	LEFT	abvd_2_left_29
o:	o	O	abvd	CLOUD	abvd_131_cloud_12
oamɛ	oamɛ	OAME	abvd	WHITE	abvd_148_white_22
omoa ɛ	omoaɛ	OMOAE	abvd	NOSE	abvd_27_nose_14
ona:	ona	ONA	abvd	LIE DOWN	abvd_49_toliedown_106
ona: rei	onarei	ONAREI	abvd	SLEEP	-
opeⁿdøxaru	opedxaru	OPEDKARU	abvd	YELLOW	abvd_150_yellow_97
oro	oro	ORO	abvd	THUNDER	abvd_134_thunder_2
osawe	osawe	OSAWE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
oɛ	oɛ	OE	abvd	MALE PERSON	abvd_54_manmale_4
pamir̃i	pamir̃i	PAMIRI	abvd	CHOOSE	abvd_85_tochoose_42
pauru	pauru	PAURU	abvd	TEN	abvd_206_ten_12
pei ma	peima	PEIMA	abvd	PAINFUL OR SICK	abvd_160_painfulsick_51
pekẽ	pekẽ	PEK	abvd	WARM	abvd_138_warm_37
pewa ɛ	pewaɛ	PEWAE	abvd	TOOTH	abvd_31_tooth_21
pimɛ ɛ	pimɛɛ	PIMEE	abvd	EYE	abvd_45_eye_31
poe kãĩ	poekãĩ	POEK	abvd	BIRD	abvd_97_bird_52
poe ɛ	poeɛ	POEE	abvd	BELLY	abvd_14_belly_36
poea kuia	poeakuia	POEAKUIA	abvd	STAR	abvd_130_star_88
poẽ ɛ	poẽɛ	POE	abvd	FRUIT	abvd_117_fruit_1
puio: ɛ	puioɛ	PUIOE	abvd	LIVER	abvd_17_liver_63
puro	puro	PURO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_89
puru jëri	purujri	PURUYRI	abvd	DUST	abvd_11_dust_20
pøva xiɛ	pvaxiɛ	PBAKIE	abvd	FATHER	abvd_60_father_37
pʷar̃aᵐboe ɛ	par̃aboeɛ	PARABOEE	abvd	HAIR	abvd_26_hair_31
rʃake	rʃake	RSAKE	abvd	ONE	abvd_197_one_14
rʃake o:	rʃakeo	RSAKEO	abvd	TWENTY	-
rʃãva	rʃãva	RSBA	abvd	THICK	abvd_157_thick_70
rʃexɛ verʃakɛ	rʃexɛverʃakɛ	RSEKEBERSAKE	abvd	HIT	abvd_72_tohit_11
rʃë	rʃ	RS	abvd	WATER	abvd_122_water_1
rʃɛxeu	rʃɛxeu	RSEKEU	abvd	ASH	abvd_146_ashes_20
sa na	sana	SANA	abvd	POUND	abvd_93_topoundbeat_67
sia	sia	SIA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_93
sirʃu:	sirʃu	SIRSU	abvd	THATCH OR ROOF	abvd_62_thatchroof_73
sivar̃a	sivar̃a	SIBARA	abvd	COUNT	abvd_196_tocount_1
socia	socia	SOKIA	abvd	CUT OR HACK	abvd_78_tocuthack_131
sɛrɛ	sɛrɛ	SERE	abvd	OPEN	abvd_92_toopenuncover_78
t̪aiki	t̪aiki	TAIKI	abvd	DOG	abvd_96_dog_92
t̪apɛ	t̪apɛ	TAPE	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_113
t̪o aᵐbexemi	t̪oabexemi	TOABEKEMI	abvd	IN	-
t̪o poer̃e	t̪opoer̃e	TOPOERE	abvd	HEAR	abvd_44_tohear_7
t̪o ve noro	t̪ovenoro	TOBENORO	abvd	FAR	abvd_180_far_35
t̪o ve ovo	t̪oveovo	TOBEOBO	abvd	NEAR	abvd_179_near_109
t̪o we	t̪owe	TOWE	abvd	WHERE	abvd_181_where_3
t̪okami	t̪okami	TOKAMI	abvd	TURN	abvd_8_toturn_73
t̪okoe	t̪okoe	TOKOE	abvd	TURN	abvd_8_toturn_73
t̪onamoa	t̪onamoa	TONAMOA	abvd	SEE	abvd_46_tosee_129
t̪ùa	t̪a	TA	abvd	FALL	abvd_95_tofall_133
u	u	U	abvd	SWIM	abvd_9_toswim_5
urʃaxi xiɛ	urʃaxixiɛ	URSAKIKIE	abvd	CHILD	abvd_56_child_98
uᵐbe	ube	UBE	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_40
var̃a	var̃a	BARA	abvd	WALK	abvd_5_towalk_2
