Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'di	di	DI	abvd	THIS	abvd_177_this_39
'dto	dto	DTO	abvd	THAT	abvd_178_that_16
aba	aba	ABA	abvd	LONG	abvd_155_long_27
abagá	abag	ABAG	abvd	SHOULDER	abvd_19_shoulder_1
adtó	adt	ADT	abvd	THAT	abvd_178_that_16
adí	ad	AD	abvd	THIS	abvd_177_this_39
ag	ag	AG	abvd	AND	-
agóm	agm	AGM	abvd	HUSBAND	abvd_57_husband_28
akó	ak	AK	abvd	I	abvd_182_i_1
aldów	aldw	ALDW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
alokot	alokot	ALOKOT	abvd	SHORT	-
angín	angn	ANGN	abvd	WIND	abvd_136_wind_1
asín	asn	ASN	abvd	SALT	abvd_125_salt_3
asó	as	AS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atáy	aty	ATU	abvd	LIVER	abvd_17_liver_1
babayé	babay	BABAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
babo'	babo	BABO	abvd	RAT	-
balóy	baly	BALU	abvd	HOUSE	abvd_61_house_14
barbón	barbn	BARBN	abvd	FEATHER	-
basód	basd	BASD	abvd	SAND	-
bató	bat	BAT	abvd	STONE	abvd_120_stone_1
bayóng	bayng	BAUNG	abvd	BIRD	abvd_97_bird_46
bitukâ	bituk	BITUK	abvd	INTESTINES	abvd_16_intestines_21
bitúon	biton	BITON	abvd	STAR	abvd_130_star_1
bok	bok	BOK	abvd	HAIR	abvd_26_hair_1
bugkós	bugks	BUGKS	abvd	FASTEN	abvd_66_totieupfasten_111
bukó'	buk	BUK	abvd	NO OR NOT	abvd_195_nonot_26
bulán	buln	BULN	abvd	MOON	abvd_129_moon_1
bungá	bung	BUNG	abvd	FRUIT	abvd_117_fruit_9
burós	burs	BURS	abvd	BELLY	-
buwáy	buwy	BUWU	abvd	BE ALIVE	abvd_76_tolivebealive_14
buwók	buwk	BUWK	abvd	HAIR	abvd_26_hair_1
bágo	bgo	BGO	abvd	NEW	abvd_163_new_1
búrak	brak	BRAK	abvd	FLOWER	abvd_116_flower_22
dag-óm	dagm	DAGM	abvd	CLOUD	-
dagul-dul	daguldul	DAGULDUL	abvd	THUNDER	abvd_134_thunder_2
dakuló'	dakul	DAKUL	abvd	BIG	abvd_153_big_22
darwá	darw	DARW	abvd	TWO	abvd_198_two_1
dirí'	dir	DIR	abvd	NO OR NOT	abvd_195_nonot_121
duág	dug	DUG	abvd	BIG	-
duót	dut	DUT	abvd	GRASS	-
dágat	dgat	DGAT	abvd	SEA	abvd_124_sea_25
dáwon	dwon	DWON	abvd	LEAF	abvd_114_leaf_1
gab-í	gab	GAB	abvd	NIGHT	abvd_167_night_21
guráng	gurng	GURNG	abvd	OLD	abvd_162_old_21
guód	gud	GUD	abvd	ROPE	abvd_65_rope_78
ibá	ib	IB	abvd	OTHER	abvd_190_other_12
ido	ido	IDO	abvd	DOG	abvd_96_dog_21
igín	ign	IGN	abvd	CHILD	abvd_56_child_106
iká	ik	IK	abvd	THOU	abvd_183_thou_1
ikôg	ikg	IKG	abvd	TAIL	abvd_105_tail_1
ini	ini	INI	abvd	THIS	abvd_177_this_1
iraróm	irarm	IRARM	abvd	BELOW OR UNDER	abvd_176_below_20
isurá'	isur	ISUR	abvd	FISH	abvd_111_fish_18
itaás	itas	ITAS	abvd	ABOVE	abvd_175_above_1
itlog	itlog	ITLOG	abvd	EGG	abvd_98_egg_1
itóm	itm	ITM	abvd	BLACK	abvd_147_black_1
iya	iya	IUA	abvd	HE OR SHE	abvd_184_heshe_1
iyán	iyn	IUN	abvd	THAT	abvd_178_that_3
kadlágan	kadlgan	KADLGAN	abvd	FOREST	abvd_127_woodsforest_105
kag-igan na babayé	kagigannababay	KAGIGANNABABAU	abvd	MOTHER	-
kag-igan na lalakí	kagigannalalak	KAGIGANNALALAK	abvd	FATHER	-
kaguwôn	kaguwn	KAGUWN	abvd	SCRATCH	abvd_77_toscratch_1
kagát	kagt	KAGT	abvd	BITE	abvd_41_tobite_1
kalayó	kalay	KALAU	abvd	FIRE	abvd_143_fire_10
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kamo	kamo	KAMO	abvd	YOU	abvd_186_you_1
kamót	kamt	KAMT	abvd	HAND	abvd_1_hand_21
kanúbnubán	kanbnubn	KANBNUBN	abvd	FOREST	-
kapotán	kapotn	KAPOTN	abvd	HOLD	abvd_89_tohold_25
kaptán	kaptn	KAPTN	abvd	HOLD	abvd_89_tohold_25
kin	kin	KIN	abvd	IF	abvd_193_if_1
kisam-kisam	kisamkisam	KISAMKISAM	abvd	CHEW	-
kita	kita	KITA	abvd	WE	abvd_185_we_1
kitkilát	kitkilt	KITKILT	abvd	LIGHTNING	abvd_135_lightning_1
kulít	kult	KULT	abvd	SKIN	abvd_12_skin_1
kulóg	kulg	KULG	abvd	PAINFUL OR SICK	-
kun	kun	KUN	abvd	IF	abvd_193_if_1
káwoy	kwoy	KWOU	abvd	STICK	abvd_79_stickwood_1
kóno	kno	KNO	abvd	WHEN	abvd_170_when_10
lalakí	lalak	LALAK	abvd	MALE PERSON	abvd_54_manmale_2
lawa'	lawa	LAWA	abvd	SPIDER	abvd_110_spider_1
limá	lim	LIM	abvd	FIVE	abvd_201_five_1
lióg	lig	LIG	abvd	NECK	abvd_25_neck_1
lusà	lus	LUS	abvd	LOUSE	abvd_108_louse_16
maabá'	maab	MAAB	abvd	LONG	abvd_155_long_27
