Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abam	abam	ABAM	abvd	ASH	-
abu	abu	ABU	abvd	DUST	abvd_11_dust_31
adah	adah	ADAH	abvd	THAT	-
adi	adi	ADI	abvd	IF	-
ah	ah	AH	abvd	THAT	-
akap	akap	AKAP	abvd	THINK	-
aku	aku	AKU	abvd	I	abvd_182_i_1
ala	ala	ALA	abvd	TURN	-
ambek	ambek	AMBEK	abvd	THROW	abvd_94_tothrow_119?
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
api	api	API	abvd	FIRE	abvd_143_fire_1
aru até	aruat	ARUAT	abvd	FEAR (BE AFRAID)	-
atup	atup	ATUP	abvd	OTHER	-
até	at	AT	abvd	LIVER	abvd_17_liver_1
awang-awang	awangawang	AWANGAWANG	abvd	SKY	-
babah	babah	BABAH	abvd	MOUTH	abvd_30_mouth_1
bapa	bapa	BAPA	abvd	FATHER	abvd_60_father_5
bara	bara	BARA	abvd	SHOULDER	abvd_19_shoulder_1
baru	baru	BARU	abvd	NEW	abvd_163_new_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
begi	begi	BEGI	abvd	HEAR	-
beltek	beltek	BELTEK	abvd	BELLY	-
beluh	beluh	BELUH	abvd	KNOW (SOMETHING)	-
bencah	bencah	BENKAH	abvd	WET	abvd_141_wet_1
berat	berat	BERAT	abvd	HEAVY	-
berngi	berngi	BERNGI	abvd	NIGHT	abvd_167_night_1
biang	biang	BIANG	abvd	DOG	-
bintang	bintang	BINTANG	abvd	STAR	abvd_130_star_1
biring	biring	BIRING	abvd	BLACK	-
bituka	bituka	BITUKA	abvd	INTESTINES	abvd_16_intestines_21
bobo	bobo	BOBO	abvd	ABOVE	-
buah	buah	BUAH	abvd	FRUIT	abvd_117_fruit_1
buk	buk	BUK	abvd	HAIR	abvd_26_hair_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulung	bulung	BULUNG	abvd	LEAF	abvd_114_leaf_18
cepcep	cepcep	KEPKEP	abvd	SUCK	abvd_42_tosuck_1
ci-ligen-i	ciligeni	KILIGENI	abvd	HIDE	-
cikep	cikep	KIKEP	abvd	HOLD	-
cimber	cimber	KIMBER	abvd	SMOKE (EXHAUST)	-
cinder	cinder	KINDER	abvd	STAND	-
cuping	cuping	KUPING	abvd	EAR	abvd_43_ear_15
dabu	dabu	DABU	abvd	FALL	-
dahan	dahan	DAHAN	abvd	BRANCH	abvd_113_branch_1
dalin	dalin	DALIN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dalin-dalin	dalindalin	DALINDALIN	abvd	WALK	-
dareh	dareh	DAREH	abvd	BLOOD	abvd_23_blood_1
dauh	dauh	DAUH	abvd	FAR	abvd_180_far_1
deher	deher	DEHER	abvd	NEAR	-
diberu	diberu	DIBERU	abvd	FEMALE PERSON	-
dilah	dilah	DILAH	abvd	TONGUE	abvd_32_tongue_4
