Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abeo	abeo	ABEO	abvd	LEFT	abvd_2_left_58
abio	abio	ABIO	abvd	LEFT	abvd_2_left_58
aga	aga	AGA	abvd	WHAT	abvd_188_what_1
aje	aje	AYE	abvd	FOOT OR LEG	abvd_4_legfoot_1?
aju	aju	AYU	abvd	STICK	abvd_79_stickwood_1
aləkkəʔ	aləkkəʔ	ALEKKEH	abvd	BACK	abvd_13_back_1?
aləʔ	aləʔ	ALEH	abvd	FOREST	abvd_127_woodsforest_1
amboʔ	amboʔ	AMBOH	abvd	FATHER	abvd_60_father_13
anaʔ	anaʔ	ANAH	abvd	CHILD	abvd_56_child_1
api	api	API	abvd	FIRE	abvd_143_fire_1
arua	arua	ARUA	abvd	EIGHT	-
asera	asera	ASERA	abvd	NINE	abvd_205_nine_14
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
asəŋ	asə	ASE	abvd	NAME	abvd_63_name_1
atau	atau	ATAU	abvd	RIGHT	abvd_3_right_5
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
awu	awu	AWU	abvd	DUST	abvd_11_dust_1
aŋiŋ	ai	AI	abvd	WIND	abvd_136_wind_1
baine	baine	BAINE	abvd	WIFE	abvd_58_wife_5
balawo	balawo	BALAWO	abvd	RAT	abvd_102_rat_1
bale	bale	BALE	abvd	FISH	abvd_111_fish_23
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baua	baua	BAUA	abvd	BELLY	-
bawa	bawa	BAWA	abvd	MOUTH	abvd_30_mouth_1
bilaŋ	bila	BILA	abvd	COUNT	abvd_196_tocount_1
billəʔ	billəʔ	BILLEH	abvd	LIGHTNING	abvd_135_lightning_1?
bola	bola	BOLA	abvd	HOUSE	abvd_61_house_14?
bosi	bosi	BOSI	abvd	RAIN (PRECIPITATION)	abvd_133_rain_15
bua	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
buku	buku	BUKU	abvd	BONE	abvd_15_bone_16
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
