Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aba	aba	ABA	abvd	HAND	abvd_1_hand_2
abuabua	abuabua	ABUABUA	abvd	RED	abvd_149_red_47
amali	amali	AMALI	abvd	SEA	abvd_124_sea_49
ambulo	ambulo	AMBULO	abvd	TURN	abvd_8_toturn_32
aolo	aolo	AOLO	abvd	RIGHT	abvd_3_right_10
araŋo	arao	ARAO	abvd	SWIM	abvd_9_toswim_48
asia	asia	ASIA	abvd	FALL	abvd_95_tofall_18
asufe	asufe	ASUPE	abvd	RAT	abvd_102_rat_3
aŋita	aita	AITA	abvd	WHEN	abvd_170_when_1
faekwa	faekwa	PAEKWA	abvd	SMALL	abvd_152_small_59
fafoluma	fafoluma	PAPOLUMA	abvd	THATCH OR ROOF	abvd_62_thatchroof_38
fai	fai	PAI	abvd	FOUR	abvd_200_four_1
fainia	fainia	PAINIA	abvd	AND	abvd_192_and_38
faka	faka	PAKA	abvd	MOUTH	abvd_30_mouth_43
fali	fali	PALI	abvd	WALK	abvd_5_towalk_10
fara	fara	PARA	abvd	BELOW OR UNDER	abvd_176_below_58
fau	fau	PAU	abvd	STONE	abvd_120_stone_1
faŋa	faa	PAA	abvd	EAT	abvd_37_toeat_1
fiu	fiu	PIU	abvd	SEVEN	abvd_203_seven_1
fua	fua	PUA	abvd	ASH	abvd_146_ashes_11
fufu	fufu	PUPU	abvd	SPIDER	abvd_110_spider_10
fufua-na	fufuana	PUPUANA	abvd	FRUIT	abvd_117_fruit_1
furia	furia	PURIA	abvd	CUT OR HACK	abvd_78_tocuthack_65
fālu	flu	PLU	abvd	NEW	abvd_163_new_1
fō	f	P	abvd	BLUNT	abvd_82_dullblunt_35
i	i	I	abvd	AT	abvd_173_at_1
ifai	ifai	IPAI	abvd	WHERE	abvd_181_where_3
ifu-na	ifuna	IPUNA	abvd	HAIR	abvd_26_hair_13
imole	imole	IMOLE	abvd	PERSON	abvd_53_personhumanbeing_7
indu	indu	INDU	abvd	COUNT	abvd_196_tocount_46
