Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	HE OR SHE	abvd_184_heshe_1
bwa	bwa	BWA	abvd	AND	-
bwa:ⁿdaðila	bwadaila	BWADAILA	abvd	GRASS	-
bwaham	bwaham	BWAHAM	abvd	SNAKE	-
bwan	bwan	BWAN	abvd	HEAD	abvd_24_head_9
bwaukeƟi	bwaukeɵi	BWAUKEOI	abvd	SHOULDER	-
bwaɣamo	bwaɣamo	BWAGAMO	abvd	THATCH OR ROOF	-
bwaⁿdo:t	bwadot	BWADOT	abvd	EARTH (SOIL)	-
bwen	bwen	BWEN	abvd	NIGHT	-
bwiho:n	bwihon	BWIHON	abvd	SNAKE	-
ca	ca	KA	abvd	IN	-
ca:ca	caca	KAKA	abvd	FATHER	-
cabulake	cabulake	KABULAKE	abvd	STAB	-
cabwana	cabwana	KABWANA	abvd	SPLIT	-
cafehmeⁿdo	cafehmedo	KAPEHMEDO	abvd	HUNT	-
caihnan	caihnan	KAIHNAN	abvd	KNOW (SOMETHING)	-
cama	cama	KAMA	abvd	IF	abvd_193_if_3
cami	cami	KAMI	abvd	PLANT (SOMETHING)	abvd_84_toplant_73
camwan	camwan	KAMWAN	abvd	FATHER	-
catihnit	catihnit	KATIHNIT	abvd	HIDE	-
caƟa	caɵa	KAOA	abvd	POUND	-
ce	ce	KE	abvd	IN	-
celama	celama	KELAMA	abvd	IF	abvd_193_if_3
ci	ci	KI	abvd	IN	-
cim	cim	KIM	abvd	GROW	-
cini	cini	KINI	abvd	BURN	-
cipa	cipa	KIPA	abvd	NO OR NOT	-
cu:t	cut	KUT	abvd	STAND	abvd_52_tostand_2
cupunu:m	cupunum	KUPUNUM	abvd	SHY OR ASHAMED	-
e	e	E	abvd	WHERE	-
fae	fae	PAE	abvd	FOUR	abvd_200_four_1
fae:	fae	PAE	abvd	FOUR	abvd_200_four_1
famuɲima	famuɲima	PAMUNIMA	abvd	FEAR (BE AFRAID)	-
feðila	feila	PEILA	abvd	ASH	-
feƟala:m	feɵalam	PEOALAM	abvd	OPEN	-
feƟin	feɵin	PEOIN	abvd	BUY	-
feⁿdat	fedat	PEDAT	abvd	BLOOD	-
fi	fi	PI	abvd	EGG	-
fi:ŋ	fi	PI	abvd	BLACK	abvd_147_black_99
fina	fina	PINA	abvd	COUNT	abvd_196_tocount_26
fiti	fiti	PITI	abvd	FASTEN	-
fwa:t	fwat	PWAT	abvd	WHITE	abvd_148_white_11
fwa:ⁿdan	fwadan	PWADAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
fwati	fwati	PWATI	abvd	SQUEEZE	-
fwaⁿdin	fwadin	PWADIN	abvd	NOSE	-
ha:ke	hake	HAKE	abvd	HOW	-
he:	he	HE	abvd	WHERE	abvd_181_where_3
hma:	hma	HMA	abvd	CHEW	-
hmae	hmae	HMAE	abvd	FIRE	-
hmau	hmau	HMAU	abvd	DRY	-
hme	hme	HME	abvd	COME	-
hmu:do:t	hmudot	HMUDOT	abvd	DUST	-
hmu:n	hmun	HMUN	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
hmwaunu	hmwaunu	HMWAUNU	abvd	ROTTEN	-
hmwean	hmwean	HMWEAN	abvd	SAND	-
hnaᵐbo	hnabo	HNABO	abvd	THICK	-
ho:t	hot	HOT	abvd	FAR	-
hohaem	hohaem	HOHAEM	abvd	YAWN	-
hwiaman	hwiaman	HWIAMAN	abvd	EAT	abvd_37_toeat_1
hɲena	hɲena	HNENA	abvd	BREATHE	-
ka	ka	KA	abvd	AND	abvd_192_and_1
kane:	kane	KANE	abvd	WHERE	-
kaɽi	kaɽi	KARI	abvd	YELLOW	abvd_150_yellow_14
la	la	LA	abvd	AT	abvd_173_at_2
le	le	LE	abvd	THEY	abvd_187_they_1
ma	ma	MA	abvd	AND	abvd_192_and_2
ma:	ma	MA	abvd	CHEW	-
ma:ŋ	ma	MA	abvd	DIRTY	-
macake	macake	MAKAKE	abvd	HEAR	-
mae	mae	MAE	abvd	FIRE	abvd_143_fire_51
mahapi	mahapi	MAHAPI	abvd	IF	-
mau	mau	MAU	abvd	DRY	abvd_140_dry_1
mava:ŋ	mava	MABA	abvd	DIRTY	-
maᶮjit	majit	MAYIT	abvd	SLEEP	-
maⁿdiⁿdiŋ	madidi	MADIDI	abvd	DIRTY	-
me	me	ME	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mecake	mecake	MEKAKE	abvd	HEAR	-
mu:n	mun	MUN	abvd	FLOWER	-
mulit	mulit	MULIT	abvd	BE ALIVE	-
muᶮja	muja	MUYA	abvd	VOMIT	abvd_35_tovomit_1
mwa:n	mwan	MWAN	abvd	LAUGH	-
mwana	mwana	MWANA	abvd	FAT (ORGANIC SUBSTANCE)	-
mwaⁿdan	mwadan	MWADAN	abvd	WIFE	-
nim	nim	NIM	abvd	FIVE	abvd_201_five_1
nim bwa fae:	nimbwafae	NIMBWAPAE	abvd	NINE	-
nim bwa tʰalo	nimbwatalo	NIMBWATALO	abvd	SEVEN	-
nim bwa tʰien	nimbwatien	NIMBWATIEN	abvd	EIGHT	-
nim bwa Ɵa:ŋ	nimbwaɵa	NIMBWAOA	abvd	SIX	-
picu	picu	PIKU	abvd	NARROW	-
pwan	pwan	PWAN	abvd	ABOVE	-
pwẽ	pwẽ	PW	abvd	MOON	-
ta	ta	TA	abvd	SIT	abvd_51_tosit_121
ta:	ta	TA	abvd	DIG	-
tae:n	taen	TAEN	abvd	OPEN	abvd_92_toopenuncover_37
tahmake	tahmake	TAHMAKE	abvd	KNOW (SOMETHING)	-
tali	tali	TALI	abvd	OPEN	-
tana	tana	TANA	abvd	RED	-
te:	te	TE	abvd	BAD OR EVIL	abvd_165_badevil_1
te:ke	teke	TEKE	abvd	THROW	-
teten	teten	TETEN	abvd	SMELL (PERCEIVE)	-
tẽ:n	tẽn	TN	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_90
tihnit	tihnit	TIHNIT	abvd	HIDE	-
tipi	tipi	TIPI	abvd	SUCK	-
tipwa	tipwa	TIPWA	abvd	FALL	-
titi	titi	TITI	abvd	WET	abvd_141_wet_111
tʰa:	ta	TA	abvd	FASTEN	-
tʰaba	taba	TABA	abvd	WATER	-
tʰabᵐbulake	tabbulake	TABBULAKE	abvd	CUT OR HACK	-
tʰakan	takan	TAKAN	abvd	TAIL	-
tʰake	take	TAKE	abvd	HIT	-
tʰalo	talo	TALO	abvd	TWO	-
tʰamo	tamo	TAMO	abvd	FEMALE PERSON	-
tʰaƟati	taɵati	TAOATI	abvd	OPEN	abvd_92_toopenuncover_37
tʰaᵐbiloke	tabiloke	TABILOKE	abvd	KILL	-
tʰaᵐbo	tabo	TABO	abvd	THICK	-
tʰaⁿdua	tadua	TADUA	abvd	STAB	-
tʰe:	te	TE	abvd	HEAVY	-
tʰe:ɣat	teɣat	TEGAT	abvd	CLOUD	-
tʰi:ɣat	tiɣat	TIGAT	abvd	DAY (NOT NIGHT)	-
tʰien	tien	TIEN	abvd	THREE	-
tʰihmae	tihmae	TIHMAE	abvd	BURN	-
tʰimae	timae	TIMAE	abvd	BURN	-
tʰin	tin	TIN	abvd	BREAST	abvd_18_breast_1
tʰit	tit	TIT	abvd	GROW	-
tʰuan	tuan	TUAN	abvd	GOOD	-
tʰuee	tuee	TUEE	abvd	BURN	-
tʰume	tume	TUME	abvd	SPIT	-
va	va	BA	abvd	STONE	-
vaciɲuan	vaciɲuan	BAKINUAN	abvd	TOOTH	abvd_31_tooth_1
vai	vai	BAI	abvd	STONE	abvd_120_stone_1
vaⁿdi	vadi	BADI	abvd	WORK (ACTIVITY)	-
ve	ve	BE	abvd	STONE	-
vi	vi	BI	abvd	SAY	abvd_64_tosay_13
vu:bwan	vubwan	BUBWAN	abvd	HAIR	-
vu:n	vun	BUN	abvd	FEATHER	-
vu:Ɵin	vuɵin	BUOIN	abvd	WING	-
vuɲ	vuɲ	BUN	abvd	GREEN	-
vwaila	vwaila	BWAILA	abvd	COOK (SOMETHING)	-
vwaɲua	vwaɲua	BWANUA	abvd	SHARP	-
vwaƟuken	vwaɵuken	BWAOUKEN	abvd	BUY	-
wahnan	wahnan	WAHNAN	abvd	ROOT	abvd_115_root_2
wai	wai	WAI	abvd	OPEN	-
