Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
babay	babay	BABAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
balay	balay	BALAU	abvd	HOUSE	abvd_61_house_14
bangkiʔ	bangkiʔ	BANGKIH	abvd	BITE	abvd_41_tobite_26
batiʔ	batiʔ	BATIH	abvd	HEAR	abvd_44_tohear_20
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
baʔgu	baʔgu	BAHGU	abvd	NEW	abvd_163_new_1
bilad	bilad	BILAD	abvd	DRY	abvd_140_dry_42
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
biring	biring	BIRING	abvd	TURN	abvd_8_toturn_4
buaʔ	buaʔ	BUAH	abvd	HAIR	abvd_26_hair_1
budbud	budbud	BUDBUD	abvd	SALT	abvd_125_salt_24
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bunga	bunga	BUNGA	abvd	FRUIT	abvd_117_fruit_9
buraburak	buraburak	BURABURAK	abvd	FLOWER	abvd_116_flower_22
buung	buung	BUUNG	abvd	LAKE	abvd_126_lake_17
bɨlag	bɨlag	BILAG	abvd	NO OR NOT	abvd_195_nonot_41
dakulaʔ	dakulaʔ	DAKULAH	abvd	BIG	abvd_153_big_22
danum	danum	DANUM	abvd	WATER	abvd_122_water_1
daun	daun	DAUN	abvd	LEAF	abvd_114_leaf_1
dayum	dayum	DAUUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dibdib	dibdib	DIBDIB	abvd	BREAST	abvd_18_breast_17
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
diʔput	diʔput	DIHPUT	abvd	SHORT	abvd_154_short_36
dua	dua	DUA	abvd	TWO	abvd_198_two_1
duang puluk	duangpuluk	DUANGPULUK	abvd	TWENTY	abvd_207_twenty_3
dudu	dudu	DUDU	abvd	BREAST	abvd_18_breast_15
dukul	dukul	DUKUL	abvd	SNAKE	abvd_106_snake_32
duldug	duldug	DULDUG	abvd	THUNDER	abvd_134_thunder_2
dɨkɨt	dɨkɨt	DIKIT	abvd	BURN	abvd_144_toburn_32
dɨlɨm	dɨlɨm	DILIM	abvd	NIGHT	abvd_167_night_20
dɨrɨs	dɨrɨs	DIRIS	abvd	WIND	abvd_136_wind_36
gaman	gaman	GAMAN	abvd	SWIM	abvd_9_toswim_34
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
gatus	gatus	GATUS	abvd	HUNDRED	abvd_209_onehundred_4
gibang	gibang	GIBANG	abvd	LEFT	abvd_2_left_24
giring	giring	GIRING	abvd	BACK	abvd_13_back_44
guragurang	guragurang	GURAGURANG	abvd	OLD	abvd_162_old_21
gɨtiɨk	gɨtiɨk	GITIIK	abvd	SMALL	abvd_152_small_1
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
katɨl	katɨl	KATIL	abvd	SCRATCH	abvd_77_toscratch_37
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kaʔi	kaʔi	KAHI	abvd	WHERE	abvd_181_where_26
kaʔɨn	kaʔɨn	KAHIN	abvd	EAT	abvd_37_toeat_1
kidpis	kidpis	KIDPIS	abvd	COOK (SOMETHING)	-
kilala	kilala	KILALA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kudlap	kudlap	KUDLAP	abvd	LIGHTNING	abvd_135_lightning_1
kuitan	kuitan	KUITAN	abvd	HOLD	abvd_89_tohold_41
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kɨʔkɨng	kɨʔkɨng	KIHKING	abvd	DOG	abvd_96_dog_30
lalaki	lalaki	LALAKI	abvd	MALE PERSON	abvd_54_manmale_2
lambɨg	lambɨg	LAMBIG	abvd	FALL	abvd_95_tofall_41
langit	langit	LANGIT	abvd	SKY	abvd_128_sky_1
lawaʔ	lawaʔ	LAWAH	abvd	SPIDER	abvd_110_spider_1
lawi	lawi	LAWI	abvd	FEATHER	abvd_99_feather_14
layug	layug	LAUUG	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_43
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
linuk	linuk	LINUK	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_106
liʔgan	liʔgan	LIHGAN	abvd	SEE	abvd_46_tosee_44
liʔɨg	liʔɨg	LIHIG	abvd	NECK	abvd_25_neck_1
lubid	lubid	LUBID	abvd	ROPE	abvd_65_rope_21
lugitɨm	lugitɨm	LUGITIM	abvd	HUNT	-
lugta	lugta	LUGTA	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
lutu	lutu	LUTU	abvd	COOK (SOMETHING)	abvd_39_tocook_20
luʔluy	luʔluy	LUHLUU	abvd	WORM	abvd_107_wormearthworm_33
lɨbɨg	lɨbɨg	LIBIG	abvd	RAIN (PRECIPITATION)	abvd_133_rain_21
lɨbɨk	lɨbɨk	LIBIK	abvd	POUND	abvd_93_topoundbeat_14
maburing	maburing	MABURING	abvd	DIRTY	abvd_10_dirty_13
mabɨʔgat	mabɨʔgat	MABIHGAT	abvd	HEAVY	abvd_142_heavy_1
madamɨl	madamɨl	MADAMIL	abvd	THICK	abvd_157_thick_21
madulaw	madulaw	MADULAW	abvd	GREEN	abvd_151_green_33
