Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
a-inu	ainu	AINU	abvd	WHERE	abvd_181_where_1
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
acap	acap	AKAP	abvd	HOLD	abvd_89_tohold_82?
ainu	ainu	AINU	abvd	WHERE	abvd_181_where_1
akatsakai	akatsakai	AKATSAKAI	abvd	WALK	abvd_5_towalk_3
anəm	anəm	ANEM	abvd	LIVER	-
atsou	atsou	ATSOU	abvd	THIS	abvd_177_this_14?
azai	azai	ASAI	abvd	THIS	abvd_177_this_32
b-in-ay	binay	BINAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
baci	baci	BAKI	abvd	WIND	abvd_136_wind_2
baloŋ	balo	BALO	abvd	LONG	-
bancaw	bancaw	BANKAW	abvd	TOOTH	abvd_31_tooth_34
baneng	baneng	BANENG	abvd	HIDE	-
baneŋneŋ baki	banenebaki	BANENEBAKI	abvd	THUNDER	-
bangcaw	bangcaw	BANGKAW	abvd	TOOTH	abvd_31_tooth_34
banəŋ	banə	BANE	abvd	THICK	-
bate	bate	BATE	abvd	WHITE	-
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baute	baute	BAUTE	abvd	FISH	abvd_111_fish_31
baŋtsaw	batsaw	BATSAW	abvd	TOOTH	abvd_31_tooth_34
bela	bela	BELA	abvd	LEAF	abvd_114_leaf_2
bila	bila	BILA	abvd	LEAF	abvd_114_leaf_2
bilaŋ	bila	BILA	abvd	COUNT	abvd_196_tocount_1
bolo	bolo	BOLO	abvd	EAR	-
botse	botse	BOTSE	abvd	WARM	-
bucan	bucan	BUKAN	abvd	MOON	abvd_129_moon_1
bukəs	bukəs	BUKES	abvd	HAIR	abvd_26_hair_1
butsan	butsan	BUTSAN	abvd	MOON	abvd_129_moon_1
c-um-aka-cakay	cumakacakay	KUMAKAKAKAU	abvd	WALK	abvd_5_towalk_3
ca	ca	KA	abvd	ONE	abvd_197_one_1
cacan	cacan	KAKAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
cai-	cai	KAI	abvd	WHO	abvd_189_who_1
caila	caila	KAILA	abvd	IN	-
cakup	cakup	KAKUP	abvd	THATCH OR ROOF	abvd_62_thatchroof_51
cala	cala	KALA	abvd	BLOOD	abvd_23_blood_1
cawaa	cawaa	KAWAA	abvd	HUSBAND	abvd_57_husband_2
ci	ci	KI	abvd	FLESH OR MEAT	abvd_103_meatflesh_1
cicu	cicu	KIKU	abvd	BREAST	abvd_18_breast_1
cima	cima	KIMA	abvd	HAND	abvd_1_hand_1
cuppe	cuppe	KUPPE	abvd	SPLIT	-
cuu	cuu	KUU	abvd	THREE	abvd_199_three_1
cuwai	cuwai	KUWAI	abvd	WHO	-
cənal	cənal	KENAL	abvd	DAY (NOT NIGHT)	abvd_168_day_5
cəpcəp	cəpcəp	KEPKEP	abvd	SUCK	abvd_42_tosuck_1
habateng	habateng	HABATENG	abvd	PAINFUL OR SICK	abvd_160_painfulsick_82
habateŋ	habate	HABATE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_82
halaw	halaw	HALAW	abvd	SCRATCH	abvd_77_toscratch_1
hamiham	hamiham	HAMIHAM	abvd	STEAL	-
harate	harate	HARATE	abvd	BITE	abvd_41_tobite_1
haratte	haratte	HARATTE	abvd	BITE	abvd_41_tobite_1
helaŋ	hela	HELA	abvd	DRY	-
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
iip	iip	IIP	abvd	SLEEP	abvd_48_tosleep_95
imu	imu	IMU	abvd	YOU	abvd_186_you_1
inu	inu	INU	abvd	WHERE	abvd_181_where_1
isu	isu	ISU	abvd	THOU	abvd_183_thou_1
jaku	jaku	YAKU	abvd	I	abvd_182_i_1
k-um-an	kuman	KUMAN	abvd	EAT	abvd_37_toeat_1
ka	ka	KA	abvd	AND	abvd_192_and_1
ka-wiLi	kawili	KAWILI	abvd	LEFT	abvd_2_left_1
kinan	kinan	KINAN	abvd	WHEN	abvd_170_when_52
kinian	kinian	KINIAN	abvd	HOUSE	abvd_61_house_55
kiniyen	kiniyen	KINIUEN	abvd	HOUSE	abvd_61_house_55
kinjijan	kinjijan	KINYIYAN	abvd	HOUSE	abvd_61_house_55
kuman	kuman	KUMAN	abvd	EAT	abvd_37_toeat_1
kus	kus	KUS	abvd	SCRATCH	abvd_77_toscratch_27
kusa	kusa	KUSA	abvd	SAY	abvd_64_tosay_125
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
labatan	labatan	LABATAN	abvd	TEN	abvd_206_ten_6
labe	labe	LABE	abvd	NIGHT	abvd_167_night_21
labu	labu	LABU	abvd	IN	abvd_174_ininside_41
laetse	laetse	LAETSE	abvd	ROPE	abvd_65_rope_70
lahai	lahai	LAHAI	abvd	IF	abvd_193_if_88
laheta	laheta	LAHETA	abvd	OTHER	abvd_190_other_46
laho	laho	LAHO	abvd	HOLD	-
laila	laila	LAILA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_32
lakau	lakau	LAKAU	abvd	SLEEP	-
lakoŋkoŋ	lakoko	LAKOKO	abvd	DIRTY	abvd_10_dirty_112
lakungkung	lakungkung	LAKUNGKUNG	abvd	DIRTY	abvd_10_dirty_112
lalau	lalau	LALAU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_32
lamit	lamit	LAMIT	abvd	ROOT	abvd_115_root_3?
lan	lan	LAN	abvd	SKY	abvd_128_sky_67
lanum	lanum	LANUM	abvd	WATER	abvd_122_water_1
lapiŋ	lapi	LAPI	abvd	NEAR	-
laqitia	laqitia	LAKITIA	abvd	OTHER	abvd_190_other_46
lariŋ	lari	LARI	abvd	EARTH (SOIL)	-
latana	latana	LATANA	abvd	SHORT	-
lau	lau	LAU	abvd	BIG	abvd_153_big_72
lebosse	lebosse	LEBOSSE	abvd	ROOT	abvd_115_root_11
li	li	LI	abvd	AT	abvd_173_at_20
