Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
are	are	ARE	abvd	NAME	-
ata	ata	ATA	abvd	MOTHER	-
aßeɣ	aeɣ	AEG	abvd	FEMALE PERSON	-
aɣe	aɣe	AGE	abvd	BELLY	-
byaŋ	bya	BUA	abvd	HOUSE	-
ivoŋ qun	ivoqun	IBOKUN	abvd	WORK (ACTIVITY)	-
iɲoq	iɲoq	INOK	abvd	DIRTY	-
la	la	LA	abvd	WALK	abvd_5_towalk_1
lam	lam	LAM	abvd	COME	-
maluɣ	maluɣ	MALUG	abvd	MALE PERSON	-
mbaŋgo	mbago	MBAGO	abvd	BUY	-
myeɣanon	myeɣanon	MUEGANON	abvd	PERSON	-
məndo	məndo	MENDO	abvd	SIT	-
nalu	nalu	NALU	abvd	CHILD	abvd_56_child_5
naßi	nai	NAI	abvd	SKIN	-
ndiq	ndiq	NDIK	abvd	BE DEAD OR DIE	-
ndomb	ndomb	NDOMB	abvd	EARTH (SOIL)	-
ner	ner	NER	abvd	SAY	-
nzinzi	nzinzi	NSINSI	abvd	FAT (ORGANIC SUBSTANCE)	-
oro	oro	ORO	abvd	HAND	-
qaun	qaun	KAUN	abvd	SALT	-
qə́le	qə́le	KELE	abvd	STICK	-
rek iɲi	rekiɲi	REKINI	abvd	KNOW (SOMETHING)	-
ruq	ruq	RUK	abvd	WATER	-
rye	rye	RUE	abvd	HUSBAND	-
ta	ta	TA	abvd	LOUSE	-
ukwa	ukwa	UKWA	abvd	NECK	-
ukwa vo	ukwavo	UKWABO	abvd	THINK	-
ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
vaus	vaus	BAUS	abvd	BREAST	-
yonə́ŋ	yonə́	UONE	abvd	FEAR (BE AFRAID)	-
ßaŋgo	ago	AGO	abvd	BUY	-
ßaɣa	aɣa	AGA	abvd	FOOT OR LEG	-
ßəlus	əlus	ELUS	abvd	FEATHER	-
ɣel	ɣel	GEL	abvd	FISH	-
ɣonə́ŋ	ɣonə́	GONE	abvd	FEAR (BE AFRAID)	-
ɣus	ɣus	GUS	abvd	TAIL	-
