Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-are	are	ARE	abvd	IF	abvd_193_if_7
-at	at	AT	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
-atiyat	atiyat	ATIUAT	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
-bwúghúw	bwghw	BWGHW	abvd	HUNDRED	abvd_209_onehundred_20
-fetál	fetl	PETL	abvd	WALK	abvd_5_towalk_8
-gemi	gemi	GEMI	abvd	YOU	abvd_186_you_1
-ghisch	ghisch	GHISKH	abvd	WE	abvd_185_we_1
-ghámi	ghmi	GHMI	abvd	YOU	abvd_186_you_1
-he	he	HE	abvd	NO OR NOT	abvd_195_nonot_4
-lee-t	leet	LEET	abvd	WHEN	abvd_170_when_1
-lee-ta	leeta	LEETA	abvd	WHEN	abvd_170_when_1
-ma-lawa	malawa	MALAWA	abvd	BE ALIVE	abvd_76_tolivebealive_7
-ma-nawa	manawa	MANAWA	abvd	BE ALIVE	abvd_76_tolivebealive_7
-mwmwó-óʀ	mwmwʀ	MWMWR	abvd	ASH	abvd_146_ashes_9
-móó-	m	M	abvd	YAWN	abvd_47_toyawn_19
-mʷmʷey	mmey	MMEU	abvd	SLEEP	-
-mʷmʷó-ósh	mmsh	MMSH	abvd	ASH	abvd_146_ashes_9
-mʷoot	moot	MOOT	abvd	COOK (SOMETHING)	abvd_39_tocook_19
-mʷoŋo-o-	mooo	MOOO	abvd	EAT	abvd_37_toeat_8
-mʷoŋoo-	mooo	MOOO	abvd	EAT	abvd_37_toeat_8
-mʷu	mu	MU	abvd	THAT	abvd_178_that_11
-mʷuu-l	muul	MUUL	abvd	THAT	abvd_178_that_11
-mʷuu-n	muun	MUUN	abvd	THAT	abvd_178_that_11
-nee-ta	neeta	NEETA	abvd	WHEN	abvd_170_when_1
-schigh	schigh	SKHIGH	abvd	SMALL	abvd_152_small_81
-se	se	SE	abvd	NO OR NOT	abvd_195_nonot_4
-shigh	shigh	SHIGH	abvd	SMALL	abvd_152_small_81
-t	t	T	abvd	WHAT	abvd_188_what_1
-ta	ta	TA	abvd	WHAT	abvd_188_what_1
-yeel	yeel	UEEL	abvd	THIS	abvd_177_this_1
-yeen	yeen	UEEN	abvd	THIS	abvd_177_this_1
-yo	yo	UO	abvd	WHO	abvd_189_who_9
-áf	f	P	abvd	FIRE	abvd_143_fire_1
-áre	re	RE	abvd	IF	abvd_193_if_7
-ŋa-ras	aras	ARAS	abvd	THOUSAND	abvd_210_onethousand_17
-ŋé-réw	rw	RW	abvd	THOUSAND	abvd_210_onethousand_17
-ʋr	ʋr	WR	abvd	THEY	abvd_187_they_22
a-	a	A	abvd	ONE	abvd_197_one_1
a-memee-y	amemeey	AMEMEEU	abvd	CHEW	abvd_38_tochew_1
a-mwaschú-w	amwaschw	AMWASKHW	abvd	HOLD	abvd_89_tohold_16
a-mwoura	amwoura	AMWOURA	abvd	SUCK	-
a-méé-w	amw	AMW	abvd	BUY	abvd_91_tobuy_11
a-rap	arap	ARAP	abvd	NEAR	abvd_179_near_13
a-schee-y	ascheey	ASKHEEU	abvd	THROW	abvd_94_tothrow_14
a-tara	atara	ATARA	abvd	THROW	abvd_94_tothrow_103
aal	aal	AAL	abvd	PATH OR ROAD	abvd_6_roadpath_1
aaw	aaw	AAW	abvd	MOUTH	abvd_30_mouth_36
aifar	aifar	AIPAR	abvd	SHOULDER	abvd_19_shoulder_1
aifara-	aifara	AIPARA	abvd	SHOULDER	abvd_19_shoulder_1
aifár	aifr	AIPR	abvd	SHOULDER	abvd_19_shoulder_1
