Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
a	ə	E	wikipron	-	-
ab	ab	AB	wikipron	-	-
ab	ap	AP	wikipron	-	-
ab	aβ	AB	wikipron	-	-
adiós	adios	ADIOS	wikipron	-	-
ahí	ai	AI	wikipron	-	-
aj	aj	AY	northeuralex	YESTERDAY	-
ajɣwə	ajɣwə	AYGWE	northeuralex	WATER	-
ajɾə	ajɾə	AYRE	northeuralex	AIR	-
al	al	AL	wikipron	-	-
al	əl	EL	wikipron	-	-
alegr	alekr	ALEKR	wikipron	-	-
alegrs	alets	ALETS	wikipron	-	-
alguerès	alɡaɾes	ALGARES	wikipron	-	-
amb	am	AM	wikipron	-	-
amb	amb	AMB	wikipron	-	-
amb	an	AN	wikipron	-	-
amb	en	EN	wikipron	-	-
amb	əm	EM	wikipron	-	-
amb	əmb	EMB	wikipron	-	-
ampɫə	amplˠə	AMPLE	northeuralex	WIDE	-
anigueré	aniɡaɾe	ANIGARE	wikipron	-	-
anis	anis	ANIS	wikipron	-	-
anək	anək	ANEK	northeuralex	DUCK	-
an̪	an̪	AN	northeuralex	ELK	-
apət̪	apət̪	APET	northeuralex	MEAL	-
arrés	ares	ARES	wikipron	-	-
aw	aw	AW	northeuralex	BIRD	-
aɣiɫə	aɣilˠə	AGILE	northeuralex	EAGLE	-
aɣɾə	aɣɾə	AGRE	northeuralex	SOUR	-
aɫit̪	alˠit̪	ALIT	northeuralex	BREATH	-
aɫt̪ɾə	alˠt̪ɾə	ALTRE	northeuralex	OTHER	-
aɫə	alˠə	ALE	northeuralex	WING	-
aɲ	aɲ	AN	northeuralex	YEAR	-
aɾk	aɾk	ARK	northeuralex	BOW	-
aɾə	aɾə	ARE	northeuralex	NOW	-
aɾβɾə	aɾβɾə	ARBRE	northeuralex	TREE	-
aβi	aβi	ABI	northeuralex	GRANDFATHER	-
aβiə	aβiə	ABIE	northeuralex	GRANDMOTHER	-
aβiɫ	aβilˠ	ABIL	northeuralex	DEXTEROUS	-
babaiana	bəβəanə	BEBEANE	wikipron	-	-
babaiana	bəβəjanə	BEBEYANE	wikipron	-	-
bajə	bajə	BAYE	northeuralex	BERRY	-
banðə	banðə	BANDE	northeuralex	SIDE	-
barca	balka	BALKA	wikipron	-	-
baɣə	baɣə	BAGE	northeuralex	NOOSE	-
baɲə	baɲə	BANE	northeuralex	HORN (ANATOMY)	-
baɾkə	baɾkə	BARKE	northeuralex	BOAT	-
baɾβə	baɾβə	BARBE	northeuralex	BEARD	-
biɣɔt̪i	biɣɔt̪i	BIGOTI	northeuralex	MOUSTACHE	-
Bosch	bɔsk	BOSK	wikipron	-	-
budell	buɾeʎ	BURE	wikipron	-	-
bufa	bufa	BUPA	northeuralex	BLOW (OF WIND)	-
bujt̪	bujt̪	BUYT	northeuralex	EMPTY	-
bunik	bunik	BUNIK	northeuralex	BEAUTIFUL	-
buska	buska	BUSKA	northeuralex	LOOK FOR	-
busəʒa	busəʒa	BUSESA	northeuralex	DIVE	-
but̪iɣə	but̪iɣə	BUTIGE	northeuralex	SHOP	-
but̪o	but̪o	BUTO	northeuralex	BUTTON	-
buɫɛt̪	bulˠɛt̪	BULET	northeuralex	MUSHROOM	-
