Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
abakus	abakus	ABAKUS	wikipron	-	-
abalda	abalda	ABALDA	wikipron	-	-
abatyše	abatɪʃɛ	ABATISE	wikipron	-	-
abatyšemi	abatɪʃɛmɪ	ABATISEMI	wikipron	-	-
abatyši	abatɪʃɪ	ABATISI	wikipron	-	-
abatyší	abatɪʃiː	ABATISI	wikipron	-	-
abatyších	abatɪʃiːx	ABATISIK	wikipron	-	-
abatyším	abatɪʃiːm	ABATISIM	wikipron	-	-
abchazský	apxaskiː	APKASKI	wikipron	-	-
Abcházie	apxaːzɪjɛ	APKASIYE	wikipron	-	-
abcházský	apxaːskiː	APKASKI	wikipron	-	-
abcházština	apxaːsʃcɪna	APKASSKINA	wikipron	-	-
abdikace	abdɪkat͡sɛ	ABDIKASE	wikipron	-	-
abdikovat	abdɪkovat	ABDIKOBAT	wikipron	-	-
Abdiáš	abɟɪjaːʃ	ABGIYAS	wikipron	-	-
abdominální	abdomɪnaːlɲiː	ABDOMINALNI	wikipron	-	-
Abdon	abdon	ABDON	wikipron	-	-
abeceda	abɛt͡sɛda	ABESEDA	wikipron	-	-
abecední	abɛt͡sɛdɲiː	ABESEDNI	wikipron	-	-
abelovský	abɛlofskiː	ABELOPSKI	wikipron	-	-
Abidžan	abɪdʒan	ABIDSAN	wikipron	-	-
abiotický	abɪjotɪt͡skiː	ABIYOTISKI	wikipron	-	-
abiturient	abɪturɪjɛnt	ABITURIYENT	wikipron	-	-
ablace	ablat͡sɛ	ABLASE	wikipron	-	-
ablativ	ablatiːf	ABLATIP	wikipron	-	-
ablativ	ablatɪf	ABLATIP	wikipron	-	-
abnormální	abnormaːlɲiː	ABNORMALNI	wikipron	-	-
abolicionismus	abolɪt͡sɪjonɪzmus	ABOLISIYONISMUS	wikipron	-	-
aborce	abort͡sɛ	ABORSE	wikipron	-	-
abort	abort	ABORT	wikipron	-	-
abortus	abortus	ABORTUS	wikipron	-	-
Abraham	abraɦam	ABRAHAM	wikipron	-	-
Abrahamův	abraɦamuːf	ABRAHAMUP	wikipron	-	-
Abrahám	abraɦaːm	ABRAHAM	wikipron	-	-
abrakadabra	abrakadabra	ABRAKADABRA	wikipron	-	-
abreakce	abrɛakt͡sɛ	ABREAKSE	wikipron	-	-
absces	apst͡sɛs	APSSES	wikipron	-	-
absence	apsɛnt͡sɛ	APSENSE	wikipron	-	-
absint	apsɪnt	APSINT	wikipron	-	-
absinth	apsɪnt	APSINT	wikipron	-	-
absolutismus	apsolutɪzmus	APSOLUTISMUS	wikipron	-	-
absolutní	apsolutɲiː	APSOLUTNI	wikipron	-	-
absolvent	apsolvɛnt	APSOLBENT	wikipron	-	-
absolventský	apsolvɛntskiː	APSOLBENTSKI	wikipron	-	-
absolvovat	apsolvovat	APSOLBOBAT	wikipron	-	-
absorbovat	apsorbovat	APSORBOBAT	wikipron	-	-
absorbovatelný	apsorbovatɛlniː	APSORBOBATELNI	wikipron	-	-
absorpce	apsorpt͡sɛ	APSORPSE	wikipron	-	-
abstinent	apstɪnɛnt	APSTINENT	wikipron	-	-
abstrahovat	apstraɦovat	APSTRAHOBAT	wikipron	-	-
abstrakce	apstrakt͡sɛ	APSTRAKSE	wikipron	-	-
abstrakt	apstrakt	APSTRAKT	wikipron	-	-
abstraktní	apstraktɲiː	APSTRAKTNI	wikipron	-	-
abstraktum	apstraktum	APSTRAKTUM	wikipron	-	-
Absurdistán	apsurdɪstaːn	APSURDISTAN	wikipron	-	-
absurdita	apsurdɪta	APSURDITA	wikipron	-	-
absurdnost	apsurdnost	APSURDNOST	wikipron	-	-
absurdní	apsurdɲiː	APSURDNI	wikipron	-	-
absurdně	apsurdɲɛ	APSURDNE	wikipron	-	-
absťák	apscaːk	APSKAK	wikipron	-	-
Abuja	abudʒa	ABUDSA	wikipron	-	-
abulii	abulɪjɪ	ABULIYI	wikipron	-	-
abulií	abulɪjiː	ABULIYI	wikipron	-	-
aby	abɪ	ABI	wikipron	-	-
abych	abɪx	ABIK	wikipron	-	-
abys	abɪs	ABIS	wikipron	-	-
acetaldehyd	at͡sɛtaldɛɦɪt	ASETALDEHIT	wikipron	-	-
acetaminofen	at͡sɛtamɪnofɛn	ASETAMINOPEN	wikipron	-	-
acetazolamid	at͡sɛtazolamɪt	ASETASOLAMIT	wikipron	-	-
acetylcholin	at͡sɛtɪlxoliːn	ASETILKOLIN	wikipron	-	-
acetylcholin	at͡sɛtɪlxolɪn	ASETILKOLIN	wikipron	-	-
acetylén	at͡sɛtɪlɛːn	ASETILEN	wikipron	-	-
acetát	at͡sɛtaːt	ASETAT	wikipron	-	-
Achilles	axɪlɛs	AKILES	wikipron	-	-
Achilleus	axɪlɛu̯s	AKILEUS	wikipron	-	-
Achillův	axɪluːf	AKILUP	wikipron	-	-
achirální	axɪraːlɲiː	AKIRALNI	wikipron	-	-
acht	axt	AKT	wikipron	-	-
achtovanec	axtovanɛt͡s	AKTOBANES	wikipron	-	-
achát	axaːt	AKAT	wikipron	-	-
acidita	at͡sɪdɪta	ASIDITA	wikipron	-	-
acidóza	at͡sɪdoːza	ASIDOSA	wikipron	-	-
acinární	at͡sɪnaːrɲiː	ASINARNI	wikipron	-	-
acyklický	at͡sɪklɪt͡skiː	ASIKLISKI	wikipron	-	-
Ada	ada	ADA	wikipron	-	-
Adam	adam	ADAM	wikipron	-	-
Adamec	adamɛt͡s	ADAMES	wikipron	-	-
Adamův	adamuːf	ADAMUP	wikipron	-	-
adaptace	adaptat͡sɛ	ADAPTASE	wikipron	-	-
adaptovat	adaptovat	ADAPTOBAT	wikipron	-	-
adaptovatelný	adaptovatɛlniː	ADAPTOBATELNI	wikipron	-	-
adaptér	adaptɛːr	ADAPTER	wikipron	-	-
adekvátní	adɛkvaːtɲiː	ADEKBATNI	wikipron	-	-
adenin	adɛniːn	ADENIN	wikipron	-	-
adenin	adɛnɪn	ADENIN	wikipron	-	-
adenohypofýza	adɛnoɦɪpofiːza	ADENOHIPOPISA	wikipron	-	-
