Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
aba	aβa	ABA	wikipron	-	-
abago	aβaɣo	ABAGO	wikipron	-	-
abquy	abkɨ	ABKI	wikipron	-	-
abquy	aβkɨ	ABKI	wikipron	-	-
agua	aɣua	AGUA	wikipron	-	-
aica	aika	AIKA	wikipron	-	-
aisado	aisado	AISADO	wikipron	-	-
alcalde	alkalde	ALKALDE	wikipron	-	-
amne	amne	AMNE	wikipron	-	-
amsa	amsa	AMSA	wikipron	-	-
amtaquyn	amtakɨn	AMTAKIN	wikipron	-	-
amuy	amʷɨ	AMI	wikipron	-	-
amy	amɨ	AMI	wikipron	-	-
angel	anɣel	ANGEL	wikipron	-	-
anima	anima	ANIMA	wikipron	-	-
anu	anu	ANU	wikipron	-	-
anua	anua	ANUA	wikipron	-	-
anupqua	anupkua	ANUPKUA	wikipron	-	-
apqua	apkua	APKUA	wikipron	-	-
arcaguete	aɾkaɣuete	ARKAGUETE	wikipron	-	-
arco	aɾko	ARKO	wikipron	-	-
arçobispo	arsobispo	ARSOBISPO	wikipron	-	-
arçobispo	aɾsoβispo	ARSOBISPO	wikipron	-	-
arçobispo	aɾçoβispo	AROBISPO	wikipron	-	-
aso	aso	ASO	wikipron	-	-
aspquago	aspkuaɣo	ASPKUAGO	wikipron	-	-
ata	ata	ATA	wikipron	-	-
atoca	atoka	ATOKA	wikipron	-	-
atoca	atoːka	ATOKA	wikipron	-	-
bahaia	βahaia	BAHAIA	wikipron	-	-
bahaoa	βahaoa	BAHAOA	wikipron	-	-
baia	βaia	BAIA	wikipron	-	-
ban	βan	BAN	wikipron	-	-
banɣ	βanɨ	BANI	wikipron	-	-
baqueno	βakeno	BAKENO	wikipron	-	-
basua	βasua	BASUA	wikipron	-	-
bco	βko	BKO	wikipron	-	-
begyra	βeɣɨɾa	BEGIRA	wikipron	-	-
bela	βela	BELA	wikipron	-	-
bentana	βentana	BENTANA	wikipron	-	-
bestido	βestido	BESTIDO	wikipron	-	-
bfue	ββue	BBUE	wikipron	-	-
bgu	βhu	BHU	wikipron	-	-
bgu	βɣu	BGU	wikipron	-	-
bgye	bɣɨe	BGIE	wikipron	-	-
bgye	βɣɨe	BGIE	wikipron	-	-
bgyesaia	bɣɨesaia	BGIESAIA	wikipron	-	-
bgyesaia	βɣɨesaia	BGIESAIA	wikipron	-	-
bhosioiomy	βhosioiomɨ	BHOSIOIOMI	wikipron	-	-
bhosioiomy	βhosioiomʷɨ	BHOSIOIOMI	wikipron	-	-
bhu	βhu	BHU	wikipron	-	-
bihote	βihote	BIHOTE	wikipron	-	-
bihote	βiohote	BIOHOTE	wikipron	-	-
bimy	bimɨ	BIMI	wikipron	-	-
biohote	βiohote	BIOHOTE	wikipron	-	-
biohoty	βiohotɨ	BIOHOTI	wikipron	-	-
bioty	βiotɨ	BIOTI	wikipron	-	-
bique	βike	BIKE	wikipron	-	-
biza	βitʂa	BITSA	wikipron	-	-
bizequyne	βitʂekɨne	BITSEKINE	wikipron	-	-
bizpqua	bitʂpkua	BITSPKUA	wikipron	-	-
bizpqua	βitʂpkua	BITSPKUA	wikipron	-	-
bohopkua	βohopkua	BOHOPKUA	wikipron	-	-
boi	βoi	BOI	wikipron	-	-
boia	βoia	BOIA	wikipron	-	-
bompqua	βompkua	BOMPKUA	wikipron	-	-
bora	βoɾa	BORA	wikipron	-	-
bospquaoa	βospkuaoa	BOSPKUAOA	wikipron	-	-
bosquaca	βoskuaka	BOSKUAKA	wikipron	-	-
bosquaoa	βoskuaoa	BOSKUAOA	wikipron	-	-
boy	βoi	BOI	wikipron	-	-
boy	βoɨ	BOI	wikipron	-	-
