Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-:r	r	R	abvd	THEY	abvd_187_they_1
-ariker	ariker	ARIKER	abvd	SCRATCH	abvd_77_toscratch_12
-chik	chik	KHIK	abvd	SMALL	abvd_152_small_81
-chis	chis	KHIS	abvd	SMALL	abvd_152_small_81
-feefin	feefin	PEEPIN	abvd	LEFT	-
-ffas	ffas	PPAS	abvd	LAUGH	abvd_33_tolaugh_10
-finifin	finifin	PINIPIN	abvd	CHOOSE	abvd_85_tochoose_1
-kich	kich	KIKH	abvd	WE	abvd_185_we_1
-kke-mʷuu-n	kkemuun	KKEMUUN	abvd	THAT	abvd_178_that_11
-kkich	kkich	KKIKH	abvd	RAT	abvd_102_rat_16
-kéttú	ktt	KTT	abvd	SCRATCH	abvd_77_toscratch_11
-mmééŋ	mm	MM	abvd	LEFT	abvd_2_left_13
-mwáán	mwn	MWN	abvd	RIGHT	abvd_3_right_5
-mééŋ	m	M	abvd	LEFT	abvd_2_left_13
-mʷuu-n	muun	MUUN	abvd	THAT	abvd_178_that_11
-mʷéchú	mch	MKH	abvd	HOLD	abvd_89_tohold_16
-nee-t	neet	NEET	abvd	WHEN	abvd_170_when_1
-nómʷ	nm	NM	abvd	MOSQUITO	abvd_109_mosquito_1
-nómʷu-	nmu	NMU	abvd	MOSQUITO	abvd_109_mosquito_1
-pwúkú	pwk	PWK	abvd	HUNDRED	abvd_209_onehundred_20
-pwúkúú-	pwk	PWK	abvd	HUNDRED	abvd_209_onehundred_20
-pʷute-	pute	PUTE	abvd	FEMALE PERSON	abvd_55_womanfemale_7
-roŋa	roa	ROA	abvd	HEAR	abvd_44_tohear_1
-rúú	r	R	abvd	TWO	abvd_198_two_1
-rúúw	rw	RW	abvd	TWO	abvd_198_two_1
-se	se	SE	abvd	NO OR NOT	abvd_195_nonot_4
-set	set	SET	abvd	SEA	abvd_124_sea_1
-sich	sich	SIKH	abvd	SMALL	abvd_152_small_81
-yé	y	U	abvd	WHO	abvd_189_who_9
-yéé-	y	U	abvd	WHO	abvd_189_who_9
-ŋi	i	I	abvd	TOOTH	abvd_31_tooth_30
-ŋin	in	IN	abvd	SMALL	abvd_152_small_39
