Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
Ᏽ	mə̃	ME	wikipron	-	-
Ꭰ	a	A	wikipron	-	-
ᎠᎦᏍᎬ	aɡasɡə̃	AGASGE	wikipron	-	-
ᎠᎵᏥᎵᏯ	alizilia	ALISILIA	wikipron	-	-
ᎠᏂᎪᎳ	aniɡola	ANIGOLA	wikipron	-	-
ᎠᏂᏙᎳ	anidola	ANIDOLA	wikipron	-	-
ᎠᏂᏛᏥ	anidə̃tsi	ANIDETSI	wikipron	-	-
ᎠᏏᎵᏆᏌᏂ	asilikʷasani	ASILIKASANI	wikipron	-	-
ᎠᏨᏯ	atsə̃ja	ATSEYA	wikipron	-	-
Ꭱ	e	E	wikipron	-	-
ᎡᎳᏗᏝ	eladit͡ɬa	ELADITA	wikipron	-	-
ᎡᏍᏙᏂᏯ	esdonia	ESDONIA	wikipron	-	-
Ꭲ	i	I	wikipron	-	-
Ꭳ	o	O	wikipron	-	-
ᎣᎧᎳᎰᎹ	òkàlàhǒːmã́	KLHM	wikipron	-	-
ᎣᏏᏲ	oː˨si˧jo˧˨	OSIYO	wikipron	-	-
ᎣᏏᏳ	oʃiːju	OSIYU	wikipron	-	-
Ꭴ	u	U	wikipron	-	-
ᎤᏄᎳ	unula	UNULA	wikipron	-	-
Ꭵ	ə̃	E	wikipron	-	-
Ꭶ	ɡa	GA	wikipron	-	-
ᎦᎸᏥᏱ	ɡɐlə̃t͡siji	GALESIYI	wikipron	-	-
Ꭷ	k⁽ʰ⁾a	KA	wikipron	-	-
ᎧᏬᏄ	kʰaɰonu	KAWONU	wikipron	-	-
Ꭸ	ɡe	GE	wikipron	-	-
Ꭹ	ɡi	GI	wikipron	-	-
ᎩᎵᏏᏲ	ɡilisiyo	GILISIUO	wikipron	-	-
Ꭺ	ɡo	GO	wikipron	-	-
ᎪᎢᎯ	ɡoihi	GOIHI	wikipron	-	-
Ꭻ	ɡu	GU	wikipron	-	-
Ꭼ	ɡə̃	GE	wikipron	-	-
ᎬᎾ	kə̃na	KENA	wikipron	-	-
ᎬᏂ	kə̃ni	KENI	wikipron	-	-
Ꭽ	ha	HA	wikipron	-	-
Ꭾ	he	HE	wikipron	-	-
Ꭿ	hi	HI	wikipron	-	-
Ꮀ	ho	HO	wikipron	-	-
Ꮁ	hu	HU	wikipron	-	-
Ꮂ	hə̃	HE	wikipron	-	-
Ꮃ	la	LA	wikipron	-	-
Ꮄ	le	LE	wikipron	-	-
Ꮅ	li	LI	wikipron	-	-
Ꮆ	lo	LO	wikipron	-	-
