Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
=bügat	bgat	BGAT	abvd	HEAVY	abvd_142_heavy_1
=kítaʔ	ktaʔ	KTAH	abvd	SEE	abvd_46_tosee_1
=patáy	paty	PATU	abvd	KILL	abvd_74_tokill_2
=rápit	rpit	RPIT	abvd	NEAR	abvd_179_near_36
=ʔistán	ʔistn	HISTN	abvd	SHORT	-
=ʔíwan	ʔwan	HWAN	abvd	WHAT	-
=ʔügüm	ʔgm	HGM	abvd	SMELL (PERCEIVE)	-
abó	ab	AB	abvd	ASH	abvd_146_ashes_1
amün	amn	AMN	abvd	WE	-
anatün	anatn	ANATN	abvd	WE	-
atün	atn	ATN	abvd	WE	-
atǘp	at́p	ATP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
babáʔi	babʔi	BABHI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bakál	bakl	BAKL	abvd	BUY	abvd_91_tobuy_32
baláy	baly	BALU	abvd	HOUSE	abvd_61_house_14
barás	bars	BARS	abvd	SAND	abvd_121_sand_19
batáʔ	batʔ	BATH	abvd	CHILD	abvd_56_child_16
bató	bat	BAT	abvd	STONE	abvd_120_stone_1
baʔǘl	baʔ́l	BAHL	abvd	BIG	abvd_153_big_93
bituʔón	bituʔn	BITUHN	abvd	STAR	abvd_130_star_1
bukás	buks	BUKS	abvd	OPEN	abvd_92_toopenuncover_1
buláklak	bulklak	BULKLAK	abvd	FLOWER	abvd_116_flower_22
bulúŋ	bul	BUL	abvd	LEAF	abvd_114_leaf_18
buwíʔ	buwʔ	BUWH	abvd	BE ALIVE	abvd_76_tolivebealive_14
buʔúl	buʔl	BUHL	abvd	HOLD	abvd_89_tohold_123
bábaʔ	bbaʔ	BBAH	abvd	MOUTH	abvd_30_mouth_1
bágo	bgo	BGO	abvd	NEW	abvd_163_new_1
báʔoʔ	bʔoʔ	BHOH	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
búlbul	blbul	BLBUL	abvd	FEATHER	abvd_99_feather_1
búriŋ	bri	BRI	abvd	DIRTY	-
