Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
A	a	A	wikipron	-	-
aba	aba	ABA	wikipron	-	-
abbachjà	abːatja	ABATYA	wikipron	-	-
abbaghià	abːaɡja	ABAGYA	wikipron	-	-
abbaghjà	abːadja	ABADYA	wikipron	-	-
accumpagnà	akːũpaɲɲa	AKPANNA	wikipron	-	-
aceddu	at͡ʃeɖːu	ASEDU	wikipron	-	-
acellu	at͡ʃelːu	ASELU	wikipron	-	-
acqua	akːʷa	AKA	wikipron	-	-
acque	akːʷe	AKE	wikipron	-	-
acula	akula	AKULA	wikipron	-	-
acule	akule	AKULE	wikipron	-	-
Africa	afrika	APRIKA	wikipron	-	-
aghju	adju	ADYU	wikipron	-	-
aghjutà	adjuta	ADYUTA	wikipron	-	-
agnulu	aɲulu	ANULU	wikipron	-	-
agostu	aɡostu	AGOSTU	wikipron	-	-
ai	aj	AY	wikipron	-	-
Aiacciu	ajattʃu	AYATTSU	wikipron	-	-
aiutà	ajuta	AYUTA	wikipron	-	-
alberu	albɛɾu	ALBERU	wikipron	-	-
albu	albu	ALBU	wikipron	-	-
alzà	alt͡sa	ALSA	wikipron	-	-
amacu	amaku	AMAKU	wikipron	-	-
ambacu	ambaku	AMBAKU	wikipron	-	-
amicu	amiku	AMIKU	wikipron	-	-
amà	ama	AMA	wikipron	-	-
anatomia	anatomia	ANATOMIA	wikipron	-	-
anatumia	anatumia	ANATUMIA	wikipron	-	-
anca	ãka	KA	wikipron	-	-
anche	ãkɛ	KE	wikipron	-	-
andà	anda	ANDA	wikipron	-	-
anfibi	ãfibi	PIBI	wikipron	-	-
anfibiu	ãfibiu	PIBIU	wikipron	-	-
anghjulu	andjulu	ANDYULU	wikipron	-	-
animale	animale	ANIMALE	wikipron	-	-
annu	ãnːu	NU	wikipron	-	-
anticu	ãntiku	NTIKU	wikipron	-	-
aostu	aostu	AOSTU	wikipron	-	-
apa	apa	APA	wikipron	-	-
approntà	apːrõnta	APRNTA	wikipron	-	-
appruntà	apːrũnta	APRNTA	wikipron	-	-
aprile	apɾile	APRILE	wikipron	-	-
aprili	aprili	APRILI	wikipron	-	-
Arabia	arabia	ARABIA	wikipron	-	-
arabu	arabu	ARABU	wikipron	-	-
arba	arba	ARBA	wikipron	-	-
argentinu	ard͡ʒentinu	ARSENTINU	wikipron	-	-
argentu	ard͡ʒentu	ARSENTU	wikipron	-	-
arghientu	arɡientu	ARGIENTU	wikipron	-	-
arghjentu	ardjentu	ARDYENTU	wikipron	-	-
aria	aria	ARIA	wikipron	-	-
arigentu	arid͡ʒentu	ARISENTU	wikipron	-	-
ariu	ariu	ARIU	wikipron	-	-
articulu	artikulu	ARTIKULU	wikipron	-	-
artropodu	artropodu	ARTROPODU	wikipron	-	-
Asia	azja	ASYA	wikipron	-	-
asinu	asinu	ASINU	wikipron	-	-
assai	assaɪ̯	ASSAI	wikipron	-	-
atmosfera	atmosfera	ATMOSPERA	wikipron	-	-
atmusfera	atmusfera	ATMUSPERA	wikipron	-	-
attivu	attivu	ATTIBU	wikipron	-	-
auropeanu	au̯rɔpeanu	AUROPEANU	wikipron	-	-
avvedaci	abɛdat͡ʃi	ABEDASI	wikipron	-	-
avvedeci	abɛdet͡ʃi	ABEDESI	wikipron	-	-
avvideci	abidet͡ʃi	ABIDESI	wikipron	-	-
avè	ave	ABE	wikipron	-	-
azotu	azotu	ASOTU	wikipron	-	-
azuru	ad͡zuru	ASURU	wikipron	-	-
banca	banka	BANKA	wikipron	-	-
banchieru	bankieru	BANKIERU	wikipron	-	-
bavosu	bavosu	BABOSU	wikipron	-	-
beccazza	bekkat͡sːa	BEKKASA	wikipron	-	-
beddu	bɛdːu	BEDU	wikipron	-	-
beddula	bɛdːula	BEDULA	wikipron	-	-
beiera	beɪ̯era	BEIERA	wikipron	-	-
Belgica	beld͡ʒika	BELSIKA	wikipron	-	-
bellu	bɛllu	BELLU	wikipron	-	-
bellula	bɛlːula	BELULA	wikipron	-	-
bellule	bɛlːule	BELULE	wikipron	-	-
ben	bɛn	BEN	wikipron	-	-
bene	bɛne	BENE	wikipron	-	-
bicazza	bikat͡sːa	BIKASA	wikipron	-	-
bicazzu	bikat͡sːu	BIKASU	wikipron	-	-
biccazza	bikkat͡sːa	BIKKASA	wikipron	-	-
biccazzu	bikkat͡sːu	BIKKASU	wikipron	-	-
bicchieru	bikːieru	BIKIERU	wikipron	-	-
bichjere	bitjere	BITYERE	wikipron	-	-
bichjeri	bitjeri	BITYERI	wikipron	-	-
bichjeru	bitjeru	BITYERU	wikipron	-	-
biera	biera	BIERA	wikipron	-	-
biochimica	biɔkimika	BIOKIMIKA	wikipron	-	-
biuchimica	biukimika	BIUKIMIKA	wikipron	-	-
bonghjornu	bɔ̃ndjɔrnu	BONDYORNU	wikipron	-	-
bongiornu	bɔ̃nd͡ʒɔrnu	BONSORNU	wikipron	-	-
bonu	bɔnu	BONU	wikipron	-	-
boscu	bɔsku	BOSKU	wikipron	-	-
bracciu	brat͡ʃːu	BRASU	wikipron	-	-
