Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-fane	fane	PANE	abvd	BURN	abvd_144_toburn_83
-fwer	fwer	PWER	abvd	SLEEP	abvd_48_tosleep_87
-hali	hali	HALI	abvd	DIG	abvd_90_todig_1
-hani	hani	HANI	abvd	EAT	abvd_37_toeat_1
-hate	hate	HATE	abvd	BITE	abvd_41_tobite_1
-hia	hia	HIA	abvd	SEE	abvd_46_tosee_14
-hu	hu	HU	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-ka	ka	KA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
-kai	kai	KAI	abvd	THROW	-
-kela	kela	KELA	abvd	SAY	abvd_64_tosay_108
-kerpʷere	kerpere	KERPERE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_100
-ko	ko	KO	abvd	HUNT	abvd_69_tohunt_59
-kone	kone	KONE	abvd	TURN	abvd_8_toturn_112
-koro	koro	KORO	abvd	SCRATCH	abvd_77_toscratch_1
-kulumte	kulumte	KULUMTE	abvd	COUNT	abvd_196_tocount_95
-kunune	kunune	KUNUNE	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_42
-kuβe	kue	KUE	abvd	SPIT	abvd_36_tospit_19
-liβ	li	LI	abvd	FLOW	abvd_123_toflow_58
-lo	lo	LO	abvd	SWIM	abvd_9_toswim_8
-luwo	luwo	LUWO	abvd	FASTEN	abvd_66_totieupfasten_1
-me	me	ME	abvd	COME	abvd_7_tocome_1
-mer	mer	MER	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-minu	minu	MINU	abvd	DRINK	abvd_40_todrink_1
-mur	mur	MUR	abvd	FALL	abvd_95_tofall_57
-mæn	mn	MN	abvd	LAUGH	abvd_33_tolaugh_51
-mæu	mu	MU	abvd	BE ALIVE	abvd_76_tolivebealive_1
-nornorni	nornorni	NORNORNI	abvd	THINK	abvd_21_tothink_77
-repæ	rep	REP	abvd	HIT	abvd_72_tohit_87
-roŋtane	rotane	ROTANE	abvd	HEAR	abvd_44_tohear_1
-sopsop	sopsop	SOPSOP	abvd	BREATHE	abvd_28_tobreathe_35
-ta	ta	TA	abvd	SIT	abvd_51_tosit_121
-tae	tae	TAE	abvd	CUT OR HACK	abvd_78_tocuthack_1
-tawoka	tawoka	TAWOKA	abvd	SPLIT	abvd_80_tosplit_4
-taβira	taira	TAIRA	abvd	STAND	abvd_52_tostand_74?
-tuβu	tuu	TUU	abvd	KILL	-
-wosa	wosa	WOSA	abvd	STAB	abvd_71_tostabpierce_86
-βune	une	UNE	abvd	SQUEEZE	abvd_88_tosqueeze_85
-ᵑgumni	gumni	GUMNI	abvd	HOLD	abvd_89_tohold_1
-ⁿdalir	dalir	DALIR	abvd	WALK	abvd_5_towalk_100
-ⁿdeŋ	de	DE	abvd	CRY	abvd_34_tocry_1
hafæŋ	haf	HAP	abvd	FIRE	abvd_143_fire_21
halu-k	haluk	HALUK	abvd	SKIN	abvd_12_skin_1
halumʷinek	haluminek	HALUMINEK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_32
hapæte	hapte	HAPTE	abvd	MOON	abvd_129_moon_6
hapæu-n	hapun	HAPUN	abvd	WING	abvd_100_wing_7
hawa	hawa	HAWA	abvd	ROPE	abvd_65_rope_25
hikun	hikun	HIKUN	abvd	SMOKE (EXHAUST)	abvd_145_smoke_96
himʷ	him	HIM	abvd	HOUSE	abvd_61_house_1
hinčul	hinul	HINUL	abvd	WE	abvd_185_we_I
hou	hou	HOU	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
hur	hur	HUR	abvd	LOUSE	abvd_108_louse_1
hurpe	hurpe	HURPE	abvd	WHERE	abvd_181_where_3
kekei	kekei	KEKEI	abvd	SMALL	abvd_152_small_110
kikili muᵐbu	kikilimubu	KIKILIMUBU	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_29
kinimčul	kinimul	KINIMUL	abvd	WE	abvd_185_we_E
le-k	lek	LEK	abvd	FOOT OR LEG	abvd_4_legfoot_37
leŋ	le	LE	abvd	WIND	abvd_136_wind_1
lihe	lihe	LIHE	abvd	STICK	abvd_79_stickwood_28
lim	lim	LIM	abvd	FIVE	abvd_201_five_1
lipʷite	lipite	LIPITE	abvd	ROOT	abvd_115_root_18
lon	lon	LON	abvd	IN	abvd_174_ininside_1
luwo-k	luwok	LUWOK	abvd	TOOTH	abvd_31_tooth_1
ləluβuŋ	ləluu	LELUU	abvd	NIGHT	abvd_167_night_1
mai	mai	MAI	abvd	LEFT	abvd_2_left_1
maⁿdo-k	madok	MADOK	abvd	BACK	abvd_13_back_35
me-fæŋ	mef	MEP	abvd	COOK (SOMETHING)	abvd_39_tocook_85
me-mæmæ	memm	MEMM	abvd	DRY	abvd_140_dry_11
