Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ᐈ	e	E	wikipron	-	-
ᐉ	i	I	wikipron	-	-
ᐶ	he	HE	wikipron	-	-
ᐷ	hi	HI	wikipron	-	-
ᑋ	h	H	wikipron	-	-
ᑓ	te	TE	wikipron	-	-
ᑔ	ti	TI	wikipron	-	-
ᓑ	ŋ	N	wikipron	-	-
ᗄ	xu	KU	wikipron	-	-
ᗅ	xo	KO	wikipron	-	-
ᗆ	xə	KE	wikipron	-	-
ᗇ	xe	KE	wikipron	-	-
ᗈ	xi	KI	wikipron	-	-
ᗉ	xa	KA	wikipron	-	-
ᗊ	ɣu	GU	wikipron	-	-
ᗋ	ɣo	GO	wikipron	-	-
ᗌ	ɣə	GE	wikipron	-	-
ᗍ	ɣe	GE	wikipron	-	-
ᗎ	ɣi	GI	wikipron	-	-
ᗏ	ɣa	GA	wikipron	-	-
ᗐ	wu	WU	wikipron	-	-
ᗑ	wo	WO	wikipron	-	-
ᗒ	wə	WE	wikipron	-	-
ᗓ	we	WE	wikipron	-	-
ᗔ	wi	WI	wikipron	-	-
ᗕ	wa	WA	wikipron	-	-
ᗖ	xʷu	KU	wikipron	-	-
ᗗ	xʷo	KO	wikipron	-	-
ᗘ	xʷə	KE	wikipron	-	-
ᗙ	xʷe	KE	wikipron	-	-
ᗚ	xʷi	KI	wikipron	-	-
ᗛ	xʷa	KA	wikipron	-	-
ᗜ	tʰu	TU	wikipron	-	-
ᗝ	tʰo	TO	wikipron	-	-
ᗞ	tʰə	TE	wikipron	-	-
ᗟ	tʰe	TE	wikipron	-	-
ᗠ	tʰi	TI	wikipron	-	-
ᗡ	tʰa	TA	wikipron	-	-
ᗢ	tʼu	TU	wikipron	-	-
ᗣ	tʼo	TO	wikipron	-	-
ᗤ	tʼə	TE	wikipron	-	-
ᗥ	tʼe	TE	wikipron	-	-
ᗦ	tʼi	TI	wikipron	-	-
ᗧ	tʼa	TA	wikipron	-	-
ᗨ	pu	PU	wikipron	-	-
ᗩ	po	PO	wikipron	-	-
ᗪ	pə	PE	wikipron	-	-
ᗫ	pe	PE	wikipron	-	-
ᗬ	pi	PI	wikipron	-	-
ᗭ	pa	PA	wikipron	-	-
ᗮ	p	P	wikipron	-	-
ᗯ	ku	KU	wikipron	-	-
ᗰ	ko	KO	wikipron	-	-
ᗱ	kə	KE	wikipron	-	-
ᗲ	ke	KE	wikipron	-	-
ᗳ	ki	KI	wikipron	-	-
ᗴ	ka	KA	wikipron	-	-
ᗵ	kʰu	KU	wikipron	-	-
ᗶ	kʰo	KO	wikipron	-	-
ᗷ	kʰə	KE	wikipron	-	-
ᗸ	kʰe	KE	wikipron	-	-
ᗹ	kʰi	KI	wikipron	-	-
ᗺ	kʰa	KA	wikipron	-	-
ᗻ	kʼu	KU	wikipron	-	-
ᗼ	kʼo	KO	wikipron	-	-
ᗽ	kʼə	KE	wikipron	-	-
ᗾ	kʼe	KE	wikipron	-	-
ᗿ	kʼi	KI	wikipron	-	-
ᘀ	kʼa	KA	wikipron	-	-
ᘁ	kʼ	K	wikipron	-	-
ᘂ	nu	NU	wikipron	-	-
ᘃ	no	NO	wikipron	-	-
ᘄ	nə	NE	wikipron	-	-
ᘅ	ne	NE	wikipron	-	-
ᘆ	ni	NI	wikipron	-	-
ᘇ	na	NA	wikipron	-	-
ᘈ	mu	MU	wikipron	-	-
ᘉ	mo	MO	wikipron	-	-
ᘊ	mə	ME	wikipron	-	-
ᘋ	me	ME	wikipron	-	-
ᘌ	mi	MI	wikipron	-	-
ᘍ	ma	MA	wikipron	-	-
ᘎ	ju	YU	wikipron	-	-
ᘏ	jo	YO	wikipron	-	-
ᘐ	jə	YE	wikipron	-	-
ᘑ	je	YE	wikipron	-	-
ᘒ	ji	YI	wikipron	-	-
ᘓ	ja	YA	wikipron	-	-
ᘔ	t͡ʃu	SU	wikipron	-	-
ᘖ	t͡ʃo	SO	wikipron	-	-
ᘗ	t͡ʃə	SE	wikipron	-	-
ᘘ	t͡ʃe	SE	wikipron	-	-
ᘙ	t͡ʃi	SI	wikipron	-	-
ᘛ	t͡ʃa	SA	wikipron	-	-
ᘜ	t͡ʃʼu	SU	wikipron	-	-
ᘝ	t͡ʃʼo	SO	wikipron	-	-
ᘞ	t͡ʃʼə	SE	wikipron	-	-
ᘟ	t͡ʃʼe	SE	wikipron	-	-
