Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
aba	aba	ABA	wikipron	-	-
abecadło	abʲɛt͡sadwɔ	ABESADWO	wikipron	-	-
abecadłowi	abʲɛt͡sadwɔvʲi	ABESADWOBI	wikipron	-	-
abstrakcëjô	apstrakt͡sɜjɞ	APSTRAKSY	wikipron	-	-
abë	abɜ	AB	wikipron	-	-
abò	abwɛ	ABWE	wikipron	-	-
achtel	axtʲɛl	AKTEL	wikipron	-	-
administracjô	admʲiɲistrat͡sjɞ	ADMINISTRASY	wikipron	-	-
administracyjny	admʲiɲistrat͡sijni	ADMINISTRASIYNI	wikipron	-	-
Afrika	afrʲika	APRIKA	wikipron	-	-
akacjowi	akat͡sjɔvʲi	AKASYOBI	wikipron	-	-
akacjô	akat͡sɜjɞ	AKASY	wikipron	-	-
aksamańt	aksamaɲt	AKSAMANT	wikipron	-	-
aksamit	aksamʲit	AKSAMIT	wikipron	-	-
akùrôtnosc	akwurɞtnɔst͡s	AKWURTNOSS	wikipron	-	-
akùrôtny	akwurɞtni	AKWURTNI	wikipron	-	-
akùzatiw	akwuzatʲif	AKWUSATIP	wikipron	-	-
ale	alʲɛ	ALE	wikipron	-	-
alpaka	alpaka	ALPAKA	wikipron	-	-
analiza	analiza	ANALISA	wikipron	-	-
ani	aɲi	ANI	wikipron	-	-
aniół	aɲow	ANOW	wikipron	-	-
aparat	aparat	APARAT	wikipron	-	-
aptéka	aptʲeka	APTEKA	wikipron	-	-
arbata	arbata	ARBATA	wikipron	-	-
arfa	arfa	ARPA	wikipron	-	-
astronóm	astrɔnom	ASTRONOM	wikipron	-	-
atomòwi	atɔmwɛvʲi	ATOMWEBI	wikipron	-	-
atłas	atwas	ATWAS	wikipron	-	-
bakalôrz	bakalɞr̝	BAKALR	wikipron	-	-
bardawica	bardavit͡sa	BARDABISA	wikipron	-	-
bardawica	bardavjit͡sa	BARDABYISA	wikipron	-	-
bawidło	bavidwɔ	BABIDWO	wikipron	-	-
Berlëno	berlənɔ	BERLENO	wikipron	-	-
bez	bʲɛs	BES	wikipron	-	-
biôłi	bjɞwi	BYWI	wikipron	-	-
blacha	blaxa	BLAKA	wikipron	-	-
blatk	blatk	BLATK	wikipron	-	-
brac	brat͡s	BRAS	wikipron	-	-
brak	brak	BRAK	wikipron	-	-
brat	brat	BRAT	wikipron	-	-
brzég	br̝ʲek	BREK	wikipron	-	-
brzôd	br̝ɞt	BRT	wikipron	-	-
bédowanié	bʲedɔvaɲʲe	BEDOBANE	wikipron	-	-
bë	bɜ	B	wikipron	-	-
bò	bwɛ	BWE	wikipron	-	-
bòber	bwɛbʲɛr	BWEBER	wikipron	-	-
bòjec	bwɛjɛt͡s	BWEYES	wikipron	-	-
bóg	bwok	BWOK	wikipron	-	-
Bôłt	bɞwt	BWT	wikipron	-	-
bùdowa	bwudɔva	BWUDOBA	wikipron	-	-
bùska	bwuska	BWUSKA	wikipron	-	-
bąk	bõk	BK	wikipron	-	-
całi	t͡sawi	SAWI	wikipron	-	-
cało	t͡sawɔ	SAWO	wikipron	-	-
całosc	t͡sawɔst͡s	SAWOSS	wikipron	-	-
całowac	t͡sawɔvat͡s	SAWOBAS	wikipron	-	-
cekawi	t͡sʲɛkavʲi	SEKABI	wikipron	-	-
cena	t͡sʲɛna	SENA	wikipron	-	-
charakter	xaraktʲɛr	KARAKTER	wikipron	-	-
charłãżnik	xarwãʒɲik	KARWSNIK	wikipron	-	-
chcec	xt͡sʲɛt͡s	KSES	wikipron	-	-
chléb	xlʲep	KLEP	wikipron	-	-
chrzebt	xr̝ʲɛpt	KREPT	wikipron	-	-
chróst	xrost	KROST	wikipron	-	-
chsztôłt	xʃtɞwt	KSTWT	wikipron	-	-
chto	xtɔ	KTO	wikipron	-	-
chtos	xtɔs	KTOS	wikipron	-	-
chwila	xvʲila	KBILA	wikipron	-	-
chëba	xɜba	KBA	wikipron	-	-
chëcza	xət͡ʃa	KESA	wikipron	-	-
chòcbë	xwɛd͡zbɜ	KWESB	wikipron	-	-
chòdnik	xwɛdɲik	KWEDNIK	wikipron	-	-
chòdzenié	xwɛd͡zʲɛɲʲe	KWESENE	wikipron	-	-
chòdzëc	xwɛd͡zɜt͡s	KWESS	wikipron	-	-
chòranka	xwɛraŋka	KWERANKA	wikipron	-	-
chòri	xwɛrʲi	KWERI	wikipron	-	-
chód	xwot	KWOT	wikipron	-	-
chłop	xwɔp	KWOP	wikipron	-	-
chłąd	xwõt	KWT	wikipron	-	-
co	t͡sɔ	SO	wikipron	-	-
corôz	t͡sɔrɞs	SORS	wikipron	-	-
cos	t͡sɔs	SOS	wikipron	-	-
cosz	t͡sɔʃ	SOS	wikipron	-	-
cyc	t͡sit͡s	SIS	wikipron	-	-
czas	t͡ʃas	SAS	wikipron	-	-
czasnik	t͡ʃasɲik	SASNIK	wikipron	-	-
czasã	t͡ʃasã	SAS	wikipron	-	-
czedë	t͡ɕɛdɜ	SED	wikipron	-	-
czedës	t͡ɕɛdɜs	SEDS	wikipron	-	-
