Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ахун	a²⁴xuŋ²⁴	AKUN	wikipron	-	-
багәр	pa²⁴kə²⁴	PAKE	wikipron	-	-
баливу	pa²⁴li²⁴vou⁵¹	PALIBOU	wikipron	-	-
бане	pæ̃⁴⁴iə²⁴	PAIE	wikipron	-	-
бане	pæ̃⁴⁴iə⁴⁴	PAIE	wikipron	-	-
банзы	pæ̃⁵¹t͡sz̩²⁴	PASS	wikipron	-	-
баҗон	pa²⁴ʈ͡ʂɑŋ²⁴	PATAN	wikipron	-	-
баҗё	pa²⁴t͡ɕiɔː²⁴	PASIO	wikipron	-	-
баҗё	pa²⁴t͡ɕiɔː⁵¹	PASIO	wikipron	-	-
бизы	pi²⁴t͡sz̩⁵¹	PISS	wikipron	-	-
бинщён	piŋ²⁴ɕiɑŋ²⁴	PINSIAN	wikipron	-	-
бифон	pi⁵¹fɑŋ²⁴	PIPAN	wikipron	-	-
бохў	pɔ⁵¹xu⁴⁴	POKU	wikipron	-	-
буфын	pou⁴⁴fəŋ²⁴	POUPEN	wikipron	-	-
бый	pei²⁴	PEI	wikipron	-	-
быйфон	pei²⁴fɑŋ²⁴	PEIPAN	wikipron	-	-
Быйҗин	pei²⁴t͡ɕiŋ²⁴	PEISIN	wikipron	-	-
бынлу	pəŋ²⁴lou²⁴	PENLOU	wikipron	-	-
бәвугуан	pə²⁴vou⁵¹kuæ̃⁵¹	PEBOUKUA	wikipron	-	-
вава	va²⁴va⁵¹	BABA	wikipron	-	-
ванчын	væ̃²⁴ʈ͡ʂʰəŋ²⁴	BATEN	wikipron	-	-
вон	vɑŋ²⁴	BAN	wikipron	-	-
вон	vɑŋ⁴⁴	BAN	wikipron	-	-
ву	vou⁵¹	BOU	wikipron	-	-
вуя	vou²⁴ia⁵¹	BOUIA	wikipron	-	-
вынхуа	vəŋ²⁴xua⁵¹	BENKUA	wikipron	-	-
