Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
achawwi	achawwi	AKHAWWI	abvd	FAR	abvd_180_far_1
ad-acha	adacha	ADAKHA	abvd	BIG	-
ad-chaya	adchaya	ADKHAUA	abvd	SKY	abvd_128_sky_22
ad-ocho	adocho	ADOKHO	abvd	SKY	-
afilog	afilog	APILOG	abvd	WIDE	-
afong	afong	APONG	abvd	HOUSE	abvd_61_house_16
agtoy	agtoy	AGTOU	abvd	LIVER	abvd_17_liver_1
akettoy	akettoy	AKETTOU	abvd	SMALL	abvd_152_small_66
akikid	akikid	AKIKID	abvd	NARROW	-
am-in	amin	AMIN	abvd	ALL	abvd_191_all_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ammay	ammay	AMMAU	abvd	GOOD	abvd_164_good_64
ammo	ammo	AMMO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_25
amrang	amrang	AMRANG	abvd	LAUGH	-
ancho	ancho	ANKHO	abvd	LONG	abvd_155_long_1
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
angor	angor	ANGOR	abvd	NOSE	abvd_27_nose_85
aptek	aptek	APTEK	abvd	SHORT	abvd_154_short_49
as-op	asop	ASOP	abvd	NEAR	-
asawa ay fiafia-i	asawaayfiafiai	ASAWAAUPIAPIAI	abvd	WIFE	abvd_58_wife_1
asawa ay laraki	asawaaylaraki	ASAWAAULARAKI	abvd	HUSBAND	abvd_57_husband_2
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
aso	aso	ASO	abvd	DOG	abvd_96_dog_1
atong	atong	ATONG	abvd	WARM	abvd_138_warm_38
atongan	atongan	ATONGAN	abvd	BURN	-
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
awan	awan	AWAN	abvd	RIGHT	abvd_3_right_1
chachara	chachara	KHAKHARA	abvd	RED	abvd_149_red_100
chakom	chakom	KHAKOM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_50
chang-op	changop	KHANGOP	abvd	SMELL (PERCEIVE)	-
chanom	chanom	KHANOM	abvd	WATER	abvd_122_water_1
chara	chara	KHARA	abvd	BLOOD	abvd_23_blood_1
charan	charan	KHARAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
chila	chila	KHILA	abvd	TONGUE	abvd_32_tongue_4
chitak	chitak	KHITAK	abvd	RED	-
chongron	chongron	KHONGRON	abvd	HEAR	abvd_44_tohear_1
chor-om	chorom	KHOROM	abvd	IN	abvd_174_ininside_1
chotchot	chotchot	KHOTKHOT	abvd	FEATHER	abvd_99_feather_15
chowa	chowa	KHOWA	abvd	TWO	abvd_198_two_1
ek-eket	ekeket	EKEKET	abvd	SMALL	abvd_152_small_66
emok	emok	EMOK	abvd	MOSQUITO	abvd_109_mosquito_1
en-enop	enenop	ENENOP	abvd	DREAM (SOMETHING)	abvd_50_todream_30
epekot	epekot	EPEKOT	abvd	TURN	-
etakod	etakod	ETAKOD	abvd	FASTEN	abvd_66_totieupfasten_104
etap-or	etapor	ETAPOR	abvd	THROW	abvd_94_tothrow_96
fia-in	fiain	PIAIN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_25
fiab-a	fiaba	PIABA	abvd	TOOTH	abvd_31_tooth_72
fiafia-i	fiafiai	PIAPIAI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
fiakang	fiakang	PIAKANG	abvd	NECK	abvd_25_neck_73
fiakilat	fiakilat	PIAKILAT	abvd	THUNDER	-
fiangat	fiangat	PIANGAT	abvd	BITE	abvd_41_tobite_33
fiarakan	fiarakan	PIARAKAN	abvd	SNAKE	-
fiaro	fiaro	PIARO	abvd	NEW	abvd_163_new_1
fiaroy	fiaroy	PIAROU	abvd	HOUSE	abvd_61_house_14
fiato	fiato	PIATO	abvd	STONE	abvd_120_stone_1
fiayfiay	fiayfiay	PIAUPIAU	abvd	SEA	abvd_124_sea_28
filang	filang	PILANG	abvd	COUNT	abvd_196_tocount_1
finongkot	finongkot	PINONGKOT	abvd	INTESTINES	-
fo-ok	fook	POOK	abvd	HAIR	abvd_26_hair_1
fofong	fofong	POPONG	abvd	THATCH OR ROOF	abvd_62_thatchroof_6
fomanak	fomanak	POMANAK	abvd	LIE DOWN	-
fonga	fonga	PONGA	abvd	FRUIT	abvd_117_fruit_9
foran	foran	PORAN	abvd	MOON	abvd_129_moon_1
hin kiasot	hinkiasot	HINKIASOT	abvd	HUNDRED	abvd_209_onehundred_4
hin lifo	hinlifo	HINLIPO	abvd	THOUSAND	abvd_210_onethousand_5
hin poro	hinporo	HINPORO	abvd	TEN	abvd_206_ten_5
i-itaw	iitaw	IITAW	abvd	DREAM (SOMETHING)	abvd_50_todream_31
ifiaka	ifiaka	IPIAKA	abvd	SAY	abvd_64_tosay_22
ikayang	ikayang	IKAUANG	abvd	THROW	abvd_94_tothrow_101
ikid	ikid	IKID	abvd	LEFT	abvd_2_left_36
