Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aeras	aeras	AERAS	northeuralex	AIR	-
aetos	aetos	AETOS	northeuralex	EAGLE	-
afalos	afalos	APALOS	northeuralex	NAVEL	-
afino	afino	APINO	northeuralex	CAUSE TO (LET)	-
afino_na_pesi	afinonapesi	APINONAPESI	northeuralex	DROP (SOMETHING)	-
afros	afros	APROS	northeuralex	FOAM	-
akoma	akoma	AKOMA	northeuralex	STILL (CONTINUING)	-
akonizo	akonizo	AKONISO	northeuralex	SHARPEN (SOMETHING)	-
akri	akri	AKRI	northeuralex	FRINGE	-
akrivos	akrivos	AKRIBOS	northeuralex	EXPENSIVE	-
akroʝalia	akroʝalia	AKROGALIA	northeuralex	COAST	-
akti	akti	AKTI	northeuralex	COAST	-
akuo	akuo	AKUO	northeuralex	HEAR	-
alati	alati	ALATI	northeuralex	SALT	-
alazo	alazo	ALASO	northeuralex	CHANGE (BECOME DIFFERENT)	-
alci	alci	ALKI	northeuralex	ELK	-
alepu	alepu	ALEPU	northeuralex	FOX	-
alifo	alifo	ALIPO	northeuralex	SPREAD OUT	-
aliθia	aliθia	ALITIA	northeuralex	TRUTH	-
aliθinos	aliθinos	ALITINOS	northeuralex	TRUE	-
aliθis	aliθis	ALITIS	northeuralex	TRUE	-
alos	alos	ALOS	northeuralex	OTHER	-
alote	alote	ALOTE	northeuralex	ONCE (IN THE PAST)	-
aloɣo	aloɣo	ALOGO	northeuralex	HORSE	-
amartia	amartia	AMARTIA	northeuralex	SIN	-
amesos	amesos	AMESOS	northeuralex	INSTANTLY (IMMEDIATELY)	-
amos	amos	AMOS	northeuralex	SAND	-
amvlis	amvlis	AMBLIS	northeuralex	BLUNT	-
anakatevo	anakatevo	ANAKATEBO	northeuralex	STIR	-
anameno	anameno	ANAMENO	northeuralex	784_await	-
anamesa_se	anamesase	ANAMESASE	northeuralex	BETWEEN	-
anapneo	anapneo	ANAPNEO	northeuralex	BREATHE	-
anapnoi	anapnoi	ANAPNOI	northeuralex	BREATH	-
anastima	anastima	ANASTIMA	northeuralex	IDOL	-
anatelo	anatelo	ANATELO	northeuralex	RISE (MOVE UPWARDS)	-
anatoli	anatoli	ANATOLI	northeuralex	EAST	-
anatrefo	anatrefo	ANATREPO	northeuralex	RAISE (BRING UP)	-
anavo	anavo	ANABO	northeuralex	LIGHT (IGNITE)	-
anaxoro	anaxoro	ANAKORO	northeuralex	775_depart	-
anaɣnorizo	anaɣnorizo	ANAGNORISO	northeuralex	RECOGNIZE (SOMEBODY)	-
andexo	andexo	ANDEKO	northeuralex	ENDURE	-
andicimeno	andicimeno	ANDIKIMENO	northeuralex	ITEM	-
anemos	anemos	ANEMOS	northeuralex	WIND	-
aneveno	aneveno	ANEBENO	northeuralex	715_rise	-
aniksi	aniksi	ANIKSI	northeuralex	SPRINGTIME	-
anixtos	anixtos	ANIKTOS	northeuralex	OPEN (STATE)	-
aniɣo	aniɣo	ANIGO	northeuralex	OPEN	-
anoitos	anoitos	ANOITOS	northeuralex	STUPID	-
anðras	anðras	ANDRAS	northeuralex	MAN	-
anθos	anθos	ANTOS	northeuralex	FLOWER	-
anθropi	anθropi	ANTROPI	northeuralex	243_people	-
anθropos	anθropos	ANTROPOS	northeuralex	PERSON	-
apato	apato	APATO	northeuralex	SWINDLE	-
apo_ðo	apoðo	APODO	northeuralex	FROM HERE	-
apocimieme	apocimieme	APOKIMIEME	northeuralex	FALL ASLEEP	-
apokopto	apokopto	APOKOPTO	northeuralex	856_cutoff	-
apostasi	apostasi	APOSTASI	northeuralex	GAP (DISTANCE)	-
apoxorizome	apoxorizome	APOKORISOME	northeuralex	SEPARATE	-
aprilios	aprilios	APRILIOS	northeuralex	APRIL	-
araxni	araxni	ARAKNI	northeuralex	SPIDER	-
araða	araða	ARADA	northeuralex	286_row	-
aristeros	aristeros	ARISTEROS	northeuralex	LEFT	-
ariθmos	ariθmos	ARITMOS	northeuralex	COUNT (QUANTITY)	-
arktos	arktos	ARKTOS	northeuralex	BEAR	-
arkuða	arkuða	ARKUDA	northeuralex	BEAR	-
armeɣo	armeɣo	ARMEGO	northeuralex	DRAW MILK	-
arpazo	arpazo	ARPASO	northeuralex	SEIZE	-
arrosteno	arrosteno	ARROSTENO	northeuralex	BECOME SICK	-
arrostia	arrostia	ARROSTIA	northeuralex	DISEASE	-
arrostos	arrostos	ARROSTOS	northeuralex	SICK	-
artos	artos	ARTOS	northeuralex	BREAD	-
arçitexnitis	arçitexnitis	ARITEKNITIS	northeuralex	419_master	-
arçizo	arçizo	ARISO	northeuralex	683_begin	-
arɣotera	arɣotera	ARGOTERA	northeuralex	589_later	-
arʝiros	arʝiros	ARGIROS	northeuralex	SILVER	-
asimi	asimi	ASIMI	northeuralex	SILVER	-
aspros	aspros	ASPROS	northeuralex	WHITE	-
asteri	asteri	ASTERI	northeuralex	STAR	-
astrafto	astrafto	ASTRAPTO	northeuralex	TWINKLE	-
astro	astro	ASTRO	northeuralex	STAR	-
asçimos	asçimos	ASIMOS	northeuralex	SEVERE	-
asθeno	asθeno	ASTENO	northeuralex	746_beill	-
avksano	avksano	ABKSANO	northeuralex	INCREASE	-
avrio	avrio	ABRIO	northeuralex	TOMORROW	-
avti	avti	ABTI	northeuralex	EAR	-
avto	avto	ABTO	northeuralex	THIS	-
avtos	avtos	ABTOS	northeuralex	HE	-
avɣo	avɣo	ABGO	northeuralex	EGG	-
avɣustos	avɣustos	ABGUSTOS	northeuralex	AUGUST	-
aðelfi	aðelfi	ADELPI	northeuralex	SISTER	-
aðelfos	aðelfos	ADELPOS	northeuralex	BROTHER	-
aðinatos	aðinatos	ADINATOS	northeuralex	WEAK	-
aðios	aðios	ADIOS	northeuralex	EMPTY	-
aŋɟistri	aŋɟistri	ANGISTRI	northeuralex	HOOK	-
