Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'am	am	AM	abvd	WE	abvd_185_we_2
'apəli	apəli	APELI	abvd	BELLY	abvd_14_belly_2
'asse	asse	ASSE	abvd	PATH OR ROAD	-
'hijɛʔ	hijɛʔ	HIYEH	abvd	MOSQUITO	-
'i	i	I	abvd	THIS	abvd_177_this_2?
'ik	ik	IK	abvd	WE	abvd_185_we_1
'ile	ile	ILE	abvd	FISH	abvd_111_fish_4
'ilijɛʔ	ilijɛʔ	ILIYEH	abvd	SAND	abvd_121_sand_5
'immɛʔ	immɛʔ	IMMEH	abvd	HOUSE	abvd_61_house_2
'iririje	iririje	IRIRIYE	abvd	TAIL	abvd_105_tail_3
'itijɛʔ	itijɛʔ	ITIYEH	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
'itita	itita	ITITA	abvd	WHAT	abvd_188_what_4?
'itte	itte	ITTE	abvd	NOSE	abvd_27_nose_4
'kale	kale	KALE	abvd	EARTH (SOIL)	abvd_119_earthsoil_3
'kar	kar	KAR	abvd	NO OR NOT	abvd_195_nonot_35
'klise	klise	KLISE	abvd	EAR	abvd_43_ear_3?
'kule	kule	KULE	abvd	STAR	abvd_130_star_3
'kuli	kuli	KULI	abvd	BURN	-
'kɛllijɛ?	kɛllijɛ	KELLIYE	abvd	EGG	abvd_98_egg_3
'kɛsse	kɛsse	KESSE	abvd	NECK	abvd_25_neck_4
'lali	lali	LALI	abvd	FOOT OR LEG	abvd_4_legfoot_4
'lalkijɛʔ	lalkijɛʔ	LALKIYEH	abvd	SKY	abvd_128_sky_6
'lauvela	lauvela	LAUBELA	abvd	FALL	-
'leisil	leisil	LEISIL	abvd	SLEEP	-
'levri	levri	LEBRI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_4
'lillija	lillija	LILLIYA	abvd	BITE	-
'lipe	lipe	LIPE	abvd	HAND	abvd_1_hand_1
'lise	lise	LISE	abvd	TOOTH	abvd_31_tooth_4
'lo:mo	lomo	LOMO	abvd	WHERE	-
'lore	lore	LORE	abvd	MOUTH	abvd_30_mouth_2
'luwɛk	luwɛk	LUWEK	abvd	CRY	-
'ləwuli	ləwuli	LEWULI	abvd	KILL	abvd_74_tokill_1
'lɛmun	lɛmun	LEMUN	abvd	LAUGH	abvd_33_tolaugh_5
'lɛp	lɛp	LEP	abvd	DRINK	-
'lɛprit	lɛprit	LEPRIT	abvd	STAND	abvd_52_tostand_4
'lɛprol	lɛprol	LEPROL	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_4
'lɛvik	lɛvik	LEBIK	abvd	SPIT	abvd_36_tospit_4
'lɛvnun	lɛvnun	LEBNUN	abvd	SWIM	abvd_9_toswim_40
'makəli	makəli	MAKELI	abvd	SCRATCH	abvd_77_toscratch_4
'mari	mari	MARI	abvd	SHARP	abvd_81_sharp_3
'miɛlla	miɛlla	MIELLA	abvd	SEE	-
'mokɛʔ	mokɛʔ	MOKEH	abvd	VOMIT	abvd_35_tovomit_14
'muk	muk	MUK	abvd	BE DEAD OR DIE	abvd_75_todiebedead_17
'mukle	mukle	MUKLE	abvd	EYE	abvd_45_eye_10
'murkijɛʔ	murkijɛʔ	MURKIYEH	abvd	HAIR	abvd_26_hair_5?
'mɛlle	mɛlle	MELLE	abvd	NIGHT	abvd_167_night_4
'mɛlloke	mɛlloke	MELLOKE	abvd	RAT	abvd_102_rat_8
'mɛt	mɛt	MET	abvd	ONE	abvd_197_one_1
'nu	nu	NU	abvd	I	abvd_182_i_1?
'numɛʔ	numɛʔ	NUMEH	abvd	HOW	abvd_194_how_4
'nun	nun	NUN	abvd	EAT	abvd_37_toeat_22
'nune	nune	NUNE	abvd	NAME	abvd_63_name_3
'nupe	nupe	NUPE	abvd	TONGUE	abvd_32_tongue_12?
'nɛʔ	nɛʔ	NEH	abvd	THAT	abvd_178_that_5?
'o	o	O	abvd	YOU	abvd_186_you_2
'okije	okije	OKIYE	abvd	LOUSE	abvd_108_louse_4
'okijɛʔ	okijɛʔ	OKIYEH	abvd	HEAD	abvd_24_head_4
'opɛʔ	opɛʔ	OPEH	abvd	RAIN (PRECIPITATION)	abvd_133_rain_3?
'osiɛʔ	osiɛʔ	OSIEH	abvd	LEAF	-
'pa:ki	paki	PAKI	abvd	FEMALE PERSON	abvd_55_womanfemale_3
'par	par	PAR	abvd	SIT	abvd_51_tosit_5
'patti	patti	PATTI	abvd	WARM	abvd_138_warm_4
'peɛʔ	peɛʔ	PEEH	abvd	COME	-
'piliti	piliti	PILITI	abvd	THIN	abvd_156_thin_3
'piɛlle	piɛlle	PIELLE	abvd	MALE PERSON	abvd_54_manmale_5?
'plalai	plalai	PLALAI	abvd	YELLOW	abvd_150_yellow_3
'plerli	plerli	PLERLI	abvd	LONG	abvd_155_long_4
'poje	poje	POYE	abvd	DREAM (SOMETHING)	abvd_50_todream_2
'polori	polori	POLORI	abvd	RED	-
'por	por	POR	abvd	OLD	abvd_162_old_4
'pris	pris	PRIS	abvd	COLD	abvd_139_cold_3
'pur	pur	PUR	abvd	ROTTEN	abvd_112_rotten_1
're:	re	RE	abvd	BLOOD	abvd_23_blood_1
'rerɛl	rerɛl	REREL	abvd	HEAR	abvd_44_tohear_4
'rile	rile	RILE	abvd	MOTHER	abvd_59_mother_1
'rovka	rovka	ROBKA	abvd	CLOUD	abvd_131_cloud_5
'sem	sem	SEM	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_3
'toji	toji	TOYI	abvd	WHO	abvd_189_who_4
'toɛʔ	toɛʔ	TOEH	abvd	SALT	abvd_125_salt_5
'tutijɛʔ	tutijɛʔ	TUTIYEH	abvd	BREAST	abvd_18_breast_5
'tuvijɛʔ	tuvijɛʔ	TUBIYEH	abvd	SKIN	abvd_12_skin_5
'tʷali	tali	TALI	abvd	GOOD	abvd_164_good_3
'ujo mut'tijɛʔ	ujomuttijɛʔ	UYOMUTTIYEH	abvd	SMOKE (EXHAUST)	abvd_145_smoke_6
'ujɛʔ	ujɛʔ	UYEH	abvd	FIRE	abvd_143_fire_3
'ukəlijɛʔ	ukəlijɛʔ	UKELIYEH	abvd	LIVER	abvd_17_liver_3
'ume	ume	UME	abvd	WIFE	abvd_58_wife_2
'une	une	UNE	abvd	CHILD	abvd_56_child_1
'unor	unor	UNOR	abvd	SEA	abvd_124_sea_6?
'usiɛʔ	usiɛʔ	USIEH	abvd	WIND	-
'utiɛʔ	utiɛʔ	UTIEH	abvd	DOG	abvd_96_dog_3
'uvijɛʔ	uvijɛʔ	UBIYEH	abvd	ASH	abvd_146_ashes_2
'veɛʔ	veɛʔ	BEEH	abvd	WATER	abvd_122_water_2
'vɛʔ	vɛʔ	BEH	abvd	ROPE	abvd_65_rope_2
'watɛki	watɛki	WATEKI	abvd	FAR	abvd_180_far_5
'wevlɛʔ	wevlɛʔ	WEBLEH	abvd	GRASS	abvd_118_grass_7
'wo:re	wore	WORE	abvd	FOREST	abvd_127_woodsforest_4
