Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afsɨŋɡ̥aq	afsɨŋg̊aq	APSINGAK	northeuralex	MOUSE	-
aft͡ɬiŋɡ̥aqaqa	aftɬiŋg̊aqaqa	APTLINGAKAKA	northeuralex	KEEP	-
aft͡ɬiŋɡ̥aqaquq	aftɬiŋg̊aqaquq	APTLINGAKAKUK	northeuralex	KEEP	-
ajaviq	ajaviq	AYABIK	northeuralex	STICK	-
ajipsjuɡilŋɡ̥uq	ajipsjugilŋg̊uq	AYIPSYUGILNGUK	northeuralex	HARD	-
ajua	ajua	AYUA	northeuralex	NORTH	-
ajuɡitɨpixt͡ɬɨχi	ajugitɨpixtɬɨχi	AYUGITIPIKTLIKI	northeuralex	POWERFUL	-
ajɡu	ajgu	AYGU	northeuralex	ARROW	-
akamkɨxtaq	akamkɨxtaq	AKAMKIKTAK	northeuralex	ROUND	-
akaq	akaq	AKAK	northeuralex	SISTER	-
akikaqa	akikaqa	AKIKAKA	northeuralex	SELL	-
akilɨχtuɣaqa	akilɨχtuɣaqa	AKILIKTUGAKA	northeuralex	PAY	-
akin	akin	AKIN	northeuralex	PILLOW	-
akitutalja	akitutalja	AKITUTALYA	northeuralex	PRICE	-
akiŋɡ̥ilŋɡ̥uq	akiŋg̊ilŋg̊uq	AKINGILNGUK	northeuralex	CHEAP	-
akmaɡutaq	akmagutaq	AKMAGUTAK	northeuralex	SACK	-
aksjaqaqa	aksjaqaqa	AKSYAKAKA	northeuralex	HIDE (CONCEAL)	-
akt͡ɬjumalɣi	aktɬjumalɣi	AKTLYUMALGI	northeuralex	POOR	-
akuq	akuq	AKUK	northeuralex	ROOT	-
akuqaɣaqa	akuqaɣaqa	AKUKAGAKA	northeuralex	SEIZE	-
akuqaχtaɣaqa	akuqaχtaɣaqa	AKUKAKTAGAKA	northeuralex	879_grab	-
akuqaχt͡ɬɨqa	akuqaχtɬɨqa	AKUKAKTLIKA	northeuralex	951_catch	-
akuziquq	akuziquq	AKUSIKUK	northeuralex	SAY	-
akɨqiquq	akɨqiquq	AKIKIKUK	northeuralex	PROMISE	-
akɨxkat	akɨxkat	AKIKKAT	northeuralex	MONEY	-
aliq	aliq	ALIK	northeuralex	SLEEVE	-
