Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abadzivɔ	əbʌdʒɪvɔː	EBDSIBO	wikipron	-	-
abati	əbʌtɪ	EBTI	wikipron	-	-
abolo	əbəʊləʊ	EBEULEU	wikipron	-	-
Abraham	æbræhæm	ABRAHAM	wikipron	-	-
afi	æfɪ	API	wikipron	-	-
Afɔfiɛ	əfɒfɪɛ	EPPIE	wikipron	-	-
afɔkɔe	əfɒkɒɛ	EPKE	wikipron	-	-
agble	æɡ͡blɛ	AGLE	wikipron	-	-
aha	æhæ	AHA	wikipron	-	-
ako	ako	AKO	wikipron	-	-
ameyibɔ	əmɛjɪbɒ	EMEYIB	wikipron	-	-
anyĩtsi	æɲiːtʃɪ	ANITSI	wikipron	-	-
asi	əsɪ	ESI	wikipron	-	-
asiekelia	əsɪeɪkeɪljɑː	ESIEIKEILYA	wikipron	-	-
ati	ætiː	ATI	wikipron	-	-
aɖɔɖi	ədɒdɪ	EDDI	wikipron	-	-
blibo	blɪbəʊ	BLIBEU	wikipron	-	-
bɔs	bɒs	BS	wikipron	-	-
dadi	dadi	DADI	wikipron	-	-
dzesi	dʒɛsɪ	DSESI	wikipron	-	-
dzesinu	d͡zesinu	SESINU	wikipron	-	-
dzidzime	dʒɪdʒɪmɛ	DSIDSIME	wikipron	-	-
dzime	dʒɪmɛ	DSIME	wikipron	-	-
dzitsitsi	dʒɪtʃɪtʃɪ	DSITSITSI	wikipron	-	-
dzitsitsiwo	dʒɪtʃɪtʃɪwəʊ	DSITSITSIWEU	wikipron	-	-
Dzodze	dʒəʊdʒɛ	DSEUDSE	wikipron	-	-
dzosasa	dʒəʊsæsɑː	DSEUSASA	wikipron	-	-
Dzove	dʒovɛ	DSOBE	wikipron	-	-
dzĩ	dʒɛ̃	DSE	wikipron	-	-
enelia	enelɪɑː	ENELIA	wikipron	-	-
Esau	isaʊ	ISAU	wikipron	-	-
eve	eve	EBE	wikipron	-	-
evelia	evelɪɑː	EBELIA	wikipron	-	-
ewolia	ewəʊlɪɑː	EWEULIA	wikipron	-	-
eya	ɛjæ	EYA	wikipron	-	-
Eʋegbe	ɛβɛɡ͡bɛ	EBEGE	wikipron	-	-
Februar	fɛbɹʊʌɹ	PEBRUR	wikipron	-	-
fexexeɖeta	fɛxɛxɛdɛtæ	PEKEKEDETA	wikipron	-	-
fia	fɪæ	PIA	wikipron	-	-
fianyɔnu	fɪəɲɒnʊ	PIENNU	wikipron	-	-
fiaŋutsu	fɪəŋʊtʃʊ	PIENUTSU	wikipron	-	-
fli	flɪ	PLI	wikipron	-	-
fukpekpe	fuːk͡pɛk͡pɛ	PUKEKE	wikipron	-	-
fukpekpewo	fuːk͡pɛk͡pɛwɒ	PUKEKEW	wikipron	-	-
fɔbubu	fɒbuːbuː	PBUBU	wikipron	-	-
Gb	ɡ͡b	G	wikipron	-	-
gbãtɔ	ɡ͡bãtɔ	GTO	wikipron	-	-
Gɛ̃	ɡɜː̃	G	wikipron	-	-
Gɛ̃gbe	ɡɜː̃ɡ͡bɜː	GG	wikipron	-	-
Hagar	hɑːɡæ	HAGA	wikipron	-	-
ka	kɑː	KA	wikipron	-	-
kekeli	kɛkɛliː	KEKELI	wikipron	-	-
koklo	kəʊkləʊ	KEUKLEU	wikipron	-	-
koklonɔ	kəʊkləʊnɒ	KEUKLEUN	wikipron	-	-
koklotsu	kəʊkləʊtʃuː	KEUKLEUTSU	wikipron	-	-
koklovi	kəʊkləʊviː	KEUKLEUBI	wikipron	-	-
Kp	k͡p	K	wikipron	-	-
kpodzi	k͡pəʊdʒɪ	KEUDSI	wikipron	-	-
kpɔ	k͡pɒ	K	wikipron	-	-
kutsetse	kʊtʃɛtʃɛ	KUTSETSE	wikipron	-	-
kuviatɔ	kʊviːɑːtɒ	KUBIAT	wikipron	-	-
kuviawɔwɔ	kuːvɪɑːwɒwɒ	KUBIAWW	wikipron	-	-
lala	lælæ	LALA	wikipron	-	-
mamayɔvi	mʌmæyɒvɪ	MMAUBI	wikipron	-	-
Mars	mʌɹs	MRS	wikipron	-	-
megbe	mɛɡ͡bɛ	MEGE	wikipron	-	-
mi	mɪ	MI	wikipron	-	-
miawo	miːɑːwəʊ	MIAWEU	wikipron	-	-
mí	mɪ	MI	wikipron	-	-
míawo	miawo	MIAWO	wikipron	-	-
mɔkpɔkpɔ	mɒk͡pɒk͡pɒ	MKK	wikipron	-	-
no	no	NO	wikipron	-	-
notsi	nəʊtʃiː	NEUTSI	wikipron	-	-
nunono	nʊnəʊnəʊ	NUNEUNEU	wikipron	-	-
nutata	nʊtætæ	NUTATA	wikipron	-	-
nuŋlɔla	nʊŋlɒlɑː	NUNLLA	wikipron	-	-
nuɖaɖa	nudædæ	NUDADA	wikipron	-	-
nyagblɔɖila	ɲæɡ͡blɔːdɪlæ	NAGLODILA	wikipron	-	-
nye	ɲɛ	NE	wikipron	-	-
nyi	ɲɪ	NI	wikipron	-	-
nyinɔ	ɲɪnɒ	NIN	wikipron	-	-
nyitsu	ɲɪtʃuː	NITSU	wikipron	-	-
nyo	ɲəʊ	NEU	wikipron	-	-
nyɔnu	ɲɒnʊ	NNU	wikipron	-	-
nyɔnuvi	ɲɒnʊvɪ	NNUBI	wikipron	-	-
nɔgã	nɒɡɑ̃ː	NGA	wikipron	-	-
nɔvi	nɒvɪ	NBI	wikipron	-	-
nɔvinyɔnu	nɒvɪɲɒnʊ	NBINNU	wikipron	-	-
nɔviŋutsu	nɒvɪŋuːtʃʊ	NBINUTSU	wikipron	-	-
nɔɖi	nɒdɪ	NDI	wikipron	-	-
papa	pæpɑː	PAPA	wikipron	-	-
se	sɛ	SE	wikipron	-	-
Set	sɛt	SET	wikipron	-	-
sidzedze	sɪdʒɛdʒɛ	SIDSEDSE	wikipron	-	-
sue	suːeɪ	SUEI	wikipron	-	-
sue	suːɛ	SUE	wikipron	-	-
sɔ	sɒ	S	wikipron	-	-
tasi	tɑːsiː	TASI	wikipron	-	-
tɔgbuiyɔvi	tɒɡ͡bɪjɒvɪ	TGIYBI	wikipron	-	-
tɔgbuiyɔvinyɔnu	tɒɡ͡bɪjɒvɪɲɒnʊ	TGIYBINNU	wikipron	-	-
tɔgã	tɒɡɑ̃ː	TGA	wikipron	-	-
tɔsisi	tɒsɪsɪ	TSISI	wikipron	-	-
tɔɖe	tɒdeɪ	TDEI	wikipron	-	-
vi	viː	BI	wikipron	-	-
viviti	vɪvɪtɪ	BIBITI	wikipron	-	-
vovototo	vəʊvəʊtəʊtəʊ	BEUBEUTEUTEU	wikipron	-	-
vɔsamlekpui	vɒsæmlɛk͡pɪ	BSAMLEKI	wikipron	-	-
wein	wɑːɪn	WAIN	wikipron	-	-
wò	wo	WO	wikipron	-	-
wɔ	wɒ	W	wikipron	-	-
wɔfa	wɒfæ	WPA	wikipron	-	-
Xawa	xɑːwæ	KAWA	wikipron	-	-
Yakob	jækɒb	YAKB	wikipron	-	-
Yanuar	jʌnʊʌɹ	YNUR	wikipron	-	-
yibɔ	jɪbɒ	YIB	wikipron	-	-
Yosua	josua	YOSUA	wikipron	-	-
Ŋ	ŋ	N	wikipron	-	-
ŋaneŋane	ŋænɛŋænɛ	NANENANE	wikipron	-	-
ŋusẽ	ŋuːsɛ̃	NUSE	wikipron	-	-
ŋutinya	ŋʊtɪɲɑː	NUTINA	wikipron	-	-
Ƒ	ɸ	P	wikipron	-	-
Ɔ	ɔ	O	wikipron	-	-
ɖa	dæ	DA	wikipron	-	-
ɖeka	dɛkɑː	DEKA	wikipron	-	-
Ɛ	ɛ	E	wikipron	-	-
Ɣ	ɣ	G	wikipron	-	-
Ʋ	β	B	wikipron	-	-
ʋɔnudrɔ̃la	βɒnʊdrɒlæ	BNUDRLA	wikipron	-	-
