Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	ɛaː	EA	wikipron	-	-
abbabarn	apːapatn	APAPATN	wikipron	-	-
abbadissa	apːatɪsːa	APATISA	wikipron	-	-
abbati	apɛaːʰtɪ	APEATI	wikipron	-	-
agað	ɛːa	EA	wikipron	-	-
ahorn	ahɔɻɳ	AHORN	wikipron	-	-
aka	ɛaːʰka	EAKA	wikipron	-	-
akarn	ɛaːʰkaɻɳ	EAKARN	wikipron	-	-
Aksal	aʰksal	AKSAL	wikipron	-	-
akslatræ	akslatɾɛaː	AKSLATREA	wikipron	-	-
akur	ɛaːʰkʊɹ	EAKUR	wikipron	-	-
ala	ɛaːla	EALA	wikipron	-	-
Alaska	alaska	ALASKA	wikipron	-	-
alda	alta	ALTA	wikipron	-	-
aldinbori	altɪnpoːɹɪ	ALTINPORI	wikipron	-	-
Aleksandur	alɛksantʊɹ	ALEKSANTUR	wikipron	-	-
alga	alka	ALKA	wikipron	-	-
ali	ɛaːlɪ	EALI	wikipron	-	-
alisfrøði	ɛaːlɪsfɾøːjɪ	EALISPREYI	wikipron	-	-
allur	atlʊɹ	ATLUR	wikipron	-	-
altar	al̥taɹ	ALTAR	wikipron	-	-
altari	al̥tarɪ	ALTARI	wikipron	-	-
alv	alv	ALB	wikipron	-	-
andlát	anlɔɑːʰt	ANLOAT	wikipron	-	-
Angola	aŋkoːla	ANKOLA	wikipron	-	-
Annu	anːʊ	ANU	wikipron	-	-
anorakkur	anoɹaʰkːʊɹ	ANORAKUR	wikipron	-	-
apa	ɛaːʰpa	EAPA	wikipron	-	-
apaldur	ɛaːʰpaltʊɹ	EAPALTUR	wikipron	-	-
app	aʰpː	AP	wikipron	-	-
appilsin	aʰpːɪlsiːn	APILSIN	wikipron	-	-
appilsindjús	aʰpːɪlsiːnt͡ʃʉuːs	APILSINSUUS	wikipron	-	-
appilsintræ	aʰpːɪlsiːntʰɹɛaː	APILSINTREA	wikipron	-	-
aprikosa	apɹikoːsa	APRIKOSA	wikipron	-	-
arbeiðsloysi	aɹbaiːslɔisɪ	ARBAISLOISI	wikipron	-	-
argi	aɹt͡ʃɪ	ARSI	wikipron	-	-
argið	aɹt͡ʃɪ	ARSI	wikipron	-	-
Ari	ɛaːɹɪ	EARI	wikipron	-	-
Arinbjørn	ɛaːɹɪnpjœtn	EARINPYETN	wikipron	-	-
Arnar	aɻɳaɹ	ARNAR	wikipron	-	-
Arnbjørn	aɻɳpjœtn	ARNPYETN	wikipron	-	-
Arnheiður	aɻɳhaiːjʊɹ	ARNHAIYUR	wikipron	-	-
Arni	aɻɳɪ	ARNI	wikipron	-	-
ask	ask	ASK	wikipron	-	-
askur	askʊɹ	ASKUR	wikipron	-	-
asni	asnɪ	ASNI	wikipron	-	-
astma	asma	ASMA	wikipron	-	-
at	ɛaːʰt	EAT	wikipron	-	-
Ata	ɛaːʰta	EATA	wikipron	-	-
Atli	aʰtlɪ	ATLI	wikipron	-	-
avi	ɛaːvɪ	EABI	wikipron	-	-
avokado	avokaːto	ABOKATO	wikipron	-	-
aðal	ɛːal	EAL	wikipron	-	-
Aðalheiður	e̞ːalhaiːjʊɹ	EALHAIYUR	wikipron	-	-
b	p	P	wikipron	-	-
babba	papːa	PAPA	wikipron	-	-
babbað	papːa	PAPA	wikipron	-	-
babbi	papːɪ	PAPI	wikipron	-	-
babbið	papːɪ	PAPI	wikipron	-	-
bagal	peːal	PEAL	wikipron	-	-
baka	pɛaːʰka	PEAKA	wikipron	-	-
bakari	pɛaːʰkaɹɪ	PEAKARI	wikipron	-	-
bakarí	pɛaːʰkaɹʊi	PEAKARUI	wikipron	-	-
Bakkus	paʰkːʊs	PAKUS	wikipron	-	-
baksturvøra	paʰkstʊɹvøːɹa	PAKSTURBERA	wikipron	-	-
Baldur	paltʊɹ	PALTUR	wikipron	-	-
Baltasar	pal̥tasaɹ	PALTASAR	wikipron	-	-
banka	paŋ̊ka	PANKA	wikipron	-	-
banka	pɛŋ̊ka	PENKA	wikipron	-	-
bankarnir	paŋ̊kaɹnɪɹ	PANKARNIR	wikipron	-	-
banki	paɲ̊t͡ʃɪ	PANSI	wikipron	-	-
