Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abulo	abulo	ABULO	abvd	TURN	abvd_8_toturn_32
ae-na	aena	AENA	abvd	FOOT OR LEG	abvd_4_legfoot_1
aesuli-na	aesulina	AESULINA	abvd	BACK	abvd_13_back_78
akoako	akoako	AKOAKO	abvd	WARM	abvd_138_warm_13
akofia	akofia	AKOPIA	abvd	BURN	abvd_144_toburn_53
aliŋa-na	aliana	ALIANA	abvd	EAR	abvd_43_ear_1
amba-na	ambana	AMBANA	abvd	HAND	abvd_1_hand_2
ania	ania	ANIA	abvd	EAT	abvd_37_toeat_1
asi	asi	ASI	abvd	SEA	abvd_124_sea_1
asia	asia	ASIA	abvd	FALL	abvd_95_tofall_18
asɔā	asɔ	ASO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ataŋgarɔ	atagarɔ	ATAGARO	abvd	SPIDER	abvd_110_spider_11
aŋi	ai	AI	abvd	CRY	abvd_34_tocry_1
baita	baita	BAITA	abvd	BIG	abvd_153_big_15
beli	beli	BELI	abvd	STEAL	abvd_73_tosteal_12
bilia	bilia	BILIA	abvd	DIRTY	abvd_10_dirty_13
binebine	binebine	BINEBINE	abvd	LIGHTNING	abvd_135_lightning_48
bobolu	bobolu	BOBOLU	abvd	STAR	abvd_130_star_14
busā	bus	BUS	abvd	STAB	abvd_71_tostabpierce_65
dasa	dasa	DASA	abvd	CLOUD	abvd_131_cloud_64
dasala	dasala	DASALA	abvd	BLUNT	-
dauana	dauana	DAUANA	abvd	HOLD	abvd_89_tohold_17
diʔia	diʔia	DIHIA	abvd	IF	abvd_193_if_21
dūla	dla	DLA	abvd	ROTTEN	abvd_112_rotten_75
erē	er	ER	abvd	FIRE	abvd_143_fire_7
eta	eta	ETA	abvd	ONE	abvd_197_one_32
fafɔ	fafɔ	PAPO	abvd	THATCH OR ROOF	abvd_62_thatchroof_38
fai	fai	PAI	abvd	WHERE	abvd_181_where_3
falaka	falaka	PALAKA	abvd	EGG	abvd_98_egg_9
fali	fali	PALI	abvd	WALK	abvd_5_towalk_10
fasi-na	fasina	PASINA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fau	fau	PAU	abvd	STONE	abvd_120_stone_1
felesia	felesia	PELESIA	abvd	SQUEEZE	abvd_88_tosqueeze_20
fiu	fiu	PIU	abvd	SEVEN	abvd_203_seven_1
fua-na	fuana	PUANA	abvd	FRUIT	abvd_117_fruit_1
fubaʔa	fubaʔa	PUBAHA	abvd	BELOW OR UNDER	-
fue	fue	PUE	abvd	ASH	abvd_146_ashes_11
furiaoko	furiaoko	PURIAOKO	abvd	CUT OR HACK	abvd_78_tocuthack_65
fā saɔ	fsaɔ	PSAO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
fālu	flu	PLU	abvd	NEW	abvd_163_new_1
fāŋali	fali	PALI	abvd	YEAR	abvd_169_year_55
gafū	gaf	GAP	abvd	FOG	abvd_132_fog_1
ganɔ	ganɔ	GANO	abvd	EARTH (SOIL)	abvd_119_earthsoil_52
gaʔa	gaʔa	GAHA	abvd	LAUGH	abvd_33_tolaugh_15
goa	goa	GOA	abvd	BLACK	abvd_147_black_65
gwari	gwari	GWARI	abvd	COLD	abvd_139_cold_13
gwau-na	gwauna	GWAUNA	abvd	HEAD	abvd_24_head_9
gweni	gweni	GWENI	abvd	WET	abvd_141_wet_46
gwini	gwini	GWINI	abvd	SWIM	-
i	i	I	abvd	AT	abvd_173_at_1
idumia	idumia	IDUMIA	abvd	COUNT	abvd_196_tocount_46
ie	ie	IE	abvd	FISH	abvd_111_fish_1
ifu-na	ifuna	IPUNA	abvd	HAIR	abvd_26_hair_13
igwā	igw	IGW	abvd	FLOW	abvd_123_toflow_34
kada tē	kadat	KADAT	abvd	WHEN	abvd_170_when_36
kaeai	kaeai	KAEAI	abvd	HIT	abvd_72_tohit_16
kafo	kafo	KAPO	abvd	WATER	abvd_122_water_5
