Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-afat	afat	APAT	abvd	CUT OR HACK	-
-bara	bara	BARA	abvd	SWELL	abvd_87_toswell_1
-bobar	bobar	BOBAR	abvd	FEAR (BE AFRAID)	abvd_22_tofear_3
-diri	diri	DIRI	abvd	STAND	abvd_52_tostand_1
-doku	doku	DOKU	abvd	SIT	abvd_51_tosit_147
-faha	faha	PAHA	abvd	BUY	abvd_91_tobuy_60
-fedan	fedan	PEDAN	abvd	KILL	abvd_74_tokill_6
-fniit	fniit	PNIIT	abvd	SPIT	abvd_36_tospit_9?
-fonak	fonak	PONAK	abvd	HIDE	-
-fraik	fraik	PRAIK	abvd	BLOW (OF WIND)	-
-Iorak	iorak	IORAK	abvd	CUT OR HACK	-
-leka	leka	LEKA	abvd	FALL	abvd_95_tofall_110
-mata	mata	MATA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mela	mela	MELA	abvd	GROW	abvd_86_togrow_52
-renar	renar	RENAR	abvd	HEAR	abvd_44_tohear_1
-siʔik	siʔik	SIHIK	abvd	SEE	-
-teri	teri	TERI	abvd	HOLD	-
-tuba	tuba	TUBA	abvd	SLEEP	abvd_48_tosleep_43
-vadil	vadil	BADIL	abvd	OPEN	abvd_92_toopenuncover_69
aa	aa	AA	abvd	STICK	abvd_79_stickwood_1
aa etal	aaetal	AAETAL	abvd	BRANCH	-
abaa	abaa	ABAA	abvd	WHO	-
aleman	aleman	ALEMAN	abvd	HEAVY	abvd_142_heavy_4
ama	ama	AMA	abvd	WE	-
amar	amar	AMAR	abvd	DAY (NOT NIGHT)	-
baa	baa	BAA	abvd	WHERE	-
balit	balit	BALIT	abvd	LEFT	abvd_2_left_7
ban-bana-n	banbanan	BANBANAN	abvd	PATH OR ROAD	-
bana	bana	BANA	abvd	WALK	abvd_5_towalk_2
betan	betan	BETAN	abvd	ROTTEN	-
blawat	blawat	BLAWAT	abvd	LONG	-
brana	brana	BRANA	abvd	MALE PERSON	abvd_54_manmale_1
buuk	buuk	BUUK	abvd	SUCK	abvd_42_tosuck_67
dawan	dawan	DAWAN	abvd	BIG	-
daʔut	daʔut	DAHUT	abvd	RAIN (PRECIPITATION)	abvd_133_rain_60
ear-	ear	EAR	abvd	TONGUE	abvd_32_tongue_35
evu-	evu	EBU	abvd	BELLY	-
falak	falak	PALAK	abvd	SAY	-
fana	fana	PANA	abvd	SHOOT	abvd_70_toshoot_1
faʔar	faʔar	PAHAR	abvd	WALK	abvd_5_towalk_116
faʔat	faʔat	PAHAT	abvd	FOUR	abvd_200_four_1
fitik	fitik	PITIK	abvd	LIGHTNING	abvd_135_lightning_34
fitu	fitu	PITU	abvd	SEVEN	abvd_203_seven_1
I	i	I	abvd	THEY	abvd_187_they_42
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
ian	ian	IAN	abvd	FISH	abvd_111_fish_1
ihi-	ihi	IHI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ira	ira	IRA	abvd	THEY	abvd_187_they_1
isaa	isaa	ISAA	abvd	ONE	abvd_197_one_1
ita	ita	ITA	abvd	WE	-
karas	karas	KARAS	abvd	BITE	-
kaʔa	kaʔa	KAHA	abvd	KNOW (SOMETHING)	-
keak	keak	KEAK	abvd	FASTEN	abvd_66_totieupfasten_120
kikur	kikur	KIKUR	abvd	TAIL	-
koʔu	koʔu	KOHU	abvd	SMALL	-
kyavu	kyavu	KUABU	abvd	DUST	abvd_11_dust_1?
liak	liak	LIAK	abvd	OTHER	-
lima-	lima	LIMA	abvd	HAND	abvd_1_hand_1
lolin	lolin	LOLIN	abvd	GOOD	-
lova	lova	LOBA	abvd	FOG	-
maa	maa	MAA	abvd	COME	abvd_7_tocome_1
malit	malit	MALIT	abvd	LAUGH	abvd_33_tolaugh_3
manovan	manovan	MANOBAN	abvd	RAT	abvd_102_rat_1
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
mina-	mina	MINA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
mngaun	mngaun	MNGAUN	abvd	CORRECT (RIGHT)	-
nait	nait	NAIT	abvd	WIND	-
nangan	nangan	NANGAN	abvd	FOREST	-
nara	nara	NARA	abvd	STAR	-
nela-	nela	NELA	abvd	NECK	abvd_25_neck_121?
ngiar	ngiar	NGIAR	abvd	WHITE	-
ngnea	ngnea	NGNEA	abvd	WARM	-
ngraa	ngraa	NGRAA	abvd	DIRTY	abvd_10_dirty_132
ngrova	ngrova	NGROBA	abvd	GRASS	-
ngtoan	ngtoan	NGTOAN	abvd	BLACK	-
nguur	nguur	NGUUR	abvd	SAND	-
oa	oa	OA	abvd	THOU	abvd_183_thou_1
ovan	ovan	OBAN	abvd	NIGHT	-
rafat	rafat	RAPAT	abvd	THATCH OR ROOF	abvd_62_thatchroof_9
rala-	rala	RALA	abvd	IN	abvd_174_ininside_1
rena-	rena	RENA	abvd	MOTHER	abvd_59_mother_1
roa	roa	ROA	abvd	FAR	-
sira	sira	SIRA	abvd	SALT	abvd_125_salt_1
sumar-	sumar	SUMAR	abvd	MOUTH	abvd_30_mouth_40
sungu	sungu	SUNGU	abvd	STAB	-
taku	taku	TAKU	abvd	HIT	abvd_72_tohit_8?
tamata	tamata	TAMATA	abvd	PERSON	abvd_53_personhumanbeing_1
telu	telu	TELU	abvd	THREE	abvd_199_three_1
ulu-	ulu	ULU	abvd	HEAD	abvd_24_head_1
vata	vata	BATA	abvd	FEMALE PERSON	abvd_55_womanfemale_128
vatu	vatu	BATU	abvd	STONE	abvd_120_stone_1
voan	voan	BOAN	abvd	SPIDER	-
vulan	vulan	BULAN	abvd	MOON	abvd_129_moon_1
vuli	vuli	BULI	abvd	RED	-
vutrua	vutrua	BUTRUA	abvd	TWENTY	-
vutu	vutu	BUTU	abvd	TEN	-
vuut	vuut	BUUT	abvd	HAIR	abvd_26_hair_1
walu	walu	WALU	abvd	EIGHT	abvd_204_eight_3
waʔar	waʔar	WAHAR	abvd	ROOT	abvd_115_root_2
